"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2017",,,,,,"Data collected as of June 7, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,2100,0.42,726,,2996,0.95,10540,3.33,21334,6.74,1464,0.46,4246,1.34,305,0.1,1790,0.57,27,0.01,1115,0.35,1779,0.56,11,0.02,594,0.85,10,0.02,21,0.04,119,0.25,6,0.01,145,0.3
Hokkaido,172,0.77,143,,285,2.02,570,4.04,479,3.4,67,0.48,38,0.27,5,0.04,39,0.28,-,-,13,0.09,34,0.24,1,0.03,15,0.52,-,-,-,-,2,0.09,-,-,11,0.48
Aomori,52,0.8,3,,26,0.62,89,2.12,265,6.31,19,0.45,6,0.14,11,0.26,20,0.48,-,-,1,0.02,22,0.52,-,-,7,0.64,-,-,-,-,4,0.67,-,-,6,1
Iwate,109,1.7,11,,38,0.97,113,2.9,247,6.33,6,0.15,4,0.1,5,0.13,15,0.38,-,-,-,-,43,1.1,-,-,5,0.36,-,-,1,0.05,9,0.47,-,-,3,0.16
Miyagi,51,0.54,19,,68,1.15,199,3.37,425,7.2,19,0.32,20,0.34,2,0.03,48,0.81,-,-,3,0.05,14,0.24,-,-,2,0.17,-,-,-,-,3,0.25,-,-,1,0.08
Akita,25,0.46,2,,9,0.26,53,1.51,210,6,44,1.26,41,1.17,1,0.03,16,0.46,-,-,3,0.09,7,0.2,1,0.14,-,-,-,-,-,-,7,0.88,-,-,2,0.25
Yamagata,36,0.75,6,,31,1.03,208,6.93,270,9,27,0.9,14,0.47,30,1,27,0.9,2,0.07,1,0.03,5,0.17,-,-,1,0.13,-,-,-,-,4,0.4,-,-,3,0.3
Fukushima,83,1.08,34,,36,0.78,156,3.39,252,5.48,50,1.09,1,0.02,14,0.3,35,0.76,-,-,3,0.07,28,0.61,-,-,12,1,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,13,0.11,9,,81,1.08,261,3.48,368,4.91,26,0.35,16,0.21,6,0.08,19,0.25,-,-,8,0.11,31,0.41,-,-,18,1.06,-,-,-,-,-,-,-,-,3,0.23
Tochigi,9,0.12,15,,42,0.88,96,2,120,2.5,28,0.58,14,0.29,1,0.02,23,0.48,-,-,4,0.08,24,0.5,-,-,11,0.92,-,-,-,-,4,0.57,-,-,-,-
Gunma,16,0.17,8,,38,0.66,240,4.14,372,6.41,20,0.34,10,0.17,23,0.4,26,0.45,-,-,7,0.12,51,0.88,-,-,5,0.36,-,-,-,-,1,0.13,-,-,2,0.25
Saitama,77,0.3,28,,187,1.15,697,4.28,1259,7.72,115,0.71,79,0.48,26,0.16,132,0.81,-,-,26,0.16,79,0.48,2,0.05,57,1.43,-,-,-,-,5,0.5,-,-,5,0.5
Chiba,77,0.36,21,,129,0.96,577,4.27,812,6.01,86,0.64,65,0.48,10,0.07,94,0.7,-,-,55,0.41,46,0.34,-,-,38,1.12,-,-,1,0.11,4,0.44,-,-,1,0.11
Tokyo,48,0.12,63,,286,1.09,856,3.27,1918,7.32,134,0.51,220,0.84,41,0.16,199,0.76,1,0,39,0.15,65,0.25,-,-,34,0.87,1,0.04,1,0.04,3,0.12,1,0.04,3,0.12
Kanagawa,64,0.19,27,,144,0.67,806,3.75,1328,6.18,132,0.61,131,0.61,14,0.07,145,0.67,-,-,20,0.09,69,0.32,1,0.02,104,2.08,-,-,-,-,-,-,-,-,3,0.33
Niigata,60,0.67,17,,60,1.05,150,2.63,419,7.35,14,0.25,25,0.44,6,0.11,36,0.63,2,0.04,6,0.11,73,1.28,1,0.1,2,0.2,-,-,1,0.08,2,0.15,-,-,5,0.38
Toyama,1,0.02,11,,29,1,65,2.24,308,10.62,10,0.34,25,0.86,-,-,16,0.55,-,-,2,0.07,24,0.83,-,-,2,0.29,-,-,-,-,2,0.4,-,-,-,-
Ishikawa,9,0.19,4,,34,1.17,75,2.59,235,8.1,8,0.28,15,0.52,2,0.07,13,0.45,1,0.03,5,0.17,11,0.38,-,-,9,1.29,-,-,-,-,2,0.4,-,-,-,-
Fukui,38,1.19,1,,14,0.64,74,3.36,231,10.5,6,0.27,8,0.36,1,0.05,9,0.41,-,-,5,0.23,4,0.18,-,-,-,-,1,0.17,-,-,2,0.33,-,-,2,0.33
Yamanashi,3,0.07,-,,79,3.29,108,4.5,104,4.33,9,0.38,6,0.25,-,-,12,0.5,-,-,2,0.08,14,0.58,-,-,12,1.33,-,-,-,-,3,0.3,-,-,-,-
Nagano,37,0.43,3,,17,0.31,177,3.28,432,8,46,0.85,8,0.15,6,0.11,24,0.44,-,-,5,0.09,134,2.48,1,0.09,1,0.09,-,-,-,-,5,0.45,-,-,9,0.82
Gifu,8,0.09,6,,24,0.46,121,2.33,244,4.69,7,0.13,17,0.33,1,0.02,8,0.15,-,-,6,0.12,53,1.02,-,-,5,0.45,1,0.2,-,-,1,0.2,-,-,2,0.4
Shizuoka,43,0.31,5,,61,0.69,333,3.74,620,6.97,27,0.3,43,0.48,10,0.11,41,0.46,-,-,8,0.09,37,0.42,-,-,16,0.73,1,0.1,2,0.2,3,0.3,2,0.2,1,0.1
