"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23rd week, 2017",,,,,,"Data collected as of June 14, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1539,0.31,787,,3080,0.97,10890,3.45,20784,6.58,1311,0.42,5026,1.59,257,0.08,1726,0.55,36,0.01,1356,0.43,1592,0.5,8,0.01,605,0.87,6,0.01,20,0.04,98,0.21,5,0.01,103,0.22
Hokkaido,99,0.44,180,,266,1.89,551,3.91,436,3.09,67,0.48,49,0.35,2,0.01,39,0.28,1,0.01,18,0.13,44,0.31,-,-,5,0.17,-,-,1,0.04,3,0.13,-,-,8,0.35
Aomori,30,0.47,3,,25,0.6,99,2.36,253,6.02,26,0.62,9,0.21,8,0.19,20,0.48,-,-,5,0.12,20,0.48,-,-,2,0.18,1,0.17,1,0.17,1,0.17,-,-,1,0.17
Iwate,70,1.09,2,,20,0.51,123,3.15,277,7.1,5,0.13,12,0.31,8,0.21,16,0.41,-,-,3,0.08,44,1.13,-,-,4,0.29,-,-,-,-,5,0.26,-,-,3,0.16
Miyagi,28,0.29,22,,64,1.08,171,2.9,390,6.61,15,0.25,29,0.49,8,0.14,37,0.63,-,-,3,0.05,11,0.19,-,-,7,0.58,-,-,-,-,7,0.58,-,-,-,-
Akita,22,0.41,1,,11,0.31,44,1.26,158,4.51,12,0.34,62,1.77,1,0.03,11,0.31,1,0.03,-,-,1,0.03,-,-,1,0.14,-,-,-,-,7,0.88,-,-,-,-
Yamagata,19,0.4,3,,34,1.13,197,6.57,327,10.9,9,0.3,11,0.37,20,0.67,15,0.5,-,-,8,0.27,13,0.43,-,-,1,0.13,-,-,2,0.2,1,0.1,-,-,7,0.7
Fukushima,46,0.6,32,,25,0.54,156,3.39,213,4.63,32,0.7,4,0.09,4,0.09,44,0.96,-,-,4,0.09,34,0.74,-,-,16,1.33,-,-,1,0.14,-,-,-,-,-,-
Ibaraki,8,0.07,4,,59,0.79,270,3.6,341,4.55,25,0.33,12,0.16,4,0.05,34,0.45,2,0.03,8,0.11,20,0.27,-,-,26,1.53,-,-,-,-,3,0.23,-,-,-,-
Tochigi,15,0.2,5,,36,0.75,96,2,95,1.98,25,0.52,11,0.23,-,-,36,0.75,-,-,-,-,21,0.44,-,-,16,1.33,-,-,-,-,1,0.14,-,-,-,-
Gunma,6,0.06,9,,43,0.74,216,3.72,377,6.5,18,0.31,20,0.34,13,0.22,27,0.47,1,0.02,8,0.14,40,0.69,-,-,8,0.57,-,-,-,-,6,0.75,-,-,2,0.25
