"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2017",,,,,,"Data collected as of October 25, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,27830,323.6,1013,19.11,369,6.96,4713,88.92,12905,243.49,704,13.28,6444,121.58,154,2.91,725,13.68,28,0.53,1166,22,3902,73.62,12,1.2,152,15.2,3,0.27,2,0.18,172,15.64,-,-,142,12.91
Gifu,22585,262.62,1408,27.08,778,14.96,2081,40.02,6975,134.13,438,8.42,4111,79.06,67,1.29,603,11.6,16,0.31,604,11.62,1411,27.13,-,-,206,18.73,1,0.2,12,2.4,157,31.4,-,-,90,18
Shizuoka,38912,279.94,2837,31.88,1675,18.82,9001,101.13,19508,219.19,869,9.76,8787,98.73,270,3.03,1301,14.62,20,0.22,1177,13.22,1474,16.56,10,0.48,569,27.1,10,1,35,3.5,170,17,44,4.4,75,7.5
Aichi,66170,339.33,4815,26.46,2844,15.63,11915,65.47,31059,170.65,2191,12.04,17343,95.29,339,1.86,2611,14.35,40,0.22,2490,13.68,2152,11.82,6,0.17,693,19.8,12,0.8,27,1.8,285,19,7,0.47,198,13.2
Mie,19325,268.4,1978,43.96,1353,30.07,2681,59.58,9231,205.13,537,11.93,5209,115.76,106,2.36,928,20.62,20,0.44,1265,28.11,642,14.27,8,0.67,53,4.42,20,2.22,27,3,100,11.11,12,1.33,19,2.11
Shiga,12109,232.87,575,18.55,510,16.45,1435,46.29,6541,211,582,18.77,3624,116.9,22,0.71,519,16.74,6,0.19,908,29.29,700,22.58,1,0.13,64,8,5,0.71,16,2.29,42,6,1,0.14,16,2.29
Kyoto,27965,225.52,1596,21.28,1435,19.13,4566,60.88,14911,198.81,624,8.32,5630,75.07,73,0.97,1073,14.31,23,0.31,1202,16.03,1108,14.77,6,0.35,269,15.82,3,0.43,5,0.71,58,8.29,-,-,67,9.57
Osaka,67715,220.57,8913,44.79,4361,21.91,17100,85.93,42510,213.62,2960,14.87,21214,106.6,333,1.67,3859,19.39,89,0.45,4513,22.68,4515,22.69,35,0.67,881,16.94,14,0.88,38,2.38,255,15.94,3,0.19,232,14.5
Hyogo,45254,228.56,4312,33.69,3183,24.87,7449,58.2,33253,259.79,1685,13.16,14525,113.48,522,4.08,2094,16.36,40,0.31,3172,24.78,3113,24.32,15,0.43,682,19.49,25,1.92,41,3.15,152,11.69,10,0.77,162,12.46
Nara,10295,190.65,1437,42.26,999,29.38,2809,82.62,5983,175.97,501,14.74,2880,84.71,91,2.68,692,20.35,9,0.26,601,17.68,782,23,2,0.2,238,23.8,17,2.83,26,4.33,111,18.5,1,0.17,52,8.67
Wakayama,8437,172.18,967,32.23,473,15.77,900,30,4905,163.5,373,12.43,2337,77.9,31,1.03,527,17.57,10,0.33,560,18.67,1786,59.53,13,3.25,104,26,4,0.4,19,1.9,88,8.8,6,0.6,70,7
Tottori,6032,208,749,39.42,516,27.16,4294,226,3889,204.68,365,19.21,1885,99.21,31,1.63,312,16.42,23,1.21,585,30.79,830,43.68,2,0.4,203,40.6,9,1.8,25,5,60,12,-,-,74,14.8
Shimane,7451,201.38,943,42.86,341,15.5,2381,108.23,4853,220.59,223,10.14,1690,76.82,217,9.86,582,26.45,13,0.59,426,19.36,1220,55.45,-,-,7,2.33,2,0.25,17,2.13,61,7.63,-,-,47,5.88
Okayama,22117,263.3,1208,22.37,861,15.94,2336,43.26,13143,243.39,561,10.39,4858,89.96,100,1.85,904,16.74,19,0.35,1061,19.65,737,13.65,10,0.83,365,30.42,2,0.4,4,0.8,50,10,1,0.2,36,7.2
Hiroshima,27297,239.45,2674,37.66,1664,23.44,6552,92.28,14453,203.56,896,12.62,7120,100.28,223,3.14,1139,16.04,46,0.65,1039,14.63,973,13.7,9,0.47,645,33.95,7,0.35,8,0.4,138,6.9,1,0.05,109,5.45
Yamaguchi,19765,290.66,2257,47.02,946,19.71,4196,87.42,8242,171.71,548,11.42,4545,94.69,138,2.88,1051,21.9,33,0.69,2134,44.46,2680,55.83,-,-,396,44,5,0.56,3,0.33,123,13.67,1,0.11,90,10
Tokushima,8516,230.16,1660,72.17,558,24.26,1753,76.22,5098,221.65,227,9.87,1725,75,88,3.83,677,29.43,10,0.43,671,29.17,681,29.61,1,0.25,37,9.25,-,-,2,0.33,12,2,-,-,12,2
Kagawa,9085,193.3,1037,37.04,573,20.46,2403,85.82,8158,291.36,253,9.04,3044,108.71,65,2.32,568,20.29,17,0.61,737,26.32,1002,35.79,3,0.6,157,31.4,3,0.6,6,1.2,93,18.6,-,-,154,30.8
Ehime,16544,271.21,2065,55.81,610,16.49,4060,109.73,11462,309.78,443,11.97,4665,126.08,268,7.24,1016,27.46,10,0.27,637,17.22,2399,64.84,1,0.13,723,90.38,4,0.67,1,0.17,72,12,-,-,33,5.5
Kochi,14652,305.25,1461,48.7,362,12.07,2124,70.8,4726,157.53,485,16.17,3151,105.03,109,3.63,443,14.77,24,0.8,533,17.77,184,6.13,-,-,13,4.33,3,0.38,7,0.88,76,9.5,10,1.25,87,10.88
Fukuoka,72401,365.66,7170,59.75,2677,22.31,17013,141.78,37042,308.68,2466,20.55,12301,102.51,315,2.63,3254,27.12,104,0.87,6736,56.13,2974,24.78,1,0.04,790,30.38,57,3.8,34,2.27,378,25.2,-,-,52,3.47
Saga,12776,336.21,795,36.14,631,28.68,1665,75.68,4131,187.77,403,18.32,2984,135.64,42,1.91,674,30.64,8,0.36,1112,50.55,195,8.86,-,-,100,33.33,6,1,14,2.33,37,6.17,1,0.17,124,20.67
Nagasaki,22670,323.86,2196,49.91,451,10.25,4939,112.25,7176,163.09,442,10.05,3216,73.09,29,0.66,803,18.25,17,0.39,1137,25.84,851,19.34,10,1.25,92,11.5,2,0.17,37,3.08,107,8.92,-,-,127,10.58
Kumamoto,24253,303.16,2853,57.06,1199,23.98,3946,78.92,15111,302.22,799,15.98,5740,114.8,98,1.96,1387,27.74,10,0.2,2927,58.54,1134,22.68,5,0.56,552,61.33,15,1,37,2.47,98,6.53,-,-,124,8.27
Oita,20229,348.78,1060,29.44,607,16.86,4638,128.83,16864,468.44,636,17.67,4753,132.03,37,1.03,1056,29.33,24,0.67,1841,51.14,1072,29.78,-,-,132,26.4,1,0.09,2,0.18,105,9.55,1,0.09,44,4
Miyazaki,23120,398.62,2075,59.29,1272,36.34,3191,91.17,13073,373.51,796,22.74,5372,153.49,312,8.91,1280,36.57,14,0.4,2163,61.8,429,12.26,5,1,543,108.6,-,-,2,0.29,25,3.57,1,0.14,115,16.43
Kagoshima,27762,301.76,2983,55.24,3037,56.24,3994,73.96,17533,324.69,831,15.39,5173,95.8,92,1.7,934,17.3,17,0.31,2199,40.72,3897,72.17,1,0.14,375,53.57,8,0.67,11,0.92,29,2.42,-,-,109,9.08
Okinawa,28571,501.25,2217,65.21,1173,34.5,1391,40.91,5989,176.15,662,19.47,1683,49.5,51,1.5,456,13.41,109,3.21,361,10.62,193,5.68,10,1.11,847,94.11,20,2.86,69,9.86,153,21.86,1,0.14,86,12.29
