"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2017",,,,,,"Data collected as of October 25, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1201,0.24,3988,,1390,0.44,5678,1.8,10614,3.36,1044,0.33,5630,1.78,149,0.05,1289,0.41,38,0.01,1298,0.41,1079,0.34,6,0.01,570,0.82,14,0.03,17,0.04,177,0.37,6,0.01,4,0.01
Hokkaido,69,0.31,98,,337,2.44,426,3.09,199,1.44,77,0.56,148,1.07,5,0.04,30,0.22,-,-,12,0.09,13,0.09,-,-,14,0.48,-,-,-,-,4,0.17,-,-,-,-
Aomori,16,0.25,47,,11,0.26,35,0.83,80,1.9,9,0.21,96,2.29,2,0.05,16,0.38,-,-,24,0.57,36,0.86,-,-,3,0.27,-,-,-,-,7,1.17,-,-,-,-
Iwate,17,0.26,44,,6,0.15,113,2.83,83,2.08,18,0.45,79,1.98,14,0.35,10,0.25,-,-,26,0.65,65,1.63,-,-,4,0.29,-,-,-,-,19,1,1,0.05,-,-
Miyagi,16,0.17,58,,14,0.24,86,1.48,226,3.9,8,0.14,155,2.67,10,0.17,27,0.47,-,-,13,0.22,11,0.19,-,-,2,0.17,-,-,-,-,10,0.83,-,-,-,-
Akita,-,-,42,,11,0.31,31,0.89,59,1.69,7,0.2,53,1.51,1,0.03,9,0.26,-,-,7,0.2,2,0.06,-,-,1,0.14,2,0.25,-,-,29,3.63,-,-,-,-
Yamagata,-,-,44,,59,1.97,131,4.37,57,1.9,18,0.6,80,2.67,20,0.67,19,0.63,-,-,9,0.3,3,0.1,-,-,7,0.88,-,-,-,-,4,0.4,-,-,-,-
Fukushima,2,0.03,55,,13,0.28,61,1.33,103,2.24,12,0.26,137,2.98,10,0.22,26,0.57,-,-,31,0.67,30,0.65,-,-,13,1.08,-,-,-,-,3,0.43,-,-,-,-
Ibaraki,16,0.13,50,,18,0.24,110,1.47,238,3.17,24,0.32,249,3.32,2,0.03,24,0.32,-,-,33,0.44,9,0.12,-,-,19,1.12,-,-,1,0.08,5,0.38,-,-,-,-
