"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2012",,,,,,"Data collected as of August 22, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,-,-,1,,6,0.19,21,0.66,103,3.22,21,0.66,11,0.34,1,0.03,16,0.5,1,0.03,51,1.59,13,0.41,-,-,12,1.5,-,-,-,-,4,0.57,-,-
Kyoto,4,0.03,9,,14,0.2,36,0.51,111,1.59,21,0.3,7,0.1,1,0.01,9,0.13,1,0.01,37,0.53,27,0.39,-,-,5,0.29,-,-,-,-,-,-,-,-
Osaka,9,0.03,83,,53,0.27,135,0.69,427,2.17,101,0.51,39,0.2,6,0.03,92,0.47,6,0.03,197,1,39,0.2,1,0.02,10,0.21,1,0.06,1,0.06,12,0.71,-,-
Hyogo,3,0.02,5,,27,0.21,35,0.27,287,2.22,70,0.54,16,0.12,3,0.02,62,0.48,2,0.02,179,1.39,33,0.26,-,-,2,0.06,-,-,-,-,9,0.82,-,-
Nara,-,-,3,,8,0.23,5,0.14,68,1.94,10,0.29,2,0.06,2,0.06,9,0.26,-,-,20,0.57,7,0.2,-,-,1,0.11,-,-,-,-,-,-,-,-
Wakayama,-,-,6,,8,0.26,12,0.39,40,1.29,24,0.77,9,0.29,-,-,18,0.58,5,0.16,58,1.87,13,0.42,-,-,-,-,-,-,-,-,20,1.82,-,-
Tottori,-,-,1,,5,0.26,10,0.53,44,2.32,6,0.32,1,0.05,1,0.05,7,0.37,-,-,17,0.89,4,0.21,-,-,10,3.33,-,-,-,-,6,1.2,-,-
Shimane,1,0.03,2,,4,0.17,-,-,120,5.22,16,0.7,2,0.09,-,-,11,0.48,-,-,6,0.26,9,0.39,-,-,-,-,-,-,3,0.38,10,1.25,1,0.13
Okayama,1,0.01,1,,9,0.17,10,0.19,257,4.76,35,0.65,12,0.22,1,0.02,23,0.43,-,-,81,1.5,32,0.59,-,-,8,0.67,-,-,-,-,6,1.2,-,-
Hiroshima,2,0.02,21,,20,0.28,49,0.68,165,2.29,30,0.42,6,0.08,8,0.11,26,0.36,1,0.01,34,0.47,14,0.19,-,-,8,0.42,-,-,-,-,2,0.1,-,-
Yamaguchi,3,0.04,20,,16,0.34,27,0.57,72,1.53,10,0.21,7,0.15,10,0.21,44,0.94,4,0.09,37,0.79,18,0.38,-,-,3,0.33,-,-,-,-,10,1.11,-,-
Tokushima,-,-,1,,12,0.52,12,0.52,107,4.65,29,1.26,8,0.35,5,0.22,21,0.91,-,-,46,2,2,0.09,-,-,-,-,-,-,-,-,2,0.4,-,-
Kagawa,-,-,3,,3,0.1,6,0.2,126,4.2,12,0.4,3,0.1,2,0.07,16,0.53,1,0.03,52,1.73,4,0.13,-,-,2,0.67,-,-,1,0.2,2,0.4,-,-
Ehime,1,0.02,11,,9,0.24,36,0.97,108,2.92,37,1,12,0.32,6,0.16,19,0.51,-,-,16,0.43,12,0.32,-,-,4,0.5,-,-,-,-,4,0.67,-,-
Kochi,1,0.02,3,,7,0.23,19,0.63,81,2.7,24,0.8,1,0.03,14,0.47,10,0.33,12,0.4,30,1,6,0.2,-,-,1,0.33,1,0.13,-,-,3,0.38,-,-
Fukuoka,6,0.03,180,,44,0.37,50,0.42,357,2.98,62,0.52,6,0.05,-,-,62,0.52,4,0.03,72,0.6,53,0.44,-,-,8,0.31,-,-,-,-,1,0.07,-,-
Saga,-,-,2,,4,0.17,13,0.57,30,1.3,17,0.74,2,0.09,1,0.04,15,0.65,1,0.04,13,0.57,10,0.43,-,-,1,0.25,-,-,-,-,2,0.33,-,-
Nagasaki,19,0.27,8,,14,0.32,28,0.64,99,2.25,32,0.73,5,0.11,-,-,23,0.52,-,-,32,0.73,14,0.32,-,-,1,0.13,-,-,1,0.08,8,0.67,-,-
Kumamoto,6,0.08,-,,36,0.75,21,0.44,186,3.88,23,0.48,8,0.17,-,-,34,0.71,1,0.02,69,1.44,31,0.65,-,-,34,3.78,-,-,-,-,5,0.33,-,-
Oita,-,-,23,,7,0.19,33,0.92,218,6.06,21,0.58,12,0.33,1,0.03,28,0.78,4,0.11,42,1.17,43,1.19,-,-,1,0.2,-,-,-,-,7,0.64,-,-
Miyazaki,6,0.1,30,,19,0.53,46,1.28,179,4.97,27,0.75,76,2.11,-,-,28,0.78,-,-,118,3.28,33,0.92,-,-,7,1.17,-,-,-,-,2,0.29,-,-
Kagoshima,42,0.45,118,,69,1.25,36,0.65,174,3.16,17,0.31,7,0.13,-,-,37,0.67,-,-,78,1.42,28,0.51,-,-,16,2.29,-,-,-,-,8,0.67,-,-
Okinawa,1006,17.65,50,,8,0.24,20,0.61,67,2.03,11,0.33,22,0.67,9,0.27,12,0.36,2,0.06,3,0.09,15,0.45,-,-,40,4,-,-,-,-,8,1.14,-,-
