"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2018",,,,,,"Data collected as of April 18, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1732505,350.35,19374,6.13,13464,4.26,109012,34.52,226898,71.85,13416,4.25,7719,2.44,3314,1.05,16328,5.17,758,0.24,6870,2.18,159,0.23,6520,9.34,127,0.27,159,0.33,1188,2.48,59,0.12,1703,3.56
Hokkaido,71765,323.27,1842,13.25,952,6.85,8892,63.97,3650,26.26,638,4.59,177,1.27,34,0.24,429,3.09,11,0.08,136,0.98,5,0.17,187,6.45,2,0.09,8,0.35,55,2.39,-,-,69,3
Aomori,22015,338.69,125,2.98,122,2.9,1091,25.98,2535,60.36,145,3.45,259,6.17,15,0.36,195,4.64,21,0.5,265,6.31,1,0.09,65,5.91,3,0.5,2,0.33,46,7.67,-,-,62,10.33
Iwate,24678,379.66,218,5.45,145,3.63,2279,56.98,2204,55.1,145,3.63,145,3.63,150,3.75,185,4.63,6,0.15,255,6.38,-,-,115,8.21,3,0.16,1,0.05,55,2.89,5,0.26,7,0.37
Miyagi,33175,349.21,452,7.66,221,3.75,2717,46.05,3361,56.97,333,5.64,176,2.98,51,0.86,332,5.63,12,0.2,46,0.78,4,0.33,45,3.75,-,-,-,-,50,4.17,1,0.08,14,1.17
Akita,19021,358.89,129,3.79,89,2.62,704,20.71,1214,35.71,103,3.03,32,0.94,10,0.29,99,2.91,9,0.26,115,3.38,2,0.29,20,2.86,2,0.25,-,-,120,15,1,0.13,15,1.88
Yamagata,15520,330.21,204,7.03,206,7.1,1821,62.79,1982,68.34,186,6.41,224,7.72,66,2.28,199,6.86,29,1,40,1.38,-,-,14,1.75,4,0.4,2,0.2,44,4.4,-,-,12,1.2
Fukushima,29902,388.34,494,10.74,250,5.43,1681,36.54,1579,34.33,216,4.7,168,3.65,87,1.89,324,7.04,12,0.26,157,3.41,2,0.17,241,20.08,2,0.29,3,0.43,16,2.29,1,0.14,11,1.57
Ibaraki,41003,341.69,289,3.85,353,4.71,2813,37.51,4202,56.03,276,3.68,59,0.79,34,0.45,214,2.85,15,0.2,77,1.03,4,0.24,316,18.59,1,0.08,2,0.15,71,5.46,-,-,12,0.92
Tochigi,21226,279.29,178,3.71,94,1.96,934,19.46,1836,38.25,218,4.54,52,1.08,118,2.46,234,4.88,1,0.02,35,0.73,-,-,132,11,2,0.29,2,0.29,28,4,-,-,19,2.71
Gunma,29350,333.52,185,3.43,358,6.63,2096,38.81,3797,70.31,215,3.98,135,2.5,40,0.74,322,5.96,19,0.35,233,4.31,2,0.13,278,18.53,1,0.11,3,0.33,33,3.67,-,-,19,2.11
Saitama,96973,380.29,899,5.55,568,3.51,7100,43.83,12865,79.41,1004,6.2,121,0.75,198,1.22,893,5.51,27,0.17,195,1.2,15,0.38,334,8.35,-,-,14,1.4,16,1.6,3,0.3,10,1
Chiba,79563,373.54,423,3.16,430,3.21,5214,38.91,8291,61.87,586,4.37,101,0.75,140,1.04,588,4.39,26,0.19,188,1.4,6,0.17,292,8.34,6,0.67,7,0.78,16,1.78,3,0.33,19,2.11
Tokyo,124756,302.07,1046,4.02,701,2.7,8991,34.58,19797,76.14,1152,4.43,205,0.79,485,1.87,1576,6.06,40,0.15,285,1.1,3,0.08,189,5.11,6,0.24,10,0.4,25,1,16,0.64,64,2.56
Kanagawa,119607,344.69,660,3.06,511,2.37,6402,29.64,13510,62.55,1041,4.82,211,0.98,841,3.89,1204,5.57,27,0.13,375,1.74,7,0.14,1163,22.8,4,0.36,6,0.55,18,1.64,-,-,31,2.82
Niigata,33685,374.28,408,7.16,596,10.46,2942,51.61,2757,48.37,332,5.82,148,2.6,127,2.23,334,5.86,17,0.3,243,4.26,12,1.2,236,23.6,-,-,-,-,28,2.15,3,0.23,7,0.54
Toyama,15011,312.73,252,8.69,432,14.9,732,25.24,2210,76.21,120,4.14,109,3.76,50,1.72,154,5.31,3,0.1,17,0.59,-,-,16,2.29,3,0.6,-,-,15,3,-,-,7,1.4
Ishikawa,14779,307.9,191,6.59,277,9.55,1984,68.41,1937,66.79,203,7,49,1.69,87,3,146,5.03,1,0.03,31,1.07,-,-,35,5,1,0.2,1,0.2,43,8.6,-,-,6,1.2
Fukui,11371,355.34,117,5.32,128,5.82,1254,57,1950,88.64,69,3.14,91,4.14,10,0.45,115,5.23,4,0.18,53,2.41,-,-,6,2,5,0.83,1,0.17,4,0.67,3,0.5,50,8.33
Yamanashi,14817,361.39,57,2.38,44,1.83,757,31.54,1435,59.79,70,2.92,77,3.21,17,0.71,71,2.96,2,0.08,37,1.54,3,0.33,55,6.11,2,0.2,1,0.1,15,1.5,1,0.1,1,0.1
Nagano,32677,379.97,253,4.77,74,1.4,1792,33.81,3608,68.08,223,4.21,75,1.42,20,0.38,178,3.36,6,0.11,141,2.66,5,0.45,52,4.73,2,0.18,-,-,28,2.55,1,0.09,43,3.91
Gifu,25383,295.15,189,3.63,189,3.63,823,15.83,2936,56.46,92,1.77,67,1.29,9,0.17,189,3.63,3,0.06,136,2.62,-,-,43,3.91,1,0.2,1,0.2,14,2.8,-,-,59,11.8
Shizuoka,49836,361.13,384,4.31,246,2.76,2277,25.58,6081,68.33,194,2.18,51,0.57,64,0.72,345,3.88,17,0.19,338,3.8,1,0.05,145,6.59,1,0.1,7,0.7,16,1.6,2,0.2,10,1
Aichi,78905,406.73,677,3.72,490,2.69,4585,25.19,11966,65.75,531,2.92,169,0.93,69,0.38,727,3.99,23,0.13,328,1.8,1,0.03,192,5.49,4,0.27,4,0.27,39,2.6,1,0.07,85,5.67
Mie,26464,367.56,359,7.98,313,6.96,1397,31.04,3501,77.8,167,3.71,44,0.98,10,0.22,226,5.02,9,0.2,83,1.84,1,0.08,12,1,3,0.33,5,0.56,14,1.56,1,0.11,8,0.89
Shiga,17359,333.83,118,3.81,84,2.71,551,17.77,1580,50.97,111,3.58,59,1.9,17,0.55,147,4.74,10,0.32,121,3.9,-,-,41,5.13,1,0.14,5,0.71,-,-,-,-,4,0.57
Kyoto,39434,315.47,227,2.95,182,2.36,1500,19.48,4954,64.34,187,2.43,98,1.27,28,0.36,256,3.32,18,0.23,70,0.91,2,0.12,78,4.59,1,0.14,-,-,18,2.57,-,-,25,3.57
Osaka,88054,289.65,1742,8.8,618,3.12,5361,27.08,15000,75.76,896,4.53,150,0.76,148,0.75,981,4.95,62,0.31,345,1.74,12,0.23,285,5.48,4,0.24,7,0.41,28,1.65,1,0.06,90,5.29
Hyogo,64475,325.63,895,6.99,618,4.83,2672,20.88,10404,81.28,556,4.34,91,0.71,52,0.41,563,4.4,16,0.13,155,1.21,18,0.51,251,7.17,10,0.71,8,0.57,30,2.14,2,0.14,75,5.36
Nara,15582,288.56,233,6.85,125,3.68,865,25.44,2512,73.88,115,3.38,39,1.15,35,1.03,179,5.26,23,0.68,23,0.68,1,0.1,38,3.8,5,0.83,3,0.5,13,2.17,-,-,37,6.17
Wakayama,14479,295.49,157,5.23,114,3.8,422,14.07,1344,44.8,89,2.97,10,0.33,12,0.4,136,4.53,10,0.33,61,2.03,22,5.5,11,2.75,2,0.18,4,0.36,14,1.27,3,0.27,37,3.36
Tottori,10519,362.72,56,2.95,94,4.95,1654,87.05,1472,77.47,57,3,27,1.42,15,0.79,96,5.05,4,0.21,6,0.32,1,0.2,9,1.8,2,0.4,3,0.6,7,1.4,-,-,17,3.4
Shimane,9822,258.47,92,4,57,2.48,956,41.57,1895,82.39,49,2.13,73,3.17,4,0.17,142,6.17,5,0.22,74,3.22,-,-,2,0.67,2,0.25,2,0.25,5,0.63,-,-,28,3.5
Okayama,28141,335.01,120,2.22,143,2.65,1432,26.52,5041,93.35,182,3.37,84,1.56,21,0.39,235,4.35,8,0.15,64,1.19,8,0.67,80,6.67,2,0.4,-,-,5,1,-,-,17,3.4
Hiroshima,33800,296.49,383,5.39,368,5.18,2278,32.08,8470,119.3,234,3.3,108,1.52,16,0.23,302,4.25,32,0.45,81,1.14,7,0.37,189,9.95,5,0.25,1,0.05,14,0.7,-,-,281,14.05
Yamaguchi,26381,393.75,643,13.68,269,5.72,1907,40.57,3660,77.87,147,3.13,79,1.68,11,0.23,296,6.3,5,0.11,140,2.98,-,-,73,8.11,2,0.22,3,0.33,12,1.33,-,-,71,7.89
Tokushima,11777,318.3,258,11.22,131,5.7,579,25.17,1395,60.65,57,2.48,36,1.57,17,0.74,200,8.7,5,0.22,67,2.91,-,-,15,3.75,1,0.14,-,-,5,0.71,-,-,-,-
Kagawa,15010,319.36,138,4.93,119,4.25,776,27.71,2256,80.57,100,3.57,38,1.36,9,0.32,161,5.75,14,0.5,41,1.46,1,0.2,43,8.6,1,0.2,1,0.2,19,3.8,-,-,13,2.6
Ehime,23008,377.18,295,7.97,76,2.05,1758,47.51,3902,105.46,105,2.84,38,1.03,13,0.35,279,7.54,6,0.16,125,3.38,-,-,161,20.13,-,-,-,-,36,6,-,-,19,3.17
Kochi,20798,433.29,163,5.43,59,1.97,594,19.8,1607,53.57,61,2.03,140,4.67,15,0.5,106,3.53,4,0.13,11,0.37,-,-,7,2.33,2,0.25,1,0.13,24,3,9,1.13,15,1.88
Fukuoka,89320,451.11,1354,11.28,643,5.36,5960,49.67,12599,104.99,731,6.09,896,7.47,55,0.46,1017,8.48,39,0.33,364,3.03,2,0.08,346,13.31,12,0.8,4,0.27,60,4,-,-,50,3.33
Saga,15275,401.97,134,6.09,176,8,568,25.82,1389,63.14,82,3.73,211,9.59,6,0.27,221,10.05,2,0.09,16,0.73,2,0.5,43,10.75,2,0.33,2,0.33,7,1.17,-,-,35,5.83
