"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1st week, 2013",,,,,,"Data collected as of January 10, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Kyoto,205,1.71,17,,1,0.01,19,0.26,132,1.78,57,0.77,-,-,-,-,4,0.05,1,0.01,3,0.04,7,0.09,-,-,4,0.22,-,-,-,-,-,-,-,-
Osaka,408,1.34,187,,20,0.1,102,0.52,632,3.21,271,1.38,1,0.01,1,0.01,28,0.14,-,-,3,0.02,15,0.08,-,-,7,0.13,1,0.06,-,-,8,0.47,-,-
Hyogo,238,1.2,93,,20,0.16,30,0.23,356,2.76,143,1.11,-,-,1,0.01,11,0.09,-,-,1,0.01,10,0.08,-,-,7,0.2,-,-,-,-,5,0.45,-,-
Nara,70,1.27,24,,3,0.09,11,0.31,171,4.89,25,0.71,-,-,-,-,6,0.17,-,-,-,-,4,0.11,-,-,-,-,-,-,-,-,6,1,-,-
Wakayama,54,1.08,39,,6,0.19,12,0.39,69,2.23,42,1.35,-,-,-,-,8,0.26,-,-,-,-,3,0.1,-,-,-,-,1,0.09,-,-,9,0.82,-,-
Tottori,79,2.72,7,,4,0.21,11,0.58,99,5.21,47,2.47,-,-,-,-,1,0.05,-,-,-,-,1,0.05,-,-,-,-,-,-,1,0.2,-,-,-,-
Shimane,83,2.18,20,,5,0.22,10,0.43,178,7.74,52,2.26,-,-,-,-,4,0.17,-,-,-,-,3,0.13,-,-,1,0.33,-,-,-,-,-,-,-,-
Okayama,155,1.85,37,,3,0.06,9,0.17,448,8.3,89,1.65,4,0.07,-,-,9,0.17,-,-,1,0.02,8,0.15,-,-,3,0.25,-,-,-,-,6,1.2,-,-
Hiroshima,213,1.85,30,,19,0.26,24,0.33,519,7.21,89,1.24,6,0.08,2,0.03,13,0.18,-,-,2,0.03,11,0.15,-,-,5,0.26,-,-,2,0.1,-,-,-,-
Yamaguchi,171,2.48,41,,4,0.08,61,1.27,315,6.56,153,3.19,7,0.15,1,0.02,12,0.25,-,-,1,0.02,5,0.1,-,-,-,-,-,-,-,-,5,0.56,-,-
Tokushima,74,1.95,67,,4,0.17,25,1.09,283,12.3,50,2.17,1,0.04,-,-,21,0.91,-,-,-,-,2,0.09,-,-,-,-,-,-,-,-,1,0.2,1,0.2
Kagawa,61,1.24,38,,6,0.2,6,0.2,329,10.97,68,2.27,6,0.2,2,0.07,10,0.33,-,-,1,0.03,7,0.23,-,-,1,0.33,1,0.2,-,-,2,0.4,-,-
Ehime,92,1.51,38,,-,-,42,1.14,245,6.62,81,2.19,2,0.05,3,0.08,12,0.32,-,-,1,0.03,6,0.16,-,-,11,1.38,-,-,-,-,3,0.5,-,-
Kochi,157,3.27,35,,-,-,8,0.27,140,4.67,77,2.57,1,0.03,1,0.03,7,0.23,1,0.03,-,-,1,0.03,-,-,1,0.33,-,-,-,-,2,0.25,-,-
Fukuoka,1022,5.16,50,,46,0.38,79,0.66,457,3.81,300,2.5,48,0.4,2,0.02,41,0.34,2,0.02,3,0.03,55,0.46,-,-,5,0.19,-,-,1,0.07,1,0.07,-,-
Saga,241,6.34,1,,7,0.32,12,0.55,64,2.91,31,1.41,2,0.09,-,-,4,0.18,-,-,-,-,2,0.09,-,-,-,-,-,-,-,-,2,0.33,-,-
Nagasaki,239,3.41,23,,8,0.18,21,0.48,189,4.3,111,2.52,3,0.07,-,-,6,0.14,-,-,-,-,12,0.27,4,0.5,1,0.13,-,-,-,-,3,0.25,-,-
Kumamoto,122,1.53,26,,21,0.42,26,0.52,350,7,110,2.2,28,0.56,-,-,20,0.4,-,-,1,0.02,19,0.38,-,-,11,1.22,-,-,-,-,2,0.14,-,-
Oita,179,3.09,22,,11,0.31,29,0.81,256,7.11,98,2.72,16,0.44,-,-,19,0.53,-,-,1,0.03,27,0.75,-,-,5,1,-,-,-,-,5,0.45,-,-
Miyazaki,152,2.58,22,,19,0.53,37,1.03,381,10.58,144,4,4,0.11,2,0.06,15,0.42,-,-,1,0.03,11,0.31,-,-,20,3.33,-,-,-,-,1,0.14,-,-
Kagoshima,120,1.29,14,,22,0.4,40,0.73,464,8.44,219,3.98,25,0.45,-,-,13,0.24,-,-,1,0.02,12,0.22,-,-,5,0.71,-,-,-,-,-,-,-,-
Okinawa,543,9.36,8,,3,0.09,7,0.21,135,3.97,150,4.41,21,0.62,-,-,7,0.21,-,-,1,0.03,3,0.09,-,-,6,0.6,-,-,1,0.14,4,0.57,-,-
