"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7th week, 2018",,,,,,"Data collected as of February 21, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1369601,277.08,9707,3.08,6632,2.1,48984,15.53,106963,33.9,6688,2.12,3928,1.25,1546,0.49,6759,2.14,378,0.12,3494,1.11,51,0.07,3116,4.47,62,0.13,74,0.15,665,1.39,24,0.05,246,0.51
Hokkaido,45050,203.85,930,6.74,501,3.63,4075,29.53,1799,13.04,345,2.5,63,0.46,22,0.16,177,1.28,7,0.05,59,0.43,-,-,90,3.1,1,0.04,3,0.13,31,1.35,-,-,16,0.7
Aomori,15185,233.62,70,1.67,55,1.31,478,11.38,902,21.48,80,1.9,169,4.02,9,0.21,88,2.1,16,0.38,138,3.29,-,-,27,2.45,1,0.17,1,0.17,24,4,-,-,7,1.17
Iwate,16791,258.32,148,3.7,70,1.75,1145,28.63,1063,26.58,94,2.35,109,2.73,56,1.4,83,2.08,2,0.05,172,4.3,-,-,48,3.43,3,0.16,-,-,43,2.26,3,0.16,-,-
Miyagi,23563,248.03,239,4.05,116,1.97,1224,20.75,1673,28.36,172,2.92,98,1.66,19,0.32,148,2.51,8,0.14,21,0.36,1,0.08,25,2.08,-,-,-,-,25,2.08,-,-,3,0.25
Akita,11620,219.25,87,2.56,50,1.47,293,8.62,573,16.85,62,1.82,22,0.65,5,0.15,45,1.32,8,0.24,60,1.76,2,0.29,8,1.14,-,-,-,-,81,10.13,-,-,1,0.13
Yamagata,10330,219.79,117,4.03,119,4.1,949,32.72,891,30.72,122,4.21,143,4.93,30,1.03,72,2.48,14,0.48,24,0.83,-,-,7,0.88,3,0.3,1,0.1,30,3,-,-,3,0.3
Fukushima,21554,279.92,234,5.09,108,2.35,838,18.22,793,17.24,92,2,95,2.07,44,0.96,151,3.28,6,0.13,70,1.52,-,-,135,11.25,2,0.29,-,-,6,0.86,1,0.14,1,0.14
Ibaraki,33143,276.19,196,2.61,187,2.49,1354,18.05,2099,27.99,148,1.97,45,0.6,23,0.31,77,1.03,8,0.11,37,0.49,3,0.18,148,8.71,1,0.08,2,0.15,26,2,-,-,1,0.08
Tochigi,16470,216.71,108,2.25,46,0.96,329,6.85,831,17.31,103,2.15,34,0.71,71,1.48,106,2.21,1,0.02,18,0.38,-,-,81,6.75,-,-,-,-,17,2.43,-,-,1,0.14
Gunma,23034,261.75,92,1.7,201,3.72,960,17.78,1843,34.13,111,2.06,49,0.91,26,0.48,124,2.3,9,0.17,106,1.96,1,0.07,142,9.47,-,-,1,0.11,23,2.56,-,-,4,0.44
Saitama,82428,323.25,412,2.56,283,1.76,3059,19,6141,38.14,469,2.91,55,0.34,128,0.8,368,2.29,13,0.08,85,0.53,6,0.15,169,4.23,-,-,6,0.6,10,1,1,0.1,1,0.1
Chiba,66654,312.93,229,1.71,191,1.43,2380,17.76,4387,32.74,242,1.81,75,0.56,46,0.34,217,1.62,7,0.05,90,0.67,3,0.09,155,4.43,3,0.33,6,0.67,9,1,1,0.11,1,0.11
Tokyo,104546,253.14,470,1.8,365,1.4,4078,15.62,9636,36.92,554,2.12,118,0.45,202,0.77,681,2.61,18,0.07,136,0.52,-,-,98,2.65,4,0.16,4,0.16,7,0.28,6,0.24,13,0.52
Kanagawa,101202,291.65,260,1.2,278,1.29,2968,13.74,6877,31.84,530,2.45,126,0.58,452,2.09,469,2.17,13,0.06,190,0.88,3,0.06,522,10.24,1,0.09,3,0.27,6,0.55,-,-,7,0.64
Niigata,22319,247.99,176,3.09,333,5.84,1114,19.54,1457,25.56,186,3.26,78,1.37,65,1.14,154,2.7,13,0.23,142,2.49,2,0.2,93,9.3,-,-,-,-,16,1.23,-,-,1,0.08
Toyama,9545,198.85,102,3.52,237,8.17,321,11.07,1113,38.38,75,2.59,76,2.62,6,0.21,66,2.28,2,0.07,12,0.41,-,-,13,1.86,1,0.2,-,-,13,2.6,-,-,1,0.2
Ishikawa,9563,199.23,92,3.17,163,5.62,794,27.38,944,32.55,133,4.59,29,1,26,0.9,65,2.24,-,-,19,0.66,-,-,13,1.86,1,0.2,1,0.2,23,4.6,-,-,1,0.2
Fukui,8070,252.19,47,2.14,53,2.41,511,23.23,1041,47.32,21,0.95,50,2.27,1,0.05,47,2.14,4,0.18,12,0.55,-,-,4,1.33,3,0.5,-,-,1,0.17,1,0.17,-,-
Yamanashi,11698,285.32,46,1.92,26,1.08,344,14.33,839,34.96,30,1.25,33,1.38,6,0.25,21,0.88,2,0.08,23,0.96,-,-,26,2.89,-,-,-,-,10,1,1,0.1,1,0.1
Nagano,23893,277.83,165,3.11,33,0.62,822,15.51,1724,32.53,118,2.23,52,0.98,11,0.21,75,1.42,4,0.08,80,1.51,2,0.18,28,2.55,-,-,-,-,14,1.27,-,-,4,0.36
Gifu,20029,232.9,110,2.12,109,2.1,375,7.21,1331,25.6,58,1.12,53,1.02,4,0.08,90,1.73,-,-,70,1.35,-,-,23,2.09,1,0.2,-,-,9,1.8,-,-,3,0.6
Shizuoka,40808,293.58,171,1.92,110,1.24,1103,12.39,3285,36.91,84,0.94,29,0.33,13,0.15,138,1.55,6,0.07,161,1.81,-,-,97,4.41,1,0.1,3,0.3,11,1.1,1,0.1,1,0.1
Aichi,62424,320.12,413,2.27,261,1.43,2103,11.55,5885,32.34,296,1.63,111,0.61,37,0.2,301,1.65,11,0.06,169,0.93,1,0.03,104,2.97,2,0.13,1,0.07,22,1.47,1,0.07,12,0.8
Mie,21434,297.69,212,4.71,153,3.4,520,11.56,1725,38.33,70,1.56,21,0.47,4,0.09,102,2.27,7,0.16,33,0.73,-,-,7,0.58,2,0.22,3,0.33,8,0.89,1,0.11,1,0.11
Shiga,13636,262.23,69,2.23,40,1.29,249,8.03,656,21.16,56,1.81,29,0.94,6,0.19,54,1.74,7,0.23,55,1.77,-,-,17,2.13,1,0.14,2,0.29,-,-,-,-,2,0.29
Kyoto,31034,246.3,141,1.83,81,1.05,634,8.23,2224,28.88,105,1.36,63,0.82,10,0.13,109,1.42,13,0.17,37,0.48,1,0.06,34,2,-,-,-,-,16,2.29,-,-,3,0.43
Osaka,70256,231.11,941,4.75,276,1.39,2337,11.8,6586,33.26,368,1.86,83,0.42,75,0.38,401,2.03,34,0.17,178,0.9,6,0.12,110,2.12,1,0.06,3,0.18,15,0.88,1,0.06,16,0.94
Hyogo,51448,259.84,582,4.55,284,2.22,1132,8.84,4954,38.7,288,2.25,60,0.47,24,0.19,222,1.73,10,0.08,77,0.6,7,0.2,110,3.14,8,0.57,5,0.36,18,1.29,1,0.07,15,1.07
Nara,12453,230.61,156,4.59,52,1.53,389,11.44,1114,32.76,69,2.03,20,0.59,6,0.18,70,2.06,11,0.32,17,0.5,-,-,12,1.2,1,0.17,2,0.33,6,1,-,-,9,1.5
Wakayama,11877,242.39,100,3.33,72,2.4,181,6.03,699,23.3,35,1.17,5,0.17,6,0.2,61,2.03,6,0.2,37,1.23,2,0.5,10,2.5,-,-,2,0.18,7,0.64,1,0.09,14,1.27
Tottori,7912,272.83,24,1.26,48,2.53,878,46.21,562,29.58,34,1.79,21,1.11,4,0.21,38,2,2,0.11,1,0.05,-,-,4,0.8,1,0.2,1,0.2,3,0.6,-,-,1,0.2
Shimane,7505,197.5,35,1.52,33,1.43,471,20.48,773,33.61,21,0.91,53,2.3,2,0.09,53,2.3,2,0.09,48,2.09,-,-,2,0.67,1,0.13,1,0.13,4,0.5,-,-,4,0.5
Okayama,21150,251.79,88,1.63,75,1.39,664,12.3,2224,41.19,58,1.07,55,1.02,7,0.13,106,1.96,2,0.04,28,0.52,4,0.33,33,2.75,1,0.2,-,-,3,0.6,-,-,3,0.6
Hiroshima,26467,232.17,169,2.38,159,2.24,1037,14.61,3293,46.38,125,1.76,71,1,10,0.14,123,1.73,7,0.1,41,0.58,2,0.11,74,3.89,2,0.1,-,-,10,0.48,-,-,36,1.71
Yamaguchi,21364,314.18,365,7.6,121,2.52,793,16.52,1605,33.44,73,1.52,40,0.83,5,0.1,107,2.23,1,0.02,82,1.71,-,-,43,4.78,-,-,2,0.22,7,0.78,-,-,5,0.56
Tokushima,8825,238.51,144,6.26,68,2.96,256,11.13,685,29.78,29,1.26,26,1.13,10,0.43,85,3.7,4,0.17,50,2.17,-,-,10,2.5,1,0.14,-,-,4,0.57,-,-,-,-
