"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12th week, 2018",,,,,,"Data collected as of March 28, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,49362,355.12,315,3.54,184,2.07,1865,20.96,5137,57.72,146,1.64,46,0.52,38,0.43,252,2.83,10,0.11,272,3.06,-,-,125,5.68,1,0.1,5,0.5,16,1.6,2,0.2,2,0.2
Aichi,77678,398.35,587,3.23,392,2.15,3773,20.73,9746,53.55,412,2.26,155,0.85,57,0.31,542,2.98,19,0.1,280,1.54,1,0.03,160,4.57,4,0.27,1,0.07,34,2.27,1,0.07,52,3.47
Mie,26210,364.03,320,7.11,256,5.69,1067,23.71,2839,63.09,125,2.78,31,0.69,7,0.16,175,3.89,9,0.2,61,1.36,-,-,8,0.67,2,0.22,5,0.56,13,1.44,1,0.11,5,0.56
Shiga,17181,330.4,108,3.48,70,2.26,457,14.74,1228,39.61,78,2.52,47,1.52,9,0.29,112,3.61,9,0.29,92,2.97,-,-,32,4,1,0.14,3,0.43,-,-,-,-,3,0.43
Kyoto,38921,311.37,203,2.64,150,1.95,1217,15.81,3928,51.01,150,1.95,81,1.05,22,0.29,187,2.43,14,0.18,60,0.78,2,0.12,63,3.71,1,0.14,-,-,18,2.57,-,-,15,2.14
Osaka,86993,286.16,1480,7.47,489,2.47,4344,21.94,11668,58.93,685,3.46,121,0.61,111,0.56,723,3.65,55,0.28,276,1.39,8,0.15,225,4.33,4,0.24,5,0.29,23,1.35,1,0.06,53,3.12
Hyogo,63615,321.29,812,6.34,528,4.13,2181,17.04,8538,66.7,445,3.48,80,0.63,45,0.35,419,3.27,13,0.1,129,1.01,9,0.26,190,5.43,8,0.57,7,0.5,25,1.79,2,0.14,53,3.79
Nara,15349,284.24,216,6.35,99,2.91,710,20.88,2032,59.76,91,2.68,37,1.09,24,0.71,141,4.15,21,0.62,20,0.59,-,-,24,2.4,3,0.5,2,0.33,12,2,-,-,24,4
Wakayama,14379,293.45,145,4.83,99,3.3,332,11.07,1117,37.23,55,1.83,8,0.27,10,0.33,99,3.3,7,0.23,54,1.8,10,2.5,11,2.75,2,0.18,3,0.27,11,1,3,0.27,27,2.45
Tottori,10194,351.52,44,2.32,72,3.79,1386,72.95,1093,57.53,48,2.53,26,1.37,13,0.68,71,3.74,4,0.21,3,0.16,1,0.2,8,1.6,2,0.4,1,0.2,4,0.8,-,-,6,1.2
Shimane,9635,253.55,69,3,46,2,800,34.78,1407,61.17,38,1.65,68,2.96,4,0.17,100,4.35,5,0.22,68,2.96,-,-,2,0.67,2,0.25,2,0.25,4,0.5,-,-,17,2.13
Okayama,27638,329.02,111,2.06,115,2.13,1246,23.07,4063,75.24,115,2.13,73,1.35,14,0.26,183,3.39,5,0.09,53,0.98,7,0.58,61,5.08,2,0.4,-,-,4,0.8,-,-,14,2.8
Hiroshima,33141,290.71,309,4.35,301,4.24,1917,27,6771,95.37,187,2.63,98,1.38,16,0.23,230,3.24,12,0.17,65,0.92,5,0.26,144,7.58,2,0.1,-,-,12,0.57,-,-,207,9.86
Yamaguchi,26012,382.53,575,11.98,224,4.67,1500,31.25,2935,61.15,112,2.33,56,1.17,9,0.19,203,4.23,3,0.06,109,2.27,-,-,62,6.89,1,0.11,2,0.22,11,1.22,-,-,40,4.44
Tokushima,11604,313.62,214,9.3,110,4.78,462,20.09,1123,48.83,44,1.91,30,1.3,12,0.52,151,6.57,5,0.22,64,2.78,-,-,11,2.75,1,0.14,-,-,5,0.71,-,-,-,-
Kagawa,14636,311.4,127,4.54,92,3.29,650,23.21,1847,65.96,72,2.57,36,1.29,6,0.21,121,4.32,13,0.46,36,1.29,1,0.2,31,6.2,1,0.2,1,0.2,14,2.8,-,-,8,1.6
Ehime,22572,370.03,206,5.57,54,1.46,1476,39.89,3019,81.59,82,2.22,31,0.84,10,0.27,199,5.38,5,0.14,107,2.89,-,-,126,15.75,-,-,-,-,34,5.67,-,-,9,1.5
Kochi,20615,429.48,138,4.6,50,1.67,512,17.07,1233,41.1,54,1.8,122,4.07,12,0.4,84,2.8,4,0.13,6,0.2,-,-,7,2.33,2,0.25,1,0.13,20,2.5,7,0.88,8,1
Fukuoka,88479,446.86,1066,8.88,519,4.33,4914,40.95,9984,83.2,595,4.96,640,5.33,44,0.37,772,6.43,29,0.24,275,2.29,2,0.08,258,9.92,6,0.4,4,0.27,39,2.6,-,-,42,2.8
Saga,15065,396.45,115,5.23,147,6.68,464,21.09,1073,48.77,62,2.82,153,6.95,6,0.27,161,7.32,1,0.05,12,0.55,-,-,40,10,2,0.33,1,0.17,6,1,-,-,21,3.5
Nagasaki,26246,374.94,176,4,122,2.77,1430,32.5,2515,57.16,177,4.02,480,10.91,11,0.25,157,3.57,5,0.11,22,0.5,2,0.25,31,3.88,-,-,4,0.33,23,1.92,-,-,25,2.08
Kumamoto,29162,364.53,248,4.96,300,6,789,15.78,4168,83.36,129,2.58,156,3.12,12,0.24,338,6.76,52,1.04,53,1.06,-,-,129,14.33,3,0.2,5,0.33,14,0.93,-,-,15,1
Oita,26450,456.03,160,4.44,73,2.03,790,21.94,5800,161.11,184,5.11,112,3.11,8,0.22,200,5.56,6,0.17,123,3.42,-,-,42,8.4,1,0.09,1,0.09,13,1.18,-,-,20,1.82
Miyazaki,26997,457.58,364,10.11,292,8.11,725,20.14,4373,121.47,115,3.19,343,9.53,16,0.44,285,7.92,22,0.61,300,8.33,-,-,150,25,-,-,-,-,3,0.43,-,-,120,17.14
Kagoshima,40036,430.49,586,10.65,604,10.98,1928,35.05,5136,93.38,275,5,406,7.38,23,0.42,199,3.62,18,0.33,494,8.98,1,0.14,53,7.57,-,-,1,0.08,6,0.5,-,-,6,0.5
Okinawa,26391,463,265,7.79,80,2.35,743,21.85,1296,38.12,266,7.82,241,7.09,15,0.44,119,3.5,11,0.32,46,1.35,3,0.33,133,14.78,9,1.29,16,2.29,7,1,2,0.29,11,1.57
