"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38th week, 2017",,,,,,"Data collected as of September 27, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1369473,277.11,91226,28.9,65197,20.65,266036,84.27,639397,202.53,40921,12.96,297169,94.13,9423,2.98,55067,17.44,1156,0.37,74440,23.58,64266,20.36,332,0.48,18717,26.97,384,0.81,727,1.52,5752,12.06,197,0.41,4862,10.19
Hokkaido,49348,220.3,4563,32.36,5979,42.4,17995,127.62,13909,98.65,2114,14.99,12517,88.77,220,1.56,1543,10.94,66,0.47,2652,18.81,1678,11.9,11,0.39,434,15.5,7,0.3,49,2.13,189,8.22,-,-,205,8.91
Aomori,15405,240.7,722,17.61,484,11.8,2515,61.34,6632,161.76,367,8.95,2867,69.93,194,4.73,703,17.15,5,0.12,718,17.51,727,17.73,4,0.36,107,9.73,10,1.67,6,1,150,25,-,-,74,12.33
Iwate,14571,227.67,1061,27.21,1007,25.82,3922,100.56,7197,184.54,325,8.33,2400,61.54,238,6.1,676,17.33,5,0.13,695,17.82,1419,36.38,5,0.36,177,12.64,8,0.42,8,0.42,236,12.42,6,0.32,108,5.68
Miyagi,27266,287.01,1902,32.24,1380,23.39,5693,96.49,10938,185.39,802,13.59,5927,100.46,166,2.81,1246,21.12,10,0.17,895,15.17,506,8.58,-,-,112,9.33,3,0.25,1,0.08,198,16.5,-,-,51,4.25
Akita,13144,243.41,632,18.06,398,11.37,1701,48.6,4003,114.37,422,12.06,1874,53.54,43,1.23,329,9.4,15,0.43,624,17.83,135,3.86,9,1.29,52,7.43,1,0.13,-,-,305,38.13,3,0.38,56,7
Yamagata,11418,242.94,1288,44.41,713,24.59,5360,184.83,5654,194.97,465,16.03,2951,101.76,553,19.07,712,24.55,23,0.79,1157,39.9,527,18.17,-,-,107,13.38,2,0.2,8,0.8,161,16.1,-,-,78,7.8
Fukushima,23768,308.68,2174,47.26,604,13.13,4114,89.43,6399,139.11,808,17.57,3812,82.87,332,7.22,1106,24.04,10,0.22,724,15.74,730,15.87,2,0.17,419,34.92,7,1,16,2.29,88,12.57,5,0.71,218,31.14
Ibaraki,31025,258.54,1328,17.71,1221,16.28,6806,90.75,12327,164.36,901,12.01,5784,77.12,165,2.2,848,11.31,22,0.29,1208,16.11,585,7.8,6,0.35,707,41.59,2,0.15,-,-,101,7.77,-,-,122,9.38
