"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33th week, 2013",,,,,,"Data collected as of August 21, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,72,0.02,1281,,1298,0.44,1636,0.55,6314,2.12,1649,0.55,15574,5.23,115,0.04,1317,0.44,24,0.01,5467,1.84,646,0.22,8,0.01,400,0.61,13,0.03,40,0.09,210,0.45,16,0.03
Hokkaido,-,-,57,,76,0.53,118,0.83,144,1.01,92,0.64,420,2.94,3,0.02,46,0.32,1,0.01,202,1.41,13,0.09,-,-,9,0.31,-,-,-,-,8,0.35,-,-
Aomori,-,-,15,,3,0.07,17,0.41,30,0.73,33,0.8,221,5.39,5,0.12,22,0.54,-,-,152,3.71,22,0.54,1,0.09,2,0.18,-,-,-,-,10,1.67,-,-
Iwate,-,-,6,,1,0.03,19,0.49,53,1.36,42,1.08,283,7.26,-,-,13,0.33,-,-,133,3.41,16,0.41,-,-,5,0.36,-,-,-,-,12,0.63,-,-
Miyagi,-,-,25,,11,0.19,35,0.6,96,1.66,31,0.53,278,4.79,10,0.17,31,0.53,-,-,151,2.6,16,0.28,-,-,-,-,-,-,1,0.08,21,1.75,-,-
Akita,-,-,10,,8,0.24,12,0.35,57,1.68,31,0.91,182,5.35,2,0.06,10,0.29,-,-,87,2.56,20,0.59,-,-,-,-,-,-,-,-,3,0.38,-,-
Yamagata,-,-,11,,4,0.16,22,0.88,31,1.24,7,0.28,127,5.08,-,-,20,0.8,-,-,117,4.68,9,0.36,-,-,-,-,-,-,-,-,10,1,-,-
Fukushima,1,0.01,39,,12,0.27,21,0.47,48,1.07,47,1.04,452,10.04,1,0.02,28,0.62,1,0.02,157,3.49,29,0.64,-,-,8,0.67,-,-,1,0.14,19,2.71,-,-
Ibaraki,-,-,16,,22,0.29,83,1.11,261,3.48,42,0.56,436,5.81,-,-,19,0.25,-,-,101,1.35,5,0.07,-,-,10,0.59,-,-,1,0.08,4,0.31,-,-
Tochigi,-,-,6,,4,0.08,10,0.21,26,0.54,16,0.33,305,6.35,-,-,13,0.27,-,-,83,1.73,6,0.13,-,-,4,0.33,-,-,1,0.14,2,0.29,7,1
Gunma,-,-,1,,10,0.2,41,0.8,95,1.86,21,0.41,271,5.31,1,0.02,16,0.31,-,-,86,1.69,8,0.16,-,-,9,0.64,-,-,-,-,2,0.25,-,-
Saitama,-,-,45,,91,0.65,67,0.48,230,1.65,63,0.45,923,6.64,2,0.01,54,0.39,2,0.01,156,1.12,34,0.24,-,-,16,0.43,-,-,3,0.3,8,0.8,-,-
Chiba,-,-,23,,44,0.35,87,0.7,209,1.67,57,0.46,688,5.5,6,0.05,47,0.38,2,0.02,149,1.19,32,0.26,-,-,17,0.53,-,-,2,0.22,3,0.33,-,-
Tokyo,2,0.01,89,,93,0.47,141,0.71,342,1.73,106,0.54,1268,6.4,9,0.05,82,0.41,-,-,281,1.42,23,0.12,-,-,9,0.3,1,0.04,2,0.08,7,0.28,2,0.08
Kanagawa,1,0,40,,31,0.21,34,0.23,251,1.7,68,0.46,782,5.28,15,0.1,59,0.4,-,-,218,1.47,38,0.26,1,0.03,34,1.06,-,-,1,0.11,-,-,1,0.11
Niigata,-,-,38,,11,0.18,35,0.57,59,0.97,31,0.51,871,14.28,9,0.15,28,0.46,-,-,342,5.61,6,0.1,1,0.1,5,0.5,-,-,-,-,2,0.15,3,0.23
Toyama,-,-,6,,1,0.03,13,0.45,52,1.79,9,0.31,116,4,21,0.72,8,0.28,-,-,79,2.72,1,0.03,-,-,-,-,-,-,-,-,9,1.8,-,-
Ishikawa,-,-,-,,13,0.45,24,0.83,46,1.59,4,0.14,197,6.79,-,-,12,0.41,-,-,69,2.38,4,0.14,-,-,2,0.29,-,-,-,-,5,1,-,-
Fukui,-,-,18,,2,0.09,29,1.32,72,3.27,15,0.68,164,7.45,-,-,8,0.36,-,-,56,2.55,41,1.86,-,-,2,0.67,2,0.33,-,-,-,-,-,-
Yamanashi,-,-,1,,-,-,10,0.42,18,0.75,9,0.38,209,8.71,-,-,6,0.25,-,-,23,0.96,6,0.25,-,-,-,-,-,-,-,-,3,0.3,-,-
Nagano,3,0.04,2,,12,0.23,25,0.48,84,1.62,26,0.5,471,9.06,-,-,17,0.33,-,-,168,3.23,2,0.04,-,-,19,1.73,-,-,-,-,7,0.64,-,-
Gifu,5,0.06,22,,9,0.17,27,0.51,90,1.7,20,0.38,225,4.25,1,0.02,24,0.45,-,-,128,2.42,21,0.4,-,-,7,0.64,-,-,-,-,1,0.2,-,-
Shizuoka,-,-,18,,27,0.3,51,0.57,208,2.34,25,0.28,675,7.58,1,0.01,46,0.52,-,-,103,1.16,8,0.09,-,-,10,0.45,-,-,2,0.2,6,0.6,-,-
Aichi,-,-,65,,68,0.38,73,0.4,258,1.43,114,0.63,1028,5.68,9,0.05,50,0.28,3,0.02,296,1.64,37,0.2,-,-,8,0.24,-,-,-,-,13,1,1,0.08
Mie,-,-,18,,10,0.22,15,0.33,92,2.04,19,0.42,333,7.4,-,-,19,0.42,1,0.02,136,3.02,15,0.33,-,-,3,0.25,-,-,1,0.11,-,-,-,-
Shiga,-,-,-,,5,0.16,13,0.41,87,2.72,19,0.59,175,5.47,-,-,16,0.5,-,-,56,1.75,2,0.06,-,-,13,1.63,1,0.14,-,-,-,-,1,0.14
Kyoto,1,0.01,2,,21,0.3,23,0.33,64,0.91,46,0.66,221,3.16,-,-,28,0.4,-,-,81,1.16,13,0.19,1,0.06,5,0.29,-,-,-,-,-,-,1,0.14
Osaka,2,0.01,117,,88,0.44,124,0.62,480,2.41,130,0.65,717,3.6,3,0.02,79,0.4,6,0.03,348,1.75,14,0.07,1,0.02,17,0.33,-,-,-,-,5,0.29,-,-
