"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33th week, 2014",,,,,,"Data collected as of August 20, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,101,0.02,593,,1195,0.4,1867,0.62,7302,2.43,1455,0.49,2295,0.77,308,0.1,1391,0.46,44,0.01,7288,2.43,823,0.27,8,0.01,316,0.48,4,0.01,19,0.04,117,0.25,3,0.01,1,0
Hokkaido,1,0,40,,92,0.64,126,0.88,188,1.31,46,0.32,129,0.9,6,0.04,48,0.34,7,0.05,354,2.48,31,0.22,-,-,9,0.32,-,-,-,-,13,0.57,-,-,-,-
Aomori,-,-,4,,3,0.07,13,0.31,23,0.55,15,0.36,8,0.19,14,0.33,19,0.45,-,-,201,4.79,6,0.14,-,-,1,0.09,-,-,-,-,6,1,-,-,-,-
Iwate,3,0.05,2,,3,0.08,14,0.35,85,2.13,14,0.35,35,0.88,8,0.2,18,0.45,-,-,143,3.58,6,0.15,-,-,5,0.36,-,-,-,-,7,0.37,-,-,-,-
Miyagi,-,-,3,,7,0.12,25,0.43,125,2.16,11,0.19,9,0.16,27,0.47,22,0.38,1,0.02,145,2.5,6,0.1,-,-,1,0.08,-,-,-,-,10,0.83,-,-,-,-
Akita,-,-,3,,6,0.17,17,0.49,38,1.09,11,0.31,8,0.23,2,0.06,10,0.29,-,-,174,4.97,19,0.54,-,-,-,-,-,-,-,-,5,0.63,-,-,-,-
Yamagata,-,-,3,,3,0.11,21,0.78,40,1.48,9,0.33,10,0.37,-,-,12,0.44,-,-,147,5.44,8,0.3,-,-,-,-,-,-,2,0.2,4,0.4,-,-,-,-
Fukushima,1,0.01,10,,19,0.42,25,0.56,43,0.96,19,0.42,15,0.33,4,0.09,22,0.49,-,-,172,3.82,57,1.27,-,-,13,1.08,-,-,-,-,3,0.43,-,-,-,-
Ibaraki,-,-,4,,20,0.27,40,0.53,239,3.19,28,0.37,42,0.56,3,0.04,27,0.36,1,0.01,249,3.32,11,0.15,-,-,11,0.65,-,-,-,-,2,0.15,-,-,-,-
Tochigi,1,0.01,3,,15,0.31,14,0.29,34,0.71,14,0.29,9,0.19,1,0.02,28,0.58,-,-,124,2.58,18,0.38,-,-,11,0.92,-,-,1,0.14,1,0.14,-,-,-,-
Gunma,-,-,1,,58,1.05,54,0.98,114,2.07,24,0.44,35,0.64,7,0.13,22,0.4,2,0.04,174,3.16,3,0.05,-,-,38,2.92,-,-,-,-,2,0.25,-,-,-,-
Saitama,-,-,17,,50,0.39,103,0.8,283,2.21,53,0.41,106,0.83,14,0.11,56,0.44,1,0.01,290,2.27,32,0.25,3,0.09,10,0.3,-,-,-,-,3,0.3,1,0.1,-,-
Chiba,2,0.01,11,,21,0.17,77,0.62,199,1.6,33,0.27,93,0.75,10,0.08,50,0.4,7,0.06,272,2.19,59,0.48,-,-,17,0.55,-,-,1,0.11,2,0.22,-,-,-,-
Tokyo,5,0.01,37,,59,0.27,122,0.56,593,2.71,83,0.38,131,0.6,54,0.25,115,0.53,4,0.02,577,2.63,77,0.35,-,-,3,0.09,-,-,1,0.04,1,0.04,-,-,-,-
Kanagawa,5,0.02,22,,42,0.28,58,0.39,346,2.34,68,0.46,79,0.53,57,0.39,76,0.51,-,-,376,2.54,38,0.26,1,0.03,32,0.91,-,-,-,-,-,-,-,-,-,-
Niigata,2,0.02,21,,33,0.54,36,0.59,104,1.7,36,0.59,46,0.75,28,0.46,26,0.43,2,0.03,448,7.34,11,0.18,2,0.2,1,0.1,-,-,-,-,4,0.31,-,-,-,-
Toyama,-,-,1,,13,0.45,15,0.52,69,2.38,9,0.31,8,0.28,-,-,12,0.41,-,-,40,1.38,2,0.07,-,-,1,0.14,-,-,-,-,4,0.8,-,-,-,-
Ishikawa,1,0.02,-,,13,0.45,22,0.76,49,1.69,22,0.76,99,3.41,6,0.21,20,0.69,-,-,40,1.38,8,0.28,-,-,1,0.14,-,-,-,-,5,1,-,-,-,-
Fukui,-,-,1,,6,0.27,23,1.05,98,4.45,36,1.64,13,0.59,1,0.05,13,0.59,-,-,41,1.86,22,1,-,-,1,0.33,-,-,1,0.17,-,-,-,-,-,-
Yamanashi,-,-,-,,8,0.33,12,0.5,30,1.25,4,0.17,10,0.42,4,0.17,10,0.42,-,-,45,1.88,-,-,-,-,4,0.44,-,-,-,-,-,-,-,-,-,-
Nagano,-,-,-,,39,0.74,42,0.79,146,2.75,28,0.53,40,0.75,2,0.04,19,0.36,1,0.02,330,6.23,4,0.08,-,-,9,0.82,-,-,-,-,4,0.36,-,-,-,-
Gifu,5,0.06,8,,36,0.69,27,0.52,82,1.58,20,0.38,62,1.19,2,0.04,18,0.35,-,-,65,1.25,10,0.19,-,-,1,0.09,-,-,3,0.6,-,-,-,-,-,-
Shizuoka,-,-,4,,65,0.73,54,0.61,196,2.2,34,0.38,43,0.48,7,0.08,29,0.33,-,-,281,3.16,18,0.2,-,-,8,0.36,1,0.1,2,0.2,1,0.1,-,-,-,-
Aichi,1,0.01,39,,60,0.33,101,0.56,301,1.66,82,0.45,146,0.81,3,0.02,61,0.34,-,-,371,2.05,32,0.18,-,-,11,0.32,-,-,1,0.07,5,0.36,-,-,-,-
Mie,1,0.01,8,,26,0.58,17,0.38,114,2.53,26,0.58,58,1.29,2,0.04,21,0.47,-,-,113,2.51,10,0.22,-,-,1,0.08,-,-,-,-,1,0.11,-,-,-,-
Shiga,3,0.06,-,,6,0.19,18,0.56,88,2.75,24,0.75,9,0.28,-,-,19,0.59,1,0.03,74,2.31,3,0.09,-,-,5,0.63,-,-,-,-,-,-,-,-,-,-
Kyoto,4,0.03,1,,60,0.82,29,0.4,137,1.88,23,0.32,17,0.23,-,-,10,0.14,2,0.03,62,0.85,19,0.26,-,-,2,0.12,-,-,-,-,-,-,-,-,-,-
Osaka,8,0.03,76,,138,0.69,147,0.74,490,2.46,112,0.56,46,0.23,6,0.03,97,0.49,-,-,319,1.6,21,0.11,1,0.02,6,0.12,-,-,-,-,2,0.12,-,-,-,-
Hyogo,3,0.02,5,,38,0.3,51,0.4,343,2.7,50,0.39,62,0.49,9,0.07,52,0.41,-,-,330,2.6,17,0.13,-,-,14,0.4,1,0.08,1,0.08,1,0.08,-,-,-,-
Nara,1,0.02,1,,27,0.79,18,0.53,54,1.59,17,0.5,4,0.12,1,0.03,13,0.38,-,-,34,1,5,0.15,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-
Wakayama,-,-,23,,14,0.45,11,0.35,39,1.26,14,0.45,6,0.19,1,0.03,8,0.26,-,-,62,2,2,0.06,-,-,9,2.25,-,-,-,-,7,0.64,-,-,-,-
Tottori,-,-,7,,4,0.21,13,0.68,56,2.95,8,0.42,1,0.05,1,0.05,7,0.37,-,-,46,2.42,6,0.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shimane,-,-,4,,6,0.26,24,1.04,123,5.35,12,0.52,5,0.22,-,-,18,0.78,-,-,36,1.57,5,0.22,-,-,-,-,1,0.13,-,-,1,0.13,-,-,-,-
Okayama,-,-,-,,12,0.23,23,0.43,236,4.45,25,0.47,26,0.49,1,0.02,20,0.38,-,-,73,1.38,8,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hiroshima,3,0.03,14,,29,0.41,47,0.66,180,2.54,47,0.66,23,0.32,-,-,27,0.38,1,0.01,101,1.42,29,0.41,-,-,15,0.79,-,-,-,-,1,0.05,-,-,-,-
Yamaguchi,1,0.01,5,,10,0.21,40,0.85,140,2.98,12,0.26,67,1.43,4,0.09,34,0.72,-,-,113,2.4,8,0.17,-,-,2,0.22,-,-,-,-,-,-,-,-,-,-
Tokushima,-,-,-,,10,0.43,12,0.52,110,4.78,11,0.48,2,0.09,3,0.13,24,1.04,1,0.04,46,2,3,0.13,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Kagawa,6,0.12,3,,7,0.23,21,0.7,153,5.1,22,0.73,2,0.07,-,-,19,0.63,-,-,41,1.37,1,0.03,-,-,5,1,-,-,1,0.2,1,0.2,-,-,-,-
Ehime,-,-,14,,21,0.57,22,0.59,166,4.49,23,0.62,29,0.78,-,-,12,0.32,-,-,112,3.03,10,0.27,-,-,6,0.75,-,-,1,0.17,-,-,-,-,-,-
Kochi,-,-,-,,5,0.17,7,0.23,102,3.4,20,0.67,4,0.13,2,0.07,16,0.53,-,-,80,2.67,28,0.93,-,-,-,-,-,-,1,0.13,4,0.5,1,0.13,-,-
Fukuoka,-,-,70,,17,0.14,97,0.81,323,2.69,90,0.75,301,2.51,5,0.04,67,0.56,6,0.05,174,1.45,66,0.55,-,-,9,0.35,-,-,-,-,3,0.21,-,-,-,-
Saga,1,0.03,13,,5,0.22,25,1.09,37,1.61,15,0.65,82,3.57,1,0.04,17,0.74,-,-,35,1.52,12,0.52,-,-,1,0.25,-,-,-,-,1,0.17,-,-,-,-
Nagasaki,3,0.04,29,,3,0.07,30,0.68,99,2.25,24,0.55,25,0.57,-,-,26,0.59,-,-,38,0.86,17,0.39,1,0.13,1,0.13,-,-,-,-,5,0.42,-,-,-,-
Kumamoto,-,-,-,,13,0.26,42,0.84,166,3.32,33,0.66,98,1.96,2,0.04,37,0.74,1,0.02,66,1.32,2,0.04,-,-,11,1.22,-,-,1,0.07,-,-,1,0.07,-,-
Oita,1,0.02,3,,22,0.61,27,0.75,211,5.86,38,1.06,94,2.61,1,0.03,23,0.64,-,-,34,0.94,23,0.64,-,-,1,0.2,-,-,-,-,2,0.18,-,-,-,-
Miyazaki,2,0.03,2,,23,0.64,35,0.97,211,5.86,46,1.28,60,1.67,4,0.11,39,1.08,1,0.03,87,2.42,6,0.17,-,-,17,2.83,-,-,-,-,1,0.14,-,-,-,-
Kagoshima,-,-,43,,17,0.31,45,0.82,226,4.11,32,0.58,63,1.15,5,0.09,36,0.65,-,-,103,1.87,19,0.35,-,-,9,1.29,-,-,-,-,-,-,-,-,-,-
Okinawa,37,0.64,38,,11,0.32,25,0.74,73,2.15,32,0.94,35,1.03,-,-,16,0.47,5,0.15,50,1.47,25,0.74,-,-,13,1.3,1,0.14,2,0.29,4,0.57,-,-,1,0.14
