"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2018",,,,,,"Data collected as of January 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,34298,175.89,245,1.35,148,0.81,1088,5.98,3735,20.52,224,1.23,81,0.45,19,0.1,182,1,9,0.05,101,0.55,1,0.03,66,1.89,1,0.07,-,-,12,0.8,1,0.07,1,0.07
Mie,11836,164.39,129,2.87,83,1.84,311,6.91,1074,23.87,38,0.84,15,0.33,1,0.02,63,1.4,3,0.07,15,0.33,-,-,4,0.33,1,0.11,2,0.22,3,0.33,1,0.11,-,-
Shiga,7096,136.46,44,1.42,24,0.77,130,4.19,398,12.84,34,1.1,23,0.74,2,0.06,23,0.74,5,0.16,38,1.23,-,-,14,1.75,-,-,1,0.14,-,-,-,-,1,0.14
Kyoto,15690,124.52,96,1.25,50,0.65,309,4.01,1299,16.87,65,0.84,45,0.58,5,0.06,60,0.78,6,0.08,24,0.31,1,0.06,13,0.72,-,-,-,-,9,1.29,-,-,-,-
Osaka,36917,121.44,611,3.09,167,0.84,1259,6.36,3753,18.95,241,1.22,55,0.28,48,0.24,223,1.13,20,0.1,104,0.53,1,0.02,65,1.25,-,-,3,0.18,9,0.53,-,-,6,0.35
Hyogo,27074,136.05,371,2.88,158,1.22,586,4.54,2722,21.1,174,1.35,42,0.33,13,0.1,124,0.96,6,0.05,47,0.36,2,0.06,62,1.77,6,0.43,1,0.07,13,0.93,-,-,5,0.36
Nara,6721,124.46,112,3.29,27,0.79,204,6,667,19.62,51,1.5,12,0.35,3,0.09,44,1.29,7,0.21,14,0.41,-,-,10,1,-,-,1,0.17,3,0.5,-,-,5,0.83
Wakayama,5806,118.49,68,2.27,57,1.9,104,3.47,426,14.2,21,0.7,5,0.17,2,0.07,33,1.1,6,0.2,28,0.93,-,-,6,1.5,-,-,2,0.18,6,0.55,-,-,10,0.91
Tottori,4464,153.93,17,0.89,25,1.32,487,25.63,289,15.21,26,1.37,16,0.84,1,0.05,25,1.32,2,0.11,1,0.05,-,-,4,0.8,1,0.2,1,0.2,2,0.4,-,-,1,0.2
Shimane,3891,102.39,27,1.17,16,0.7,240,10.43,435,18.91,14,0.61,23,1,1,0.04,38,1.65,1,0.04,34,1.48,-,-,1,0.33,-,-,1,0.13,4,0.5,-,-,2,0.25
Okayama,11064,131.71,60,1.11,46,0.85,313,5.8,1297,24.02,37,0.69,31,0.57,3,0.06,64,1.19,2,0.04,11,0.2,4,0.33,17,1.42,-,-,-,-,3,0.6,-,-,-,-
Hiroshima,14353,125.9,104,1.46,104,1.46,555,7.82,1778,25.04,85,1.2,36,0.51,8,0.11,76,1.07,5,0.07,28,0.39,2,0.11,46,2.42,1,0.05,-,-,9,0.43,-,-,15,0.71
Yamaguchi,10187,149.81,262,5.46,49,1.02,421,8.77,941,19.6,43,0.9,25,0.52,3,0.06,67,1.4,1,0.02,61,1.27,-,-,17,1.89,-,-,1,0.11,5,0.56,-,-,3,0.33
Tokushima,4592,124.11,60,2.61,40,1.74,157,6.83,416,18.09,21,0.91,22,0.96,4,0.17,57,2.48,4,0.17,40,1.74,-,-,7,1.75,-,-,-,-,-,-,-,-,-,-
Kagawa,6870,146.17,50,1.79,31,1.11,217,7.75,667,23.82,26,0.93,33,1.18,1,0.04,40,1.43,9,0.32,15,0.54,-,-,10,2,-,-,-,-,4,0.8,-,-,1,0.2
Ehime,9239,151.46,60,1.62,15,0.41,451,12.19,1014,27.41,29,0.78,16,0.43,2,0.05,59,1.59,4,0.11,52,1.41,-,-,51,6.38,-,-,-,-,18,3,-,-,1,0.17
Kochi,8076,168.25,47,1.57,12,0.4,162,5.4,356,11.87,24,0.8,57,1.9,5,0.17,29,0.97,1,0.03,1,0.03,-,-,3,1,-,-,-,-,7,0.88,3,0.38,-,-
Fukuoka,46778,236.25,244,2.03,158,1.32,1530,12.75,2955,24.63,269,2.24,185,1.54,15,0.13,232,1.93,7,0.06,106,0.88,-,-,97,3.73,2,0.13,-,-,14,0.93,-,-,-,-
Saga,7360,188.72,50,2.17,54,2.35,162,7.04,383,16.65,23,1,80,3.48,3,0.13,59,2.57,1,0.04,3,0.13,-,-,17,4.25,1,0.17,-,-,3,0.5,-,-,-,-
Nagasaki,13146,187.8,42,0.95,33,0.75,461,10.48,645,14.66,44,1,212,4.82,3,0.07,53,1.2,4,0.09,8,0.18,1,0.13,12,1.5,-,-,1,0.08,10,0.83,-,-,1,0.08
Kumamoto,14490,181.13,52,1.04,103,2.06,200,4,1267,25.34,65,1.3,73,1.46,3,0.06,104,2.08,15,0.3,18,0.36,-,-,39,4.33,2,0.13,3,0.2,4,0.27,-,-,-,-
Oita,13183,227.29,63,1.75,31,0.86,258,7.17,2138,59.39,75,2.08,38,1.06,2,0.06,61,1.69,3,0.08,63,1.75,-,-,17,3.4,-,-,-,-,6,0.55,-,-,7,0.64
Miyazaki,13775,233.47,131,3.64,83,2.31,185,5.14,1280,35.56,53,1.47,72,2,4,0.11,83,2.31,2,0.06,87,2.42,-,-,48,8,-,-,-,-,2,0.29,-,-,5,0.71
Kagoshima,19712,211.96,167,3.04,180,3.27,477,8.67,1761,32.02,114,2.07,153,2.78,2,0.04,60,1.09,5,0.09,200,3.64,-,-,21,3,-,-,1,0.08,2,0.17,-,-,-,-
Okinawa,11105,194.82,39,1.15,24,0.71,179,5.26,386,11.35,79,2.32,83,2.44,-,-,31,0.91,5,0.15,13,0.38,1,0.11,57,6.33,1,0.14,8,1.14,2,0.29,-,-,-,-
