"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39th week, 2016",,,,,,"Data collected as of October 5, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,33,0.17,212,,45,0.25,235,1.3,528,2.92,63,0.35,140,0.77,27,0.15,70,0.39,7,0.04,139,0.77,170,0.94,-,-,32,0.94,-,-,-,-,24,1.71,-,-,-,-
Mie,1,0.01,67,,10,0.22,47,1.04,199,4.42,8,0.18,24,0.53,13,0.29,23,0.51,1,0.02,29,0.64,24,0.53,1,0.08,-,-,-,-,-,-,4,0.44,-,-,-,-
Shiga,4,0.08,15,,1,0.03,22,0.69,112,3.5,7,0.22,10,0.31,2,0.06,15,0.47,-,-,11,0.34,45,1.41,-,-,-,-,-,-,-,-,3,0.43,-,-,-,-
Kyoto,2,0.02,81,,40,0.53,71,0.95,255,3.4,29,0.39,43,0.57,2,0.03,27,0.36,1,0.01,31,0.41,86,1.15,-,-,11,0.61,-,-,-,-,3,0.43,-,-,-,-
Osaka,13,0.04,349,,96,0.48,317,1.58,726,3.61,71,0.35,122,0.61,16,0.08,120,0.6,9,0.04,66,0.33,418,2.08,2,0.04,57,1.1,-,-,-,-,30,1.76,-,-,-,-
Hyogo,5,0.03,139,,46,0.36,98,0.77,613,4.83,31,0.24,44,0.35,20,0.16,60,0.47,2,0.02,49,0.39,237,1.87,-,-,20,0.57,1,0.09,-,-,9,0.82,-,-,-,-
Nara,-,-,44,,9,0.26,22,0.65,98,2.88,13,0.38,20,0.59,14,0.41,14,0.41,-,-,17,0.5,63,1.85,-,-,13,1.3,-,-,1,0.17,11,1.83,-,-,-,-
Wakayama,3,0.06,46,,7,0.23,3,0.1,65,2.1,9,0.29,3,0.1,9,0.29,8,0.26,3,0.1,16,0.52,47,1.52,-,-,1,0.25,-,-,2,0.18,10,0.91,-,-,-,-
Tottori,1,0.03,22,,2,0.11,48,2.53,91,4.79,6,0.32,8,0.42,5,0.26,6,0.32,1,0.05,8,0.42,15,0.79,1,0.2,12,2.4,-,-,-,-,5,1,1,0.2,-,-
Shimane,-,-,38,,3,0.13,46,2,136,5.91,4,0.17,29,1.26,18,0.78,22,0.96,-,-,6,0.26,42,1.83,-,-,3,1,1,0.13,1,0.13,6,0.75,-,-,-,-
Okayama,1,0.01,64,,13,0.24,51,0.94,249,4.61,15,0.28,28,0.52,5,0.09,15,0.28,1,0.02,11,0.2,46,0.85,-,-,5,0.42,-,-,-,-,2,0.4,-,-,-,-
Hiroshima,12,0.1,75,,31,0.43,105,1.46,395,5.49,20,0.28,29,0.4,22,0.31,29,0.4,1,0.01,28,0.39,78,1.08,-,-,18,0.95,-,-,-,-,13,0.62,-,-,-,-
Yamaguchi,4,0.06,72,,18,0.38,113,2.35,171,3.56,11,0.23,8,0.17,34,0.71,25,0.52,-,-,41,0.85,56,1.17,-,-,5,0.56,-,-,-,-,7,0.78,-,-,-,-
Tokushima,-,-,58,,2,0.09,16,0.7,111,4.83,4,0.17,22,0.96,5,0.22,15,0.65,-,-,5,0.22,55,2.39,-,-,-,-,-,-,-,-,2,0.29,-,-,1,0.14
Kagawa,1,0.02,40,,5,0.18,35,1.25,146,5.21,6,0.21,3,0.11,6,0.21,10,0.36,-,-,2,0.07,38,1.36,-,-,1,0.2,-,-,-,-,6,1.2,-,-,-,-
Ehime,-,-,51,,8,0.22,85,2.3,222,6,13,0.35,61,1.65,14,0.38,23,0.62,-,-,26,0.7,34,0.92,1,0.13,23,2.88,-,-,-,-,7,1.17,-,-,-,-
Kochi,-,-,31,,26,0.87,30,1,92,3.07,5,0.17,7,0.23,5,0.17,15,0.5,-,-,5,0.17,16,0.53,-,-,1,0.33,1,0.13,-,-,7,0.88,1,0.13,2,0.25
Fukuoka,72,0.36,130,,72,0.6,295,2.46,693,5.78,53,0.44,166,1.38,9,0.08,108,0.9,3,0.03,76,0.63,149,1.24,-,-,33,1.27,-,-,7,0.47,27,1.8,-,-,-,-
Saga,7,0.18,20,,6,0.26,26,1.13,71,3.09,1,0.04,16,0.7,1,0.04,19,0.83,-,-,9,0.39,48,2.09,-,-,2,0.5,-,-,-,-,4,0.67,-,-,-,-
Nagasaki,3,0.04,41,,6,0.14,48,1.09,125,2.84,10,0.23,24,0.55,3,0.07,29,0.66,1,0.02,16,0.36,67,1.52,-,-,23,2.88,-,-,2,0.17,16,1.33,-,-,1,0.08
Kumamoto,1,0.01,106,,24,0.48,45,0.9,320,6.4,15,0.3,88,1.76,2,0.04,41,0.82,-,-,39,0.78,117,2.34,-,-,27,3,-,-,2,0.13,11,0.73,-,-,-,-
Oita,3,0.05,66,,11,0.31,96,2.67,257,7.14,21,0.58,19,0.53,1,0.03,31,0.86,1,0.03,34,0.94,27,0.75,-,-,5,1,-,-,-,-,7,0.64,-,-,-,-
Miyazaki,3,0.05,78,,14,0.39,41,1.14,215,5.97,20,0.56,99,2.75,30,0.83,26,0.72,-,-,30,0.83,80,2.22,-,-,21,3.5,-,-,-,-,10,1.43,-,-,-,-
Kagoshima,14,0.15,19,,15,0.27,88,1.6,373,6.78,17,0.31,100,1.82,10,0.18,19,0.35,3,0.05,48,0.87,129,2.35,-,-,14,2,-,-,-,-,10,0.83,-,-,-,-
Okinawa,309,5.33,7,,26,0.76,29,0.85,117,3.44,14,0.41,50,1.47,-,-,13,0.38,4,0.12,7,0.21,16,0.47,3,0.33,15,1.67,2,0.29,3,0.43,9,1.29,1,0.14,-,-
