"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14th week, 2013",,,,,,"Data collected as of Aplir 10, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,257,4.85,4,,7,0.22,27,0.84,172,5.38,19,0.59,9,0.28,1,0.03,9,0.28,-,-,-,-,3,0.09,-,-,1,0.13,-,-,-,-,2,0.29,-,-
Kyoto,347,2.87,5,,9,0.13,59,0.82,329,4.57,60,0.83,1,0.01,-,-,31,0.43,-,-,-,-,20,0.28,1,0.06,5,0.29,-,-,-,-,3,0.43,-,-
Osaka,738,2.4,46,,45,0.23,264,1.32,1418,7.09,177,0.89,20,0.1,4,0.02,85,0.43,2,0.01,3,0.02,35,0.18,-,-,9,0.17,1,0.06,-,-,11,0.65,-,-
Hyogo,494,2.47,20,,46,0.36,100,0.78,1113,8.63,147,1.14,3,0.02,4,0.03,62,0.48,2,0.02,2,0.02,17,0.13,-,-,15,0.43,-,-,-,-,9,0.82,-,-
Nara,125,2.27,5,,9,0.26,16,0.46,214,6.11,21,0.6,3,0.09,-,-,7,0.2,-,-,1,0.03,1,0.03,-,-,1,0.11,1,0.17,-,-,-,-,-,-
Wakayama,170,3.4,5,,4,0.13,16,0.52,125,4.03,40,1.29,1,0.03,-,-,8,0.26,-,-,-,-,1,0.03,1,0.25,-,-,-,-,-,-,3,0.27,-,-
Tottori,115,3.97,1,,2,0.11,82,4.32,103,5.42,25,1.32,3,0.16,-,-,7,0.37,2,0.11,-,-,3,0.16,-,-,-,-,1,0.2,-,-,4,0.8,-,-
Shimane,210,5.53,3,,4,0.17,20,0.87,295,12.83,47,2.04,41,1.78,-,-,15,0.65,-,-,1,0.04,1,0.04,-,-,-,-,-,-,-,-,3,0.38,-,-
Okayama,280,3.37,9,,5,0.09,36,0.65,527,9.58,58,1.05,4,0.07,3,0.05,8,0.15,1,0.02,1,0.02,5,0.09,1,0.08,2,0.17,-,-,-,-,-,-,1,0.2
Hiroshima,516,4.49,21,,21,0.29,71,0.99,541,7.51,73,1.01,10,0.14,3,0.04,39,0.54,1,0.01,3,0.04,22,0.31,-,-,12,0.63,1,0.05,2,0.1,3,0.14,-,-
Yamaguchi,467,6.97,26,,10,0.22,112,2.43,364,7.91,95,2.07,3,0.07,1,0.02,37,0.8,-,-,11,0.24,4,0.09,-,-,3,0.33,-,-,-,-,8,0.89,-,-
Tokushima,130,3.33,1,,8,0.35,34,1.48,178,7.74,22,0.96,-,-,-,-,10,0.43,-,-,-,-,10,0.43,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,62,1.27,2,,5,0.17,37,1.23,182,6.07,28,0.93,7,0.23,3,0.1,14,0.47,-,-,-,-,4,0.13,-,-,3,1,1,0.2,-,-,-,-,-,-
Ehime,148,2.43,11,,3,0.08,49,1.32,291,7.86,96,2.59,1,0.03,2,0.05,24,0.65,1,0.03,-,-,6,0.16,-,-,8,1,-,-,-,-,1,0.17,-,-
Kochi,73,1.52,7,,3,0.1,11,0.37,172,5.73,53,1.77,-,-,3,0.1,12,0.4,1,0.03,-,-,7,0.23,-,-,-,-,-,-,-,-,4,0.5,2,0.25
Fukuoka,687,3.47,45,,80,0.67,259,2.16,1153,9.61,275,2.29,122,1.02,4,0.03,91,0.76,-,-,7,0.06,69,0.58,1,0.04,14,0.54,2,0.13,-,-,4,0.27,-,-
Saga,112,2.87,10,,12,0.52,28,1.22,163,7.09,34,1.48,10,0.43,1,0.04,12,0.52,-,-,10,0.43,10,0.43,-,-,-,-,-,-,-,-,2,0.33,-,-
Nagasaki,210,3,8,,9,0.2,29,0.66,223,5.07,69,1.57,19,0.43,-,-,19,0.43,-,-,23,0.52,28,0.64,1,0.13,7,0.88,-,-,-,-,10,0.83,-,-
Kumamoto,338,4.23,5,,17,0.34,55,1.1,382,7.64,124,2.48,29,0.58,2,0.04,57,1.14,-,-,2,0.04,6,0.12,-,-,13,1.44,-,-,2,0.13,1,0.07,-,-
Oita,157,2.71,10,,22,0.61,50,1.39,533,14.81,70,1.94,8,0.22,-,-,20,0.56,6,0.17,1,0.03,20,0.56,-,-,-,-,-,-,-,-,9,0.82,-,-
Miyazaki,392,6.64,29,,38,1.06,73,2.03,340,9.44,67,1.86,4,0.11,2,0.06,27,0.75,-,-,-,-,16,0.44,-,-,12,2,-,-,2,0.29,1,0.14,-,-
Kagoshima,474,5.1,30,,28,0.51,57,1.04,369,6.71,93,1.69,5,0.09,5,0.09,28,0.51,1,0.02,-,-,11,0.2,-,-,2,0.29,1,0.08,1,0.08,3,0.25,-,-
Okinawa,173,2.98,24,,5,0.15,16,0.47,64,1.88,72,2.12,71,2.09,2,0.06,20,0.59,-,-,5,0.15,6,0.18,-,-,14,1.4,-,-,-,-,6,0.86,1,0.14
