"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2017",,,,,,"Data collected as of August 23, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,671,0.14,5389,,1499,0.49,2835,0.93,8290,2.71,695,0.23,16943,5.54,151,0.05,1129,0.37,33,0.01,3632,1.19,1177,0.38,6,0.01,584,0.85,14,0.03,30,0.06,138,0.29,6,0.01,7,0.01
Hokkaido,3,0.01,200,,195,1.39,196,1.4,132,0.94,21,0.15,948,6.77,-,-,37,0.26,1,0.01,176,1.26,20,0.14,-,-,15,0.52,-,-,-,-,3,0.13,-,-,1,0.04
Aomori,1,0.02,42,,6,0.14,24,0.57,75,1.79,5,0.12,309,7.36,2,0.05,15,0.36,1,0.02,62,1.48,25,0.6,-,-,5,0.45,-,-,1,0.17,2,0.33,-,-,2,0.33
Iwate,-,-,82,,8,0.2,44,1.1,97,2.43,16,0.4,228,5.7,14,0.35,13,0.33,-,-,65,1.63,63,1.58,-,-,4,0.29,-,-,-,-,4,0.21,-,-,-,-
Miyagi,18,0.19,101,,19,0.32,37,0.63,131,2.22,8,0.14,495,8.39,9,0.15,24,0.41,-,-,75,1.27,10,0.17,-,-,3,0.25,-,-,-,-,6,0.5,-,-,-,-
Akita,3,0.06,40,,22,0.63,14,0.4,60,1.71,5,0.14,93,2.66,-,-,8,0.23,-,-,29,0.83,3,0.09,-,-,4,0.57,-,-,-,-,18,2.25,-,-,-,-
Yamagata,-,-,74,,26,0.93,35,1.25,60,2.14,5,0.18,271,9.68,6,0.21,14,0.5,2,0.07,74,2.64,4,0.14,-,-,-,-,-,-,-,-,8,0.8,-,-,-,-
Fukushima,4,0.05,174,,6,0.13,38,0.83,55,1.2,17,0.37,423,9.2,4,0.09,11,0.24,-,-,57,1.24,25,0.54,-,-,11,0.92,-,-,-,-,-,-,-,-,-,-
Ibaraki,19,0.16,118,,39,0.52,86,1.15,171,2.28,17,0.23,653,8.71,3,0.04,26,0.35,-,-,111,1.48,8,0.11,-,-,13,0.76,-,-,-,-,6,0.46,-,-,-,-
