"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50th week, 2017",,,,,,"Data collected as of December 20, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1461170,295.54,134989,42.75,88024,27.87,350152,110.88,821895,260.26,56917,18.02,355500,112.57,11964,3.79,71104,22.52,1599,0.51,85668,27.13,76272,24.15,421,0.61,25618,36.86,509,1.07,926,1.94,8004,16.78,253,0.53,4935,10.35
Hokkaido,53533,240.06,6009,42.92,10101,72.15,24409,174.35,17381,124.15,3023,21.59,13928,99.49,252,1.8,2012,14.37,101,0.72,2861,20.44,1818,12.99,13,0.46,610,21.79,13,0.57,53,2.3,302,13.13,1,0.04,209,9.09
Aomori,15922,248.78,1182,28.83,631,15.39,3165,77.2,7837,191.15,563,13.73,3996,97.46,218,5.32,892,21.76,8,0.2,915,22.32,1104,26.93,5,0.45,140,12.73,12,2,7,1.17,230,38.33,-,-,74,12.33
Iwate,15196,237.44,1462,37.49,1132,29.03,5343,137,8427,216.08,456,11.69,3346,85.79,381,9.77,859,22.03,8,0.21,875,22.44,2024,51.9,5,0.36,270,19.29,10,0.53,10,0.53,409,21.53,9,0.47,108,5.68
Miyagi,29565,314.52,2547,43.91,1684,29.03,7208,124.28,14749,254.29,1139,19.64,7728,133.24,230,3.97,1577,27.19,10,0.17,1042,17.97,599,10.33,1,0.08,159,13.25,3,0.25,3,0.25,309,25.75,-,-,51,4.25
Akita,13490,249.81,1007,28.77,591,16.89,2132,60.91,4699,134.26,556,15.89,2168,61.94,60,1.71,442,12.63,15,0.43,733,20.94,189,5.4,9,1.29,84,12,4,0.5,-,-,604,75.5,5,0.63,57,7.13
Yamagata,11775,250.53,1812,62.48,1304,44.97,6979,240.66,7255,250.17,743,25.62,3797,130.93,690,23.79,916,31.59,25,0.86,1274,43.93,605,20.86,-,-,218,27.25,5,0.5,9,0.9,263,26.3,-,-,86,8.6
Fukushima,24345,320.33,2873,63.84,740,16.44,5097,113.27,8120,180.44,1025,22.78,5256,116.8,414,9.2,1437,31.93,14,0.31,985,21.89,1054,23.42,2,0.17,553,46.08,10,1.43,21,3,128,18.29,7,1,219,31.29
Ibaraki,32172,268.1,1983,26.44,1544,20.59,8635,115.13,16545,220.6,1252,16.69,8366,111.55,202,2.69,1104,14.72,26,0.35,1490,19.87,698,9.31,6,0.35,908,53.41,2,0.15,1,0.08,150,11.54,-,-,123,9.46
Tochigi,19449,255.91,1639,34.15,825,17.19,3035,63.23,6266,130.54,879,18.31,5131,106.9,227,4.73,1147,23.9,2,0.04,550,11.46,584,12.17,1,0.08,531,44.25,5,0.71,8,1.14,143,20.43,2,0.29,89,12.71
Gunma,24940,265.32,1838,32.25,1552,27.23,7657,134.33,14721,258.26,866,15.19,4743,83.21,416,7.3,1334,23.4,6,0.11,1861,32.65,1902,33.37,2,0.15,707,54.38,2,0.25,5,0.63,297,37.13,-,-,316,39.5
Saitama,91584,363.43,5517,34.48,5257,32.86,22453,140.33,49284,308.03,3540,22.13,21010,131.31,746,4.66,4120,25.75,61,0.38,4683,29.27,2869,17.93,65,1.63,1938,48.45,14,1.4,44,4.4,139,13.9,11,1.1,111,11.1
Chiba,73192,343.62,3469,25.89,3391,25.31,19331,144.26,31919,238.2,2471,18.44,13445,100.34,381,2.84,2889,21.56,58,0.43,5299,39.54,1647,12.29,31,0.91,1385,40.74,28,3.11,41,4.56,203,22.56,1,0.11,104,11.56
Tokyo,117271,284.64,8639,33.36,6997,27.02,29089,112.31,79147,305.59,4866,18.79,32900,127.03,1260,4.86,6851,26.45,107,0.41,6800,26.25,2859,11.04,12,0.32,1166,30.68,38,1.52,38,1.52,229,9.16,44,1.76,235,9.4
Kanagawa,104313,305.9,6018,28.12,4198,19.62,23815,111.29,56521,264.12,4668,21.81,27677,129.33,1240,5.79,5389,25.18,47,0.22,5869,27.43,4096,19.14,53,1.06,3752,75.04,8,0.8,36,3.6,147,14.7,-,-,215,21.5
Niigata,28183,313.14,3987,69.95,2231,39.14,6344,111.3,14774,259.19,1202,21.09,8474,148.67,316,5.54,1248,21.89,62,1.09,1921,33.7,4200,73.68,19,1.9,471,47.1,13,1,17,1.31,240,18.46,32,2.46,80,6.15
Toyama,10857,226.19,1444,49.79,1042,35.93,2239,77.21,9118,314.41,378,13.03,3288,113.38,28,0.97,529,18.24,2,0.07,639,22.03,1117,38.52,7,1,275,39.29,2,0.4,6,1.2,70,14,7,1.4,58,11.6
Ishikawa,16957,353.27,1497,51.62,973,33.55,3501,120.72,9575,330.17,552,19.03,3826,131.93,124,4.28,648,22.34,9,0.31,597,20.59,208,7.17,-,-,223,31.86,2,0.4,10,2,181,36.2,-,-,87,17.4
Fukui,12526,391.44,1298,59,588,26.73,2760,125.45,7555,343.41,383,17.41,3779,171.77,23,1.05,387,17.59,30,1.36,556,25.27,342,15.55,1,0.33,16,5.33,23,3.83,7,1.17,65,10.83,11,1.83,70,11.67
Yamanashi,11122,271.27,616,25.67,973,40.54,2790,116.25,5631,234.63,246,10.25,2460,102.5,56,2.33,339,14.13,106,4.42,305,12.71,664,27.67,3,0.33,352,39.11,10,1,11,1.1,152,15.2,5,0.5,56,5.6
Nagano,29636,344.6,1648,31.09,577,10.89,5768,108.83,14972,282.49,891,16.81,7149,134.89,167,3.15,848,16,30,0.57,1243,23.45,4196,79.17,13,1.3,171,17.1,3,0.27,3,0.27,206,18.73,-,-,147,13.36
Gifu,23269,270.57,1695,32.6,986,18.96,2511,48.29,8365,160.87,560,10.77,4591,88.29,72,1.38,734,14.12,20,0.38,674,12.96,1501,28.87,-,-,224,20.36,1,0.2,17,3.4,188,37.6,-,-,90,18
Shizuoka,41313,297.22,3361,37.76,2111,23.72,10789,121.22,23069,259.2,1053,11.83,9313,104.64,298,3.35,1528,17.17,22,0.25,1230,13.82,1777,19.97,10,0.48,754,35.9,14,1.4,36,3.6,206,20.6,49,4.9,75,7.5
Aichi,68318,350.35,6038,33.18,3648,20.04,14529,79.83,37132,204.02,2654,14.58,18681,102.64,411,2.26,3071,16.87,54,0.3,2569,14.12,2432,13.36,6,0.17,822,23.49,12,0.8,28,1.87,354,23.6,7,0.47,200,13.33
Mie,20547,285.38,2437,54.16,1603,35.62,3505,77.89,10890,242,763,16.96,5433,120.73,111,2.47,1067,23.71,23,0.51,1274,28.31,728,16.18,8,0.67,66,5.5,22,2.44,29,3.22,115,12.78,13,1.44,20,2.22
