"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10th week, 2018",,,,,,"Data collected as of March 14, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1628197,329.33,13331,4.22,9269,2.94,73960,23.43,153315,48.58,8848,2.8,5070,1.61,2130,0.67,9910,3.14,494,0.16,4740,1.5,77,0.11,4320,6.2,91,0.19,98,0.2,845,1.76,39,0.08,684,1.43
Hokkaido,62608,283.29,1261,9.14,663,4.8,6114,44.3,2410,17.46,423,3.07,82,0.59,28,0.2,254,1.84,7,0.05,80,0.58,1,0.03,123,4.24,2,0.09,6,0.26,39,1.7,-,-,32,1.39
Aomori,18866,290.25,87,2.07,75,1.79,717,17.07,1330,31.67,107,2.55,217,5.17,11,0.26,122,2.9,17,0.4,171,4.07,-,-,39,3.55,3,0.5,1,0.17,30,5,-,-,17,2.83
Iwate,21252,326.95,174,4.35,97,2.43,1642,41.05,1556,38.9,111,2.78,126,3.15,85,2.13,118,2.95,2,0.05,204,5.1,-,-,71,5.07,3,0.16,-,-,46,2.42,3,0.16,1,0.05
Miyagi,30106,316.91,300,5.08,159,2.69,1899,32.19,2360,40,213,3.61,125,2.12,33,0.56,203,3.44,8,0.14,31,0.53,2,0.17,34,2.83,-,-,-,-,32,2.67,-,-,4,0.33
Akita,15646,295.21,106,3.12,73,2.15,499,14.68,850,25,82,2.41,24,0.71,9,0.26,54,1.59,8,0.24,87,2.56,2,0.29,14,2,2,0.25,-,-,94,11.75,-,-,2,0.25
Yamagata,13176,280.34,131,4.52,173,5.97,1370,47.24,1315,45.34,145,5,185,6.38,42,1.45,121,4.17,18,0.62,32,1.1,-,-,14,1.75,3,0.3,2,0.2,34,3.4,-,-,8,0.8
Fukushima,26502,344.18,313,6.8,169,3.67,1199,26.07,1153,25.07,125,2.72,118,2.57,63,1.37,206,4.48,6,0.13,102,2.22,-,-,176,14.67,2,0.29,1,0.14,11,1.57,1,0.14,4,0.57
Ibaraki,39171,326.43,243,3.24,253,3.37,1938,25.84,2915,38.87,193,2.57,49,0.65,26,0.35,114,1.52,9,0.12,51,0.68,3,0.18,187,11,1,0.08,2,0.15,35,2.69,-,-,2,0.15
Tochigi,19921,262.12,138,2.88,71,1.48,556,11.58,1170,24.38,136,2.83,36,0.75,85,1.77,148,3.08,1,0.02,24,0.5,-,-,107,8.92,-,-,1,0.14,21,3,-,-,4,0.57
Gunma,27826,316.2,122,2.26,261,4.83,1369,25.35,2569,47.57,144,2.67,72,1.33,33,0.61,195,3.61,11,0.2,167,3.09,2,0.14,191,13.64,-,-,1,0.11,28,3.11,-,-,14,1.56
Saitama,93675,367.35,611,3.8,381,2.37,4725,29.35,8882,55.17,637,3.96,70,0.43,155,0.96,540,3.35,19,0.12,126,0.78,10,0.25,217,5.43,-,-,9,0.9,14,1.4,3,0.3,3,0.3
Chiba,76769,360.42,296,2.21,269,2.01,3642,27.18,5938,44.31,364,2.72,79,0.59,76,0.57,343,2.56,9,0.07,122,0.91,5,0.14,195,5.57,4,0.44,7,0.78,11,1.22,1,0.11,6,0.67
Tokyo,119755,289.96,657,2.53,475,1.83,6067,23.33,13468,51.8,768,2.95,144,0.55,258,0.99,975,3.75,27,0.1,193,0.74,2,0.05,126,3.41,5,0.2,5,0.2,13,0.52,11,0.44,25,1
Kanagawa,115557,332.06,416,1.93,345,1.6,4374,20.25,9546,44.19,678,3.14,170,0.79,577,2.67,705,3.26,16,0.07,256,1.19,3,0.06,731,14.62,2,0.17,4,0.33,14,1.17,-,-,16,1.33
