"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24th week, 2018",,,,,,"Data collected as of June 20, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,3,0.04,13,0.29,45,1,114,2.53,314,6.98,11,0.24,20,0.44,1,0.02,25,0.56,31,0.69,3,0.07,-,-,5,0.42,-,-,-,-,1,0.11,-,-,-,-
Shiga,1,0.02,-,-,13,0.41,72,2.25,186,5.81,21,0.66,25,0.78,2,0.06,10,0.31,13,0.41,9,0.28,-,-,6,0.75,-,-,-,-,1,0.14,-,-,-,-
Kyoto,-,-,5,0.06,33,0.43,169,2.19,483,6.27,11,0.14,45,0.58,4,0.05,27,0.35,49,0.64,10,0.13,-,-,6,0.35,-,-,-,-,-,-,-,-,-,-
Osaka,10,0.03,59,0.3,211,1.06,582,2.92,1389,6.98,89,0.45,67,0.34,25,0.13,124,0.62,72,0.36,30,0.15,2,0.04,19,0.37,-,-,-,-,1,0.06,-,-,2,0.12
Hyogo,3,0.02,24,0.19,88,0.68,256,1.98,1019,7.9,41,0.32,41,0.32,1,0.01,61,0.47,26,0.2,20,0.16,-,-,23,0.66,-,-,3,0.21,2,0.14,-,-,2,0.14
Nara,1,0.02,1,0.03,25,0.74,87,2.56,257,7.56,24,0.71,20,0.59,7,0.21,12,0.35,25,0.74,2,0.06,-,-,2,0.2,-,-,-,-,-,-,-,-,-,-
Wakayama,1,0.02,2,0.07,25,0.83,44,1.47,177,5.9,7,0.23,3,0.1,2,0.07,9,0.3,38,1.27,7,0.23,3,0.75,3,0.75,1,0.09,-,-,-,-,-,-,1,0.09
Tottori,-,-,3,0.16,21,1.11,99,5.21,222,11.68,1,0.05,3,0.16,-,-,7,0.37,6,0.32,1,0.05,-,-,2,0.4,-,-,1,0.2,-,-,-,-,-,-
Shimane,3,0.08,14,0.61,8,0.35,50,2.17,151,6.57,4,0.17,23,1,-,-,14,0.61,16,0.7,2,0.09,-,-,-,-,-,-,1,0.13,-,-,-,-,-,-
Okayama,1,0.01,5,0.09,25,0.46,106,1.96,464,8.59,8,0.15,14,0.26,3,0.06,25,0.46,32,0.59,6,0.11,-,-,11,0.92,-,-,-,-,1,0.2,-,-,-,-
Hiroshima,-,-,15,0.21,81,1.13,153,2.13,426,5.92,32,0.44,115,1.6,-,-,28,0.39,90,1.25,7,0.1,-,-,27,1.42,-,-,-,-,1,0.05,-,-,-,-
