"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24th week, 2018",,,,,,"Data collected as of June 20, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,50196,363.74,516,5.8,574,6.45,3922,44.07,10435,117.25,404,4.54,217,2.44,203,2.28,691,7.76,156,1.75,561,6.3,5,0.23,278,12.64,4,0.44,13,1.44,24,2.67,4,0.44,17,1.89
Aichi,79510,407.74,952,5.23,1066,5.86,8105,44.53,20589,113.13,1219,6.7,362,1.99,162,0.89,1488,8.18,161,0.88,532,2.92,3,0.09,365,10.43,6,0.4,8,0.53,54,3.6,1,0.07,142,9.47
Mie,26655,375.42,453,10.3,564,12.82,2586,58.77,6061,137.75,262,5.95,114,2.59,23,0.52,487,11.07,89,2.02,129,2.93,3,0.25,28,2.33,5,0.56,7,0.78,20,2.22,2,0.22,15,1.67
Shiga,17540,337.31,150,4.84,218,7.03,999,32.23,3131,101,275,8.87,205,6.61,29,0.94,251,8.1,56,1.81,178,5.74,1,0.13,74,9.25,3,0.43,6,0.86,5,0.71,-,-,11,1.57
Kyoto,39690,317.52,304,4,484,6.37,2752,36.21,9321,122.64,364,4.79,280,3.68,61,0.8,546,7.18,163,2.14,138,1.82,3,0.18,148,8.71,3,0.43,1,0.14,19,2.71,-,-,51,7.29
Osaka,88585,292.36,2230,11.32,1999,10.15,10122,51.38,28773,146.06,1726,8.76,442,2.24,334,1.7,2077,10.54,226,1.15,621,3.15,25,0.48,490,9.42,9,0.53,12,0.71,40,2.35,2,0.12,175,10.29
Hyogo,65047,328.52,1082,8.45,1334,10.42,4580,35.78,19121,149.38,1004,7.84,263,2.05,74,0.58,1106,8.64,84,0.66,314,2.45,29,0.83,500,14.29,19,1.36,15,1.07,42,3,2,0.14,104,7.43
Nara,15648,289.78,248,7.29,319,9.38,1581,46.5,4811,141.5,239,7.03,119,3.5,116,3.41,323,9.5,89,2.62,45,1.32,1,0.1,76,7.6,10,1.67,4,0.67,18,3,-,-,54,9
Wakayama,14523,302.56,181,6.03,270,9,794,26.47,2472,82.4,203,6.77,24,0.8,26,0.87,281,9.37,130,4.33,98,3.27,55,13.75,21,5.25,4,0.36,5,0.45,21,1.91,4,0.36,50,4.55
Tottori,10869,374.79,115,6.05,245,12.89,2507,131.95,3474,182.84,99,5.21,48,2.53,17,0.89,196,10.32,14,0.74,25,1.32,3,0.6,22,4.4,4,0.8,4,0.8,9,1.8,-,-,51,10.2
Shimane,9980,262.63,166,7.22,153,6.65,1395,60.65,3624,157.57,104,4.52,190,8.26,8,0.35,296,12.87,53,2.3,102,4.43,-,-,4,1.33,2,0.25,3,0.38,6,0.75,-,-,46,5.75
Okayama,28327,337.23,155,2.87,314,5.81,2410,44.63,9167,169.76,386,7.15,206,3.81,79,1.46,472,8.74,120,2.22,111,2.06,14,1.17,174,14.5,3,0.6,1,0.2,7,1.4,-,-,28,5.6
Hiroshima,34104,299.16,529,7.45,874,12.31,3651,51.42,13311,187.48,403,5.68,580,8.17,29,0.41,570,8.03,337,4.75,163,2.3,12,0.63,416,21.89,5,0.25,2,0.1,22,1.1,2,0.1,372,18.6
Yamaguchi,26713,398.7,876,18.64,501,10.66,3473,73.89,6327,134.62,288,6.13,647,13.77,17,0.36,564,12,177,3.77,188,4,-,-,116,12.89,5,0.56,3,0.33,27,3,-,-,103,11.44
Tokushima,11991,324.08,358,15.57,277,12.04,1056,45.91,2940,127.83,116,5.04,161,7,61,2.65,363,15.78,23,1,77,3.35,-,-,19,4.75,4,0.57,1,0.14,9,1.29,-,-,2,0.29
Kagawa,15191,323.21,172,6.14,275,9.82,1314,46.93,4793,171.18,170,6.07,110,3.93,16,0.57,342,12.21,145,5.18,89,3.18,5,1,75,15,3,0.6,1,0.2,22,4.4,1,0.2,39,7.8
Ehime,23255,381.23,421,11.38,253,6.84,2842,76.81,7649,206.73,190,5.14,74,2,26,0.7,546,14.76,83,2.24,180,4.86,-,-,295,36.88,-,-,-,-,54,9,-,-,45,7.5
Kochi,20861,434.6,188,6.27,166,5.53,1056,35.2,2895,96.5,130,4.33,276,9.2,35,1.17,243,8.1,19,0.63,26,0.87,-,-,16,5.33,3,0.38,1,0.13,40,5,12,1.5,27,3.38
Fukuoka,90241,455.76,1901,15.84,1721,14.34,9677,80.64,22112,184.27,1339,11.16,4436,36.97,106,0.88,1898,15.82,260,2.17,718,5.98,3,0.12,784,30.15,18,1.2,14,0.93,80,5.33,-,-,79,5.27
Saga,15566,409.63,177,8.05,489,22.23,901,40.95,2555,116.14,194,8.82,631,28.68,9,0.41,369,16.77,147,6.68,32,1.45,2,0.5,56,14,2,0.33,5,0.83,21,3.5,-,-,55,9.17
Nagasaki,26939,384.84,345,7.84,330,7.5,2834,64.41,5463,124.16,299,6.8,1478,33.59,19,0.43,432,9.82,184,4.18,55,1.25,6,0.75,102,12.75,5,0.42,8,0.67,51,4.25,-,-,94,7.83
Kumamoto,29809,372.61,373,7.46,525,10.5,1704,34.08,8921,178.42,291,5.82,1830,36.6,29,0.58,836,16.72,199,3.98,108,2.16,-,-,297,33,7,0.47,9,0.6,15,1,-,-,41,2.73
Oita,27003,465.57,257,7.14,222,6.17,1580,43.89,10676,296.56,416,11.56,2161,60.03,19,0.53,529,14.69,102,2.83,281,7.81,-,-,122,24.4,1,0.09,1,0.09,24,2.18,-,-,25,2.27
Miyazaki,27666,477,609,17.4,733,20.94,1781,50.89,9095,259.86,324,9.26,2976,85.03,29,0.83,689,19.69,104,2.97,729,20.83,-,-,315,52.5,1,0.14,-,-,4,0.57,-,-,153,21.86
Kagoshima,40654,441.89,840,15.56,1511,27.98,3895,72.13,10450,193.52,502,9.3,2968,54.96,58,1.07,535,9.91,72,1.33,853,15.8,1,0.14,179,25.57,2,0.17,2,0.17,6,0.5,-,-,14,1.17
Okinawa,28552,500.91,1352,39.76,318,9.35,1460,42.94,2907,85.5,476,14,660,19.41,43,1.26,373,10.97,39,1.15,93,2.74,6,0.67,304,33.78,13,1.86,35,5,22,3.14,3,0.43,23,3.29
