"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2018",,,,,,"Data collected as of November 14, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Gifu,25837,300.43,1257,24.17,708,13.62,2326,44.73,7937,152.63,317,6.1,494,9.5,98,1.88,649,12.48,1068,20.54,249,4.79,3,0.27,158,14.36,1,0.2,10,2,51,10.2,-,-,95,19
Shizuoka,50385,365.11,2667,29.97,1403,15.76,6226,69.96,17353,194.98,736,8.27,1472,16.54,690,7.75,1399,15.72,4373,49.13,1043,11.72,10,0.48,680,32.38,6,0.67,32,3.56,47,5.22,4,0.44,17,1.89
Aichi,80129,410.92,4847,26.63,1924,10.57,13136,72.18,32647,179.38,2116,11.63,2577,14.16,553,3.04,2727,14.98,5394,29.64,879,4.83,8,0.23,1014,28.97,10,0.67,30,2,180,12,2,0.13,147,9.8
Mie,27121,381.99,2174,49.41,908,20.64,3895,88.52,9761,221.84,493,11.2,697,15.84,114,2.59,961,21.84,2089,47.48,206,4.68,5,0.42,59,4.92,12,1.33,22,2.44,65,7.22,2,0.22,16,1.78
Shiga,17595,338.37,564,18.19,395,12.74,1590,51.29,5596,180.52,467,15.06,1211,39.06,76,2.45,453,14.61,1063,34.29,305,9.84,1,0.13,150,18.75,6,0.86,14,2,12,1.71,-,-,11,1.57
Kyoto,39824,318.59,1727,22.72,866,11.39,4664,61.37,15063,198.2,712,9.37,1852,24.37,157,2.07,1077,14.17,1455,19.14,249,3.28,3,0.18,314,18.47,7,1,2,0.29,39,5.57,-,-,52,7.43
Osaka,89418,294.14,9340,47.17,4037,20.39,17651,89.15,45086,227.71,3060,15.45,4131,20.86,1009,5.1,3971,20.06,5119,25.85,1142,5.77,39,0.76,1113,21.82,17,1,24,1.41,130,7.65,2,0.12,185,10.88
Hyogo,65231,329.45,4165,32.54,2262,17.67,7445,58.16,31513,246.2,1916,14.97,2788,21.78,274,2.14,2090,16.33,2755,21.52,591,4.62,31,0.91,994,29.24,31,2.38,27,2.08,77,5.92,2,0.15,111,8.54
Nara,15776,292.15,1506,44.29,572,16.82,2488,73.18,7066,207.82,369,10.85,959,28.21,245,7.21,633,18.62,921,27.09,106,3.12,1,0.1,312,31.2,13,2.17,10,1.67,52,8.67,-,-,56,9.33
Wakayama,14582,303.79,1156,38.53,442,14.73,1192,39.73,3983,132.77,336,11.2,456,15.2,117,3.9,550,18.33,726,24.2,130,4.33,56,18.67,44,14.67,4,0.36,10,0.91,70,6.36,6,0.55,52,4.73
Tottori,10912,376.28,554,29.16,395,20.79,3917,206.16,5613,295.42,141,7.42,435,22.89,21,1.11,382,20.11,477,25.11,49,2.58,3,0.6,95,19,7,1.4,18,3.6,18,3.6,1,0.2,59,11.8
Shimane,10099,272.95,768,34.91,277,12.59,2116,96.18,5690,258.64,173,7.86,1016,46.18,16,0.73,543,24.68,398,18.09,196,8.91,-,-,25,8.33,14,1.75,51,6.38,19,2.38,-,-,78,9.75
Okayama,28454,338.74,1168,21.63,600,11.11,3711,68.72,15271,282.8,651,12.06,753,13.94,205,3.8,912,16.89,773,14.31,255,4.72,15,1.25,390,32.5,7,1.4,2,0.4,17,3.4,-,-,30,6
Hiroshima,34331,301.15,2179,30.69,1455,20.49,5924,83.44,19504,274.7,722,10.17,2653,37.37,94,1.32,1109,15.62,1695,23.87,357,5.03,21,1.11,778,40.95,7,0.35,6,0.3,77,3.85,2,0.1,377,18.85
Yamaguchi,26853,400.79,2536,53.96,711,15.13,5793,123.26,9973,212.19,484,10.3,2726,58,99,2.11,1064,22.64,1359,28.91,252,5.36,2,0.22,255,28.33,6,0.67,6,0.67,39,4.33,-,-,104,11.56
Tokushima,12000,324.32,1605,69.78,420,18.26,1522,66.17,5267,229,197,8.57,1173,51,160,6.96,749,32.57,798,34.7,104,4.52,-,-,33,8.25,4,0.57,3,0.43,24,3.43,-,-,2,0.29
Kagawa,15275,332.07,1221,45.22,451,16.7,2152,79.7,7558,279.93,307,11.37,702,26,37,1.37,659,24.41,1310,48.52,213,7.89,5,1,162,32.4,6,1.2,4,0.8,29,5.8,1,0.2,41,8.2
Ehime,23415,390.25,1996,55.44,444,12.33,4309,119.69,11589,321.92,382,10.61,2966,82.39,84,2.33,1052,29.22,1026,28.5,266,7.39,2,0.29,627,89.57,1,0.17,1,0.17,134,22.33,-,-,46,7.67
Kochi,20895,435.31,1064,35.47,473,15.77,1640,54.67,4249,141.63,242,8.07,1083,36.1,153,5.1,472,15.73,466,15.53,61,2.03,-,-,104,34.67,4,0.5,1,0.13,86,10.75,18,2.25,32,4
Fukuoka,90687,460.34,6144,51.63,3546,29.8,16160,135.8,38058,319.82,2195,18.45,10869,91.34,436,3.66,3591,30.18,3300,27.73,1567,13.17,15,0.58,1689,64.96,26,1.73,36,2.4,140,9.33,-,-,79,5.27
Saga,15696,413.05,1145,52.05,747,33.95,1455,66.14,3901,177.32,285,12.95,1321,60.05,68,3.09,673,30.59,1197,54.41,77,3.5,3,1,105,35,3,0.5,16,2.67,35,5.83,1,0.17,56,9.33
Nagasaki,26987,391.12,1703,38.7,763,17.34,4138,94.05,8027,182.43,514,11.68,2555,58.07,64,1.45,839,19.07,823,18.7,131,2.98,6,0.75,274,34.25,13,1.08,28,2.33,82,6.83,-,-,98,8.17
Kumamoto,30095,376.19,2108,42.16,814,16.28,3061,61.22,15014,300.28,441,8.82,4508,90.16,51,1.02,1516,30.32,1642,32.84,228,4.56,4,0.44,736,81.78,9,0.6,26,1.73,34,2.27,-,-,44,2.93
Oita,27169,468.43,1340,37.22,463,12.86,2468,68.56,17070,474.17,869,24.14,5202,144.5,30,0.83,992,27.56,1189,33.03,673,18.69,3,0.6,222,44.4,2,0.18,2,0.18,61,5.55,-,-,25,2.27
Miyazaki,27791,479.16,2538,72.51,1197,34.2,3120,89.14,15323,437.8,608,17.37,5511,157.46,79,2.26,1353,38.66,1065,30.43,1193,34.09,1,0.17,739,123.17,2,0.29,-,-,5,0.71,-,-,155,22.14
Kagoshima,41020,445.87,3230,59.81,2699,49.98,6338,117.37,17658,327,780,14.44,5011,92.8,155,2.87,1148,21.26,1106,20.48,1285,23.8,1,0.14,405,57.86,6,0.5,6,0.5,15,1.25,-,-,15,1.25
Okinawa,30787,540.12,2480,72.94,888,26.12,2243,65.97,5714,168.06,769,22.62,2602,76.53,138,4.06,665,19.56,356,10.47,177,5.21,13,1.44,946,105.11,30,4.29,58,8.29,43,6.14,3,0.43,42,6
