"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5th week, 2013",,,,,,"Data collected as of February 6, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,177271,35.82,1650,,824,0.26,5908,1.87,24516,7.77,3100,0.98,612,0.19,198,0.06,1466,0.46,30,0.01,54,0.02,737,0.23,23,0.03,345,0.5,7,0.02,6,0.01,358,0.77,18,0.04
Hokkaido,8843,38.96,71,,35,0.24,459,3.21,385,2.69,101,0.71,12,0.08,3,0.02,48,0.34,-,-,-,-,7,0.05,1,0.03,12,0.41,-,-,-,-,17,0.74,-,-
Aomori,2162,33.78,14,,7,0.17,50,1.22,232,5.66,31,0.76,3,0.07,1,0.02,18,0.44,1,0.02,-,-,20,0.49,1,0.09,5,0.45,-,-,-,-,14,2.33,-,-
Iwate,2213,34.58,8,,2,0.05,52,1.3,199,4.98,20,0.5,3,0.08,15,0.38,14,0.35,-,-,-,-,34,0.85,-,-,3,0.21,-,-,-,-,20,1.05,-,-
Miyagi,2603,27.99,21,,16,0.28,97,1.67,346,5.97,69,1.19,15,0.26,11,0.19,35,0.6,1,0.02,1,0.02,35,0.6,-,-,3,0.25,-,-,-,-,33,2.75,1,0.08
Akita,1546,28.11,8,,11,0.31,57,1.63,250,7.14,24,0.69,3,0.09,-,-,11,0.31,1,0.03,-,-,26,0.74,-,-,3,0.43,-,-,-,-,9,1.13,-,-
Yamagata,1569,32.69,4,,25,0.83,107,3.57,222,7.4,26,0.87,1,0.03,-,-,14,0.47,-,-,-,-,15,0.5,1,0.13,3,0.38,1,0.1,-,-,10,1,-,-
Fukushima,2693,35.43,22,,12,0.27,101,2.24,288,6.4,35,0.78,18,0.4,2,0.04,12,0.27,-,-,-,-,13,0.29,-,-,6,0.5,-,-,-,-,19,2.71,3,0.43
Ibaraki,4100,34.17,26,,14,0.19,133,1.77,682,9.09,43,0.57,30,0.4,6,0.08,24,0.32,-,-,1,0.01,10,0.13,-,-,8,0.47,-,-,-,-,9,0.69,-,-
Tochigi,2082,27.76,11,,2,0.04,68,1.45,249,5.3,30,0.64,5,0.11,4,0.09,22,0.47,2,0.04,-,-,9,0.19,-,-,8,0.67,-,-,-,-,10,1.43,2,0.29
Gunma,2595,26.48,10,,7,0.12,71,1.18,413,6.88,60,1,14,0.23,-,-,23,0.38,-,-,-,-,20,0.33,-,-,14,1,-,-,-,-,12,1.5,-,-
Saitama,10266,41.56,51,,44,0.28,310,1.96,1344,8.51,140,0.89,15,0.09,5,0.03,77,0.49,1,0.01,3,0.02,40,0.25,1,0.02,18,0.43,-,-,-,-,14,1.56,-,-
Chiba,8973,42.53,36,,25,0.19,378,2.89,996,7.6,112,0.85,8,0.06,1,0.01,55,0.42,2,0.02,3,0.02,35,0.27,-,-,15,0.44,-,-,-,-,6,0.67,1,0.11
