"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8th week, 2018",,,,,,"Data collected as of February 28, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,1776,24.67,27,0.6,25,0.56,110,2.44,205,4.56,4,0.09,5,0.11,-,-,8,0.18,-,-,7,0.16,-,-,-,-,-,-,-,-,1,0.11,-,-,-,-
Shiga,1338,25.25,11,0.34,3,0.09,40,1.25,94,2.94,5,0.16,3,0.09,1,0.03,8,0.25,1,0.03,7,0.22,-,-,-,-,-,-,-,-,-,-,-,-,1,0.14
Kyoto,2770,21.98,8,0.1,16,0.21,123,1.6,324,4.21,5,0.06,1,0.01,4,0.05,14,0.18,1,0.01,5,0.06,1,0.06,6,0.33,-,-,-,-,-,-,-,-,2,0.29
Osaka,6193,20.3,111,0.56,39,0.2,381,1.91,1030,5.18,57,0.29,2,0.01,10,0.05,65,0.33,3,0.02,21,0.11,1,0.02,32,0.62,2,0.12,-,-,3,0.18,-,-,4,0.24
Hyogo,4572,22.97,46,0.36,52,0.4,260,2.02,774,6,40,0.31,1,0.01,4,0.03,32,0.25,-,-,11,0.09,-,-,17,0.49,-,-,-,-,1,0.07,1,0.07,16,1.14
Nara,1122,20.78,20,0.59,15,0.44,67,1.97,192,5.65,5,0.15,4,0.12,2,0.06,18,0.53,7,0.21,-,-,-,-,1,0.1,-,-,-,-,-,-,-,-,2,0.33
Wakayama,1025,20.92,9,0.3,9,0.3,28,0.93,64,2.13,2,0.07,-,-,3,0.1,6,0.2,-,-,3,0.1,-,-,-,-,-,-,-,-,-,-,-,-,3,0.27
Tottori,853,29.41,-,-,5,0.26,125,6.58,112,5.89,4,0.21,3,0.16,5,0.26,6,0.32,-,-,-,-,-,-,1,0.2,1,0.2,-,-,-,-,-,-,-,-
Shimane,633,16.66,4,0.17,2,0.09,71,3.09,117,5.09,2,0.09,2,0.09,-,-,6,0.26,1,0.04,6,0.26,-,-,-,-,1,0.13,-,-,-,-,-,-,1,0.13
Okayama,2230,26.55,4,0.07,7,0.13,112,2.07,363,6.72,1,0.02,3,0.06,2,0.04,17,0.31,-,-,2,0.04,1,0.08,6,0.5,-,-,-,-,-,-,-,-,-,-
Hiroshima,2319,20.34,25,0.35,28,0.39,204,2.83,652,9.06,14,0.19,6,0.08,3,0.04,12,0.17,2,0.03,2,0.03,1,0.05,12,0.63,-,-,-,-,-,-,-,-,32,1.52
