"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46th week, 2014",,,,,,"Data collected as of November 19, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1810,0.37,4328,,1575,0.5,6822,2.17,18207,5.78,3167,1.01,2252,0.71,797,0.25,1747,0.55,33,0.01,338,0.11,970,0.31,9,0.01,341,0.5,5,0.01,19,0.04,158,0.33,7,0.01,5,0.01
Hokkaido,45,0.2,213,,292,2.04,601,4.2,335,2.34,233,1.63,144,1.01,21,0.15,54,0.38,1,0.01,42,0.29,32,0.22,-,-,20,0.71,-,-,-,-,11,0.48,-,-,-,-
Aomori,1,0.02,26,,34,0.81,29,0.69,157,3.74,52,1.24,4,0.1,19,0.45,21,0.5,-,-,1,0.02,1,0.02,-,-,1,0.09,-,-,-,-,6,1,-,-,-,-
Iwate,54,0.84,72,,5,0.13,186,4.65,145,3.63,37,0.93,5,0.13,23,0.58,28,0.7,-,-,4,0.1,7,0.18,-,-,5,0.36,-,-,2,0.11,10,0.53,-,-,-,-
Miyagi,5,0.05,98,,14,0.24,133,2.29,207,3.57,65,1.12,26,0.45,64,1.1,36,0.62,-,-,2,0.03,7,0.12,-,-,3,0.25,-,-,1,0.08,8,0.67,-,-,-,-
Akita,1,0.02,68,,4,0.11,40,1.14,108,3.09,33,0.94,1,0.03,-,-,12,0.34,-,-,2,0.06,11,0.31,-,-,-,-,-,-,-,-,4,0.5,-,-,1,0.13
Yamagata,55,1.15,109,,28,0.93,99,3.3,202,6.73,54,1.8,61,2.03,2,0.07,27,0.9,1,0.03,1,0.03,31,1.03,-,-,-,-,-,-,-,-,-,-,1,0.1,-,-
Fukushima,62,0.82,101,,31,0.69,85,1.89,148,3.29,51,1.13,31,0.69,29,0.64,29,0.64,-,-,9,0.2,47,1.04,-,-,9,0.75,-,-,-,-,12,1.71,-,-,-,-
Ibaraki,18,0.15,70,,19,0.25,109,1.45,387,5.16,52,0.69,82,1.09,15,0.2,24,0.32,-,-,2,0.03,11,0.15,-,-,10,0.59,-,-,-,-,2,0.15,-,-,-,-
