"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2018",,,,,,"Data collected as of January 24, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,2221,41.91,5,,7,0.22,39,1.22,120,3.75,3,0.09,7,0.22,-,-,9,0.28,-,-,7,0.22,-,-,6,0.75,-,-,-,-,-,-,-,-,1,0.14
Kyoto,5503,43.67,14,,15,0.19,108,1.4,393,5.1,11,0.14,12,0.16,-,-,16,0.21,-,-,9,0.12,-,-,6,0.33,-,-,-,-,2,0.29,-,-,-,-
Osaka,13428,44.17,129,,40,0.2,415,2.1,1136,5.74,49,0.25,16,0.08,12,0.06,68,0.34,6,0.03,16,0.08,-,-,19,0.37,-,-,1,0.06,2,0.12,-,-,-,-
Hyogo,10231,51.41,88,,33,0.26,241,1.87,818,6.34,47,0.36,12,0.09,4,0.03,39,0.3,4,0.03,18,0.14,1,0.03,25,0.71,3,0.21,1,0.07,4,0.29,-,-,-,-
Nara,2247,41.61,13,,5,0.15,71,2.09,203,5.97,8,0.24,4,0.12,1,0.03,11,0.32,2,0.06,5,0.15,-,-,5,0.5,-,-,-,-,1,0.17,-,-,3,0.5
Wakayama,2214,45.18,20,,17,0.57,33,1.1,122,4.07,2,0.07,-,-,-,-,11,0.37,1,0.03,4,0.13,-,-,2,0.5,-,-,-,-,1,0.09,-,-,2,0.18
Tottori,1523,52.52,2,,6,0.32,155,8.16,92,4.84,6,0.32,9,0.47,-,-,5,0.26,-,-,1,0.05,-,-,-,-,-,-,-,-,1,0.2,-,-,-,-
Shimane,1316,34.63,2,,7,0.3,86,3.74,122,5.3,2,0.09,2,0.09,-,-,11,0.48,-,-,12,0.52,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Okayama,3609,42.96,13,,13,0.24,87,1.61,348,6.44,6,0.11,12,0.22,-,-,12,0.22,1,0.02,3,0.06,2,0.17,2,0.17,-,-,-,-,-,-,-,-,-,-
Hiroshima,4849,42.17,31,,24,0.33,184,2.56,530,7.36,14,0.19,16,0.22,3,0.04,26,0.36,1,0.01,9,0.13,-,-,14,0.74,-,-,-,-,4,0.19,-,-,3,0.14
Yamaguchi,3913,57.54,79,,12,0.25,142,2.96,284,5.92,11,0.23,6,0.13,1,0.02,19,0.4,-,-,10,0.21,-,-,4,0.44,-,-,1,0.11,-,-,-,-,-,-
Tokushima,1524,41.19,15,,9,0.39,47,2.04,109,4.74,3,0.13,5,0.22,1,0.04,12,0.52,2,0.09,11,0.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,2378,50.6,5,,9,0.32,69,2.46,181,6.46,7,0.25,12,0.43,-,-,10,0.36,1,0.04,2,0.07,-,-,5,1,-,-,-,-,3,0.6,-,-,-,-
Ehime,3277,53.72,23,,2,0.05,168,4.54,309,8.35,7,0.19,2,0.05,-,-,15,0.41,2,0.05,12,0.32,-,-,15,1.88,-,-,-,-,4,0.67,-,-,-,-
Kochi,3076,64.08,10,,2,0.07,55,1.83,111,3.7,4,0.13,21,0.7,-,-,9,0.3,-,-,-,-,-,-,1,0.33,-,-,-,-,1,0.13,3,0.38,-,-
Fukuoka,16630,83.99,63,,38,0.32,494,4.12,819,6.83,49,0.41,49,0.41,5,0.04,60,0.5,-,-,19,0.16,-,-,19,0.73,-,-,-,-,1,0.07,-,-,-,-
Saga,2716,69.64,9,,11,0.48,51,2.22,126,5.48,9,0.39,27,1.17,-,-,13,0.57,-,-,-,-,-,-,6,1.5,-,-,-,-,-,-,-,-,-,-
Nagasaki,4776,68.23,11,,1,0.02,125,2.84,202,4.59,13,0.3,65,1.48,1,0.02,12,0.27,2,0.05,4,0.09,-,-,1,0.13,-,-,1,0.08,3,0.25,-,-,1,0.08
Kumamoto,5301,66.26,13,,22,0.44,59,1.18,363,7.26,10,0.2,26,0.52,2,0.04,36,0.72,7,0.14,5,0.1,-,-,7,0.78,1,0.07,-,-,3,0.2,-,-,-,-
Oita,4779,82.4,17,,9,0.25,66,1.83,649,18.03,17,0.47,7,0.19,2,0.06,14,0.39,2,0.06,18,0.5,-,-,3,0.6,-,-,-,-,2,0.18,-,-,3,0.27
Miyazaki,5013,84.97,39,,20,0.56,55,1.53,415,11.53,14,0.39,17,0.47,-,-,19,0.53,-,-,15,0.42,-,-,8,1.33,-,-,-,-,-,-,-,-,-,-
Kagoshima,8047,86.53,51,,41,0.75,144,2.62,498,9.05,21,0.38,53,0.96,-,-,8,0.15,1,0.02,35,0.64,-,-,6,0.86,-,-,-,-,1,0.08,-,-,-,-
Okinawa,3688,64.7,13,,8,0.24,56,1.65,107,3.15,19,0.56,35,1.03,-,-,8,0.24,2,0.06,6,0.18,-,-,9,1,-,-,1,0.14,-,-,-,-,-,-
