"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29th week, 2013",,,,,,"Data collected as of July 24, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,230,0.05,635,,1720,0.55,3316,1.05,10266,3.26,2254,0.72,25455,8.09,175,0.06,1898,0.6,33,0.01,8928,2.84,883,0.28,6,0.01,414,0.61,7,0.01,36,0.08,187,0.4,16,0.03
Hokkaido,2,0.01,85,,167,1.18,181,1.27,266,1.87,141,0.99,61,0.43,3,0.02,50,0.35,-,-,50,0.35,10,0.07,-,-,20,0.69,-,-,-,-,3,0.13,-,-
Aomori,-,-,9,,6,0.15,32,0.78,43,1.05,19,0.46,69,1.68,-,-,21,0.51,-,-,38,0.93,14,0.34,1,0.09,8,0.73,-,-,-,-,7,1.17,-,-
Iwate,4,0.06,4,,8,0.21,44,1.13,93,2.38,32,0.82,27,0.69,-,-,17,0.44,-,-,57,1.46,22,0.56,-,-,1,0.07,-,-,-,-,14,0.74,-,-
Miyagi,1,0.01,16,,21,0.36,83,1.43,145,2.5,59,1.02,125,2.16,6,0.1,32,0.55,-,-,151,2.6,21,0.36,-,-,5,0.42,1,0.08,-,-,16,1.33,3,0.25
Akita,-,-,1,,17,0.49,32,0.91,72,2.06,12,0.34,17,0.49,2,0.06,19,0.54,-,-,12,0.34,23,0.66,-,-,-,-,-,-,-,-,1,0.13,-,-
Yamagata,-,-,2,,7,0.23,50,1.67,113,3.77,23,0.77,108,3.6,-,-,28,0.93,1,0.03,161,5.37,21,0.7,-,-,-,-,-,-,-,-,4,0.4,2,0.2
Fukushima,-,-,21,,19,0.42,59,1.31,95,2.11,43,0.96,93,2.07,3,0.07,32,0.71,1,0.02,47,1.04,40,0.89,-,-,8,0.67,-,-,-,-,18,2.57,-,-
Ibaraki,2,0.02,7,,27,0.36,85,1.13,417,5.56,41,0.55,651,8.68,-,-,30,0.4,-,-,192,2.56,9,0.12,-,-,23,1.35,-,-,-,-,3,0.23,-,-
