"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2015",,,,,,"Data collected as of October 14, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,319,0.06,3696,,799,0.25,5650,1.8,10224,3.25,844,0.27,5447,1.73,1378,0.44,1516,0.48,56,0.02,845,0.27,1823,0.58,6,0.01,618,0.91,10,0.02,19,0.04,323,0.68,13,0.03,8,0.02
Hokkaido,6,0.03,159,,45,0.32,317,2.23,180,1.27,50,0.35,375,2.64,83,0.58,43,0.3,1,0.01,84,0.59,98,0.69,-,-,16,0.57,-,-,-,-,10,0.43,-,-,-,-
Aomori,-,-,38,,4,0.1,45,1.07,79,1.88,10,0.24,119,2.83,-,-,17,0.4,1,0.02,22,0.52,16,0.38,-,-,5,0.45,-,-,-,-,11,1.83,-,-,-,-
Iwate,3,0.05,61,,1,0.03,117,2.93,81,2.03,8,0.2,108,2.7,12,0.3,13,0.33,1,0.03,4,0.1,2,0.05,-,-,2,0.14,-,-,1,0.05,-,-,-,-,1,0.05
Miyagi,1,0.01,153,,5,0.08,134,2.27,178,3.02,14,0.24,284,4.81,19,0.32,35,0.59,-,-,18,0.31,12,0.2,-,-,8,0.67,-,-,-,-,6,0.5,-,-,1,0.08
Akita,-,-,37,,10,0.29,39,1.11,57,1.63,5,0.14,55,1.57,15,0.43,12,0.34,-,-,4,0.11,4,0.11,-,-,2,0.29,-,-,-,-,6,0.75,-,-,1,0.13
Yamagata,1,0.02,140,,5,0.17,99,3.3,78,2.6,12,0.4,102,3.4,25,0.83,13,0.43,-,-,16,0.53,23,0.77,-,-,-,-,-,-,-,-,-,-,1,0.1,-,-
Fukushima,4,0.05,130,,3,0.07,90,1.96,88,1.91,17,0.37,89,1.93,27,0.59,32,0.7,-,-,11,0.24,19,0.41,-,-,5,0.42,1,0.14,-,-,3,0.43,-,-,-,-
Ibaraki,1,0.01,16,,10,0.13,81,1.08,224,2.99,29,0.39,118,1.57,41,0.55,19,0.25,-,-,19,0.25,57,0.76,-,-,15,0.88,-,-,-,-,3,0.23,-,-,-,-
Tochigi,1,0.01,57,,5,0.1,72,1.5,86,1.79,11,0.23,79,1.65,18,0.38,28,0.58,-,-,2,0.04,19,0.4,-,-,5,0.42,-,-,1,0.14,4,0.57,-,-,-,-
Gunma,6,0.06,37,,6,0.1,136,2.27,164,2.73,15,0.25,60,1,27,0.45,27,0.45,2,0.03,10,0.17,22,0.37,-,-,20,1.43,-,-,-,-,14,1.75,-,-,1,0.13
Saitama,7,0.03,158,,64,0.41,339,2.17,550,3.53,41,0.26,288,1.85,91,0.58,93,0.6,1,0.01,41,0.26,114,0.73,1,0.03,38,0.95,2,0.2,1,0.1,9,0.9,-,-,-,-
Chiba,26,0.12,133,,32,0.24,324,2.45,330,2.5,30,0.23,314,2.38,54,0.41,66,0.5,4,0.03,37,0.28,129,0.98,1,0.03,24,0.83,-,-,-,-,6,0.67,-,-,-,-
Tokyo,36,0.09,398,,87,0.34,438,1.69,911,3.52,77,0.3,393,1.52,74,0.29,140,0.54,8,0.03,58,0.22,130,0.5,-,-,42,1.11,1,0.04,3,0.12,42,1.68,3,0.12,1,0.04
Kanagawa,9,0.03,187,,28,0.14,294,1.43,604,2.95,81,0.4,439,2.14,32,0.16,107,0.52,2,0.01,65,0.32,74,0.36,1,0.02,40,0.98,-,-,1,0.11,8,0.89,-,-,-,-
Niigata,1,0.01,120,,27,0.46,97,1.64,163,2.76,13,0.22,190,3.22,8,0.14,27,0.46,1,0.02,27,0.46,22,0.37,-,-,6,0.6,-,-,-,-,4,0.31,3,0.23,-,-
Toyama,-,-,36,,7,0.24,62,2.14,106,3.66,7,0.24,32,1.1,2,0.07,6,0.21,-,-,10,0.34,9,0.31,-,-,2,0.29,-,-,-,-,2,0.4,-,-,-,-
Ishikawa,1,0.02,42,,11,0.38,58,2,52,1.79,6,0.21,14,0.48,3,0.1,13,0.45,-,-,-,-,70,2.41,-,-,2,0.29,-,-,-,-,4,0.8,-,-,1,0.2
Fukui,-,-,24,,9,0.41,45,2.05,103,4.68,4,0.18,14,0.64,5,0.23,6,0.27,-,-,3,0.14,6,0.27,-,-,-,-,-,-,-,-,1,0.17,-,-,1,0.17
Yamanashi,-,-,6,,-,-,43,1.79,41,1.71,2,0.08,16,0.67,9,0.38,7,0.29,-,-,3,0.13,3,0.13,-,-,5,0.56,-,-,-,-,5,0.5,-,-,-,-
Nagano,1,0.01,31,,4,0.07,144,2.67,151,2.8,11,0.2,138,2.56,19,0.35,17,0.31,2,0.04,28,0.52,16,0.3,-,-,5,0.45,-,-,-,-,13,1.18,-,-,-,-
Gifu,3,0.03,45,,6,0.12,38,0.73,86,1.65,5,0.1,66,1.27,29,0.56,19,0.37,3,0.06,10,0.19,12,0.23,-,-,1,0.09,-,-,1,0.2,11,2.2,-,-,-,-
Shizuoka,19,0.14,96,,32,0.36,330,3.71,220,2.47,28,0.31,80,0.9,31,0.35,32,0.36,3,0.03,17,0.19,52,0.58,-,-,12,0.55,-,-,2,0.2,14,1.4,1,0.1,-,-
Aichi,64,0.33,137,,35,0.19,288,1.59,453,2.5,38,0.21,272,1.5,106,0.59,75,0.41,1,0.01,29,0.16,51,0.28,-,-,9,0.26,-,-,1,0.07,17,1.21,-,-,-,-
Mie,1,0.01,59,,7,0.16,36,0.8,115,2.56,12,0.27,62,1.38,16,0.36,28,0.62,1,0.02,10,0.22,7,0.16,-,-,-,-,1,0.11,1,0.11,4,0.44,1,0.11,-,-
Shiga,1,0.02,17,,11,0.34,30,0.94,87,2.72,18,0.56,30,0.94,17,0.53,12,0.38,-,-,9,0.28,3,0.09,-,-,3,0.38,1,0.14,-,-,-,-,-,-,-,-
Kyoto,2,0.02,48,,13,0.18,68,0.93,301,4.12,23,0.32,14,0.19,28,0.38,24,0.33,1,0.01,3,0.04,24,0.33,-,-,5,0.28,-,-,-,-,5,0.71,1,0.14,-,-
Osaka,16,0.05,266,,53,0.27,297,1.49,759,3.8,68,0.34,163,0.82,72,0.36,97,0.49,5,0.03,38,0.19,80,0.4,1,0.02,23,0.44,-,-,1,0.06,25,1.47,-,-,-,-
Hyogo,5,0.03,88,,41,0.32,181,1.4,509,3.95,48,0.37,153,1.19,41,0.32,66,0.51,3,0.02,34,0.26,61,0.47,-,-,29,0.83,3,0.27,-,-,2,0.18,-,-,-,-
Nara,3,0.06,35,,19,0.56,29,0.85,82,2.41,1,0.03,8,0.24,9,0.26,17,0.5,-,-,3,0.09,8,0.24,-,-,2,0.22,-,-,-,-,5,0.83,-,-,-,-
Wakayama,-,-,10,,15,0.48,30,0.97,48,1.55,2,0.06,37,1.19,21,0.68,11,0.35,-,-,10,0.32,3,0.1,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Tottori,-,-,21,,5,0.26,144,7.58,101,5.32,-,-,3,0.16,10,0.53,12,0.63,1,0.05,7,0.37,3,0.16,-,-,10,3.33,-,-,-,-,1,0.2,-,-,-,-
Shimane,2,0.05,40,,12,0.52,45,1.96,107,4.65,3,0.13,31,1.35,2,0.09,11,0.48,-,-,9,0.39,3,0.13,-,-,1,0.33,1,0.13,-,-,2,0.25,-,-,-,-
Okayama,2,0.02,36,,5,0.09,22,0.41,220,4.07,9,0.17,51,0.94,14,0.26,18,0.33,-,-,2,0.04,33,0.61,-,-,6,0.5,-,-,-,-,1,0.2,1,0.2,-,-
Hiroshima,5,0.04,125,,12,0.17,198,2.75,245,3.4,9,0.13,162,2.25,19,0.26,32,0.44,2,0.03,20,0.28,83,1.15,-,-,22,1.16,-,-,1,0.05,10,0.48,-,-,-,-
