"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38th week, 2013",,,,,,"Data collected as of September 25, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,113,0.02,3377,,1229,0.39,2306,0.74,8283,2.66,1514,0.49,9164,2.94,128,0.04,1711,0.55,28,0.01,2063,0.66,709,0.23,10,0.01,440,0.65,4,0.01,33,0.07,158,0.34,9,0.02
Hokkaido,2,0.01,124,,29,0.2,174,1.22,165,1.15,45,0.31,1264,8.84,7,0.05,69,0.48,-,-,262,1.83,15,0.1,1,0.03,8,0.28,-,-,-,-,2,0.09,-,-
Aomori,-,-,20,,4,0.1,25,0.61,26,0.63,9,0.22,141,3.44,-,-,12,0.29,-,-,70,1.71,8,0.2,-,-,2,0.18,-,-,-,-,7,1.17,-,-
Iwate,-,-,44,,1,0.03,29,0.73,84,2.1,34,0.85,214,5.35,8,0.2,20,0.5,-,-,65,1.63,22,0.55,-,-,4,0.29,-,-,-,-,15,0.79,-,-
Miyagi,2,0.02,41,,4,0.07,41,0.71,106,1.83,21,0.36,291,5.02,4,0.07,38,0.66,-,-,63,1.09,15,0.26,-,-,8,0.67,-,-,-,-,14,1.17,-,-
Akita,-,-,12,,-,-,22,0.65,42,1.24,15,0.44,174,5.12,-,-,9,0.26,-,-,50,1.47,8,0.24,-,-,3,0.43,-,-,-,-,1,0.13,-,-
Yamagata,-,-,59,,24,0.83,31,1.07,43,1.48,6,0.21,141,4.86,-,-,18,0.62,-,-,44,1.52,10,0.34,-,-,3,0.38,-,-,-,-,6,0.6,1,0.1
Fukushima,1,0.01,72,,2,0.04,22,0.49,60,1.33,13,0.29,173,3.84,2,0.04,37,0.82,1,0.02,44,0.98,17,0.38,-,-,2,0.17,-,-,2,0.29,3,0.43,-,-
Ibaraki,5,0.04,28,,22,0.29,43,0.57,336,4.48,16,0.21,101,1.35,1,0.01,30,0.4,-,-,16,0.21,9,0.12,-,-,19,1.12,-,-,1,0.08,1,0.08,-,-
Tochigi,2,0.03,30,,6,0.13,25,0.52,50,1.04,13,0.27,146,3.04,1,0.02,29,0.6,-,-,18,0.38,16,0.33,-,-,6,0.5,-,-,-,-,3,0.43,3,0.43
Gunma,-,-,13,,11,0.18,52,0.87,145,2.42,18,0.3,182,3.03,2,0.03,22,0.37,1,0.02,33,0.55,7,0.12,-,-,19,1.36,-,-,2,0.25,5,0.63,-,-
Saitama,-,-,92,,65,0.42,151,0.99,450,2.94,63,0.41,419,2.74,7,0.05,111,0.73,-,-,84,0.55,37,0.24,-,-,21,0.54,-,-,3,0.3,5,0.5,-,-
Chiba,2,0.01,89,,31,0.25,155,1.23,253,2.01,52,0.41,351,2.79,5,0.04,55,0.44,3,0.02,59,0.47,44,0.35,-,-,16,0.52,1,0.11,-,-,-,-,-,-
Tokyo,1,0,263,,117,0.46,200,0.78,753,2.95,115,0.45,553,2.17,12,0.05,168,0.66,2,0.01,121,0.47,37,0.15,-,-,13,0.34,-,-,1,0.04,7,0.28,-,-
Kanagawa,2,0.01,78,,41,0.21,91,0.46,455,2.32,66,0.34,402,2.05,19,0.1,113,0.58,3,0.02,101,0.52,53,0.27,-,-,36,0.88,1,0.11,-,-,4,0.44,-,-
Niigata,-,-,174,,6,0.1,57,0.93,76,1.25,44,0.72,563,9.23,8,0.13,37,0.61,-,-,119,1.95,5,0.08,-,-,5,0.5,1,0.08,-,-,2,0.15,1,0.08
Toyama,3,0.06,20,,2,0.07,30,1.03,117,4.03,30,1.03,138,4.76,15,0.52,13,0.45,-,-,45,1.55,1,0.03,-,-,-,-,-,-,-,-,3,0.6,-,-
Ishikawa,-,-,32,,3,0.1,29,1,50,1.72,6,0.21,112,3.86,-,-,9,0.31,-,-,15,0.52,12,0.41,-,-,-,-,-,-,-,-,4,0.8,-,-
Fukui,-,-,48,,5,0.23,30,1.36,95,4.32,23,1.05,75,3.41,-,-,17,0.77,1,0.05,5,0.23,46,2.09,-,-,-,-,-,-,-,-,-,-,-,-
Yamanashi,-,-,6,,1,0.04,10,0.42,52,2.17,3,0.13,55,2.29,-,-,12,0.5,-,-,8,0.33,4,0.17,-,-,2,0.22,-,-,-,-,-,-,-,-
Nagano,3,0.04,11,,10,0.19,72,1.38,139,2.67,25,0.48,257,4.94,-,-,18,0.35,-,-,79,1.52,2,0.04,-,-,15,1.36,-,-,-,-,5,0.45,-,-
Gifu,7,0.08,61,,17,0.32,23,0.43,109,2.06,21,0.4,155,2.92,-,-,19,0.36,-,-,12,0.23,24,0.45,-,-,5,0.45,-,-,-,-,3,0.6,-,-
Shizuoka,12,0.09,49,,44,0.49,44,0.49,259,2.91,26,0.29,351,3.94,1,0.01,60,0.67,-,-,105,1.18,11,0.12,-,-,26,1.18,-,-,1,0.1,2,0.2,1,0.1
Aichi,2,0.01,137,,50,0.28,58,0.32,414,2.29,76,0.42,507,2.8,2,0.01,94,0.52,-,-,97,0.54,39,0.22,5,0.15,4,0.12,-,-,1,0.08,8,0.62,1,0.08
Mie,-,-,15,,12,0.27,5,0.11,102,2.27,27,0.6,230,5.11,1,0.02,22,0.49,-,-,59,1.31,1,0.02,-,-,5,0.42,-,-,3,0.33,1,0.11,1,0.11
Shiga,1,0.02,5,,5,0.16,12,0.39,74,2.39,14,0.45,143,4.61,1,0.03,17,0.55,-,-,24,0.77,7,0.23,-,-,4,0.5,-,-,1,0.14,4,0.57,-,-
Kyoto,-,-,65,,10,0.14,31,0.44,146,2.09,47,0.67,242,3.46,-,-,21,0.3,2,0.03,27,0.39,12,0.17,-,-,5,0.29,-,-,-,-,1,0.17,-,-
Osaka,13,0.04,296,,68,0.34,216,1.08,536,2.68,102,0.51,292,1.46,6,0.03,115,0.58,1,0.01,95,0.48,23,0.12,1,0.02,24,0.46,-,-,-,-,5,0.29,-,-
Hyogo,-,-,147,,24,0.19,52,0.4,374,2.9,53,0.41,196,1.52,6,0.05,55,0.43,-,-,66,0.51,19,0.15,1,0.03,28,0.8,-,-,-,-,6,0.55,-,-
Nara,-,-,46,,4,0.12,4,0.12,56,1.65,20,0.59,41,1.21,-,-,8,0.24,-,-,12,0.35,1,0.03,-,-,2,0.22,-,-,-,-,-,-,-,-
Wakayama,-,-,42,,10,0.32,4,0.13,35,1.13,8,0.26,76,2.45,1,0.03,10,0.32,-,-,19,0.61,2,0.06,-,-,3,0.75,-,-,-,-,3,0.27,-,-
Tottori,-,-,21,,22,1.16,37,1.95,36,1.89,8,0.42,46,2.42,-,-,7,0.37,3,0.16,9,0.47,1,0.05,-,-,1,0.33,-,-,1,0.2,1,0.2,-,-
Shimane,10,0.26,52,,11,0.48,14,0.61,134,5.83,25,1.09,62,2.7,2,0.09,16,0.7,1,0.04,8,0.35,1,0.04,1,0.33,2,0.67,-,-,4,0.5,5,0.63,-,-
Okayama,-,-,28,,17,0.31,15,0.28,234,4.33,29,0.54,79,1.46,-,-,25,0.46,-,-,10,0.19,7,0.13,-,-,5,0.42,-,-,-,-,3,0.6,-,-
Hiroshima,-,-,81,,86,1.21,64,0.9,231,3.25,39,0.55,67,0.94,1,0.01,27,0.38,4,0.06,30,0.42,9,0.13,-,-,19,1,-,-,2,0.1,1,0.05,-,-
Yamaguchi,-,-,160,,23,0.49,44,0.94,163,3.47,21,0.45,29,0.62,1,0.02,32,0.68,-,-,5,0.11,4,0.09,-,-,3,0.33,-,-,1,0.11,4,0.44,-,-
Tokushima,-,-,30,,1,0.04,6,0.26,96,4.17,17,0.74,54,2.35,-,-,27,1.17,-,-,7,0.3,3,0.13,-,-,2,0.5,-,-,-,-,-,-,-,-
Kagawa,-,-,33,,4,0.13,12,0.4,90,3,20,0.67,36,1.2,-,-,18,0.6,-,-,21,0.7,4,0.13,-,-,-,-,-,-,-,-,4,0.8,-,-
Ehime,1,0.02,34,,8,0.22,18,0.49,157,4.24,30,0.81,95,2.57,-,-,23,0.62,-,-,20,0.54,6,0.16,-,-,7,0.88,-,-,-,-,1,0.17,-,-
Kochi,-,-,15,,8,0.27,12,0.4,48,1.6,26,0.87,160,5.33,2,0.07,12,0.4,1,0.03,18,0.6,30,1,-,-,-,-,1,0.13,-,-,3,0.38,1,0.13
Fukuoka,-,-,273,,73,0.61,141,1.18,444,3.7,103,0.86,112,0.93,5,0.04,77,0.64,-,-,22,0.18,70,0.58,-,-,15,0.58,-,-,2,0.15,2,0.15,-,-
Saga,-,-,42,,37,1.61,8,0.35,34,1.48,8,0.35,18,0.78,1,0.04,23,1,-,-,5,0.22,11,0.48,-,-,1,0.25,-,-,-,-,6,1,-,-
Nagasaki,-,-,51,,58,1.32,37,0.84,106,2.41,34,0.77,67,1.52,-,-,19,0.43,-,-,5,0.11,15,0.34,-,-,19,2.38,-,-,1,0.08,1,0.08,-,-
Kumamoto,-,-,113,,62,1.24,33,0.66,239,4.78,21,0.42,55,1.1,1,0.02,37,0.74,-,-,24,0.48,1,0.02,-,-,13,1.44,-,-,1,0.07,2,0.13,-,-
Oita,1,0.02,18,,36,1,26,0.72,235,6.53,17,0.47,42,1.17,-,-,34,0.94,-,-,17,0.47,13,0.36,-,-,3,0.6,-,-,-,-,2,0.18,-,-
Miyazaki,-,-,157,,66,1.83,33,0.92,162,4.5,53,1.47,90,2.5,2,0.06,36,1,-,-,28,0.78,12,0.33,-,-,20,3.33,-,-,1,0.14,-,-,-,-
Kagoshima,-,-,128,,52,0.96,51,0.94,209,3.87,35,0.65,144,2.67,1,0.02,34,0.63,1,0.02,14,0.26,7,0.13,-,-,1,0.14,-,-,-,-,-,-,-,-
Okinawa,43,0.74,22,,37,1.09,17,0.5,63,1.85,17,0.5,23,0.68,3,0.09,6,0.18,4,0.12,3,0.09,8,0.24,1,0.1,41,4.1,-,-,5,0.71,3,0.43,-,-
