"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2013",,,,,,"Data collected as of April 17, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,9841,2,607,,920,0.29,5100,1.62,22042,7.01,3324,1.06,868,0.28,203,0.06,1733,0.55,32,0.01,152,0.05,755,0.24,13,0.02,385,0.56,9,0.02,14,0.03,214,0.46,12,0.03
Hokkaido,376,1.66,35,,55,0.39,328,2.31,511,3.6,115,0.81,11,0.08,1,0.01,40,0.28,2,0.01,1,0.01,8,0.06,-,-,3,0.1,-,-,-,-,2,0.09,-,-
Aomori,107,1.67,3,,4,0.1,55,1.34,218,5.32,12,0.29,-,-,4,0.1,19,0.46,-,-,-,-,3,0.07,-,-,8,0.73,-,-,-,-,7,1.17,-,-
Iwate,173,2.7,2,,5,0.13,59,1.48,213,5.33,53,1.33,1,0.03,9,0.23,16,0.4,-,-,-,-,21,0.53,-,-,4,0.29,-,-,-,-,15,0.79,-,-
Miyagi,112,1.2,8,,15,0.26,92,1.59,359,6.19,57,0.98,2,0.03,11,0.19,37,0.64,1,0.02,-,-,10,0.17,1,0.08,7,0.58,1,0.08,-,-,12,1,2,0.17
Akita,278,5.05,1,,4,0.11,37,1.06,221,6.31,10,0.29,1,0.03,1,0.03,9,0.26,-,-,-,-,31,0.89,-,-,-,-,-,-,-,-,2,0.25,-,-
Yamagata,101,2.1,2,,19,0.63,92,3.07,274,9.13,21,0.7,24,0.8,1,0.03,19,0.63,-,-,1,0.03,19,0.63,-,-,3,0.38,-,-,3,0.3,8,0.8,-,-
Fukushima,101,1.33,13,,13,0.29,87,1.93,257,5.71,36,0.8,4,0.09,1,0.02,23,0.51,-,-,1,0.02,20,0.44,-,-,5,0.42,-,-,-,-,5,0.71,-,-
Ibaraki,64,0.53,6,,23,0.31,137,1.83,492,6.56,77,1.03,7,0.09,2,0.03,31,0.41,-,-,1,0.01,5,0.07,-,-,30,1.76,-,-,-,-,5,0.38,-,-
