"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35th week, 2012",,,,,,"Data collected as of September 5, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,2,0.04,3,,4,0.13,30,0.94,87,2.72,13,0.41,13,0.41,-,-,17,0.53,2,0.06,19,0.59,4,0.13,-,-,2,0.25,-,-,-,-,5,0.71,-,-
Kyoto,-,-,15,,12,0.16,45,0.6,248,3.31,20,0.27,7,0.09,1,0.01,26,0.35,-,-,44,0.59,10,0.13,-,-,10,0.63,-,-,-,-,6,0.86,-,-
Osaka,4,0.01,104,,60,0.3,207,1.05,631,3.2,74,0.38,61,0.31,4,0.02,139,0.71,5,0.03,174,0.88,61,0.31,-,-,19,0.37,2,0.12,1,0.06,25,1.47,1,0.06
Hyogo,4,0.02,11,,25,0.19,57,0.44,434,3.36,47,0.36,18,0.14,6,0.05,96,0.74,5,0.04,135,1.05,41,0.32,-,-,13,0.37,-,-,3,0.27,9,0.82,-,-
Nara,1,0.03,9,,14,0.4,14,0.4,59,1.69,11,0.31,6,0.17,7,0.2,12,0.34,-,-,17,0.49,4,0.11,-,-,2,0.22,-,-,-,-,2,0.33,-,-
Wakayama,-,-,4,,3,0.1,4,0.13,61,1.97,19,0.61,4,0.13,1,0.03,15,0.48,-,-,54,1.74,3,0.1,-,-,2,0.5,-,-,1,0.09,16,1.45,-,-
Tottori,2,0.07,5,,1,0.05,18,0.95,88,4.63,6,0.32,2,0.11,2,0.11,12,0.63,1,0.05,22,1.16,4,0.21,-,-,9,3,-,-,-,-,5,1,-,-
Shimane,-,-,3,,4,0.17,5,0.22,135,5.87,16,0.7,1,0.04,1,0.04,25,1.09,-,-,26,1.13,9,0.39,-,-,-,-,-,-,3,0.38,5,0.63,-,-
Okayama,-,-,10,,6,0.11,27,0.5,205,3.8,34,0.63,18,0.33,5,0.09,41,0.76,5,0.09,55,1.02,29,0.54,-,-,8,0.67,-,-,-,-,2,0.4,1,0.2
Hiroshima,1,0.01,86,,24,0.33,38,0.53,242,3.36,26,0.36,13,0.18,9,0.13,39,0.54,5,0.07,44,0.61,15,0.21,1,0.05,13,0.68,1,0.05,-,-,13,0.62,-,-
Yamaguchi,1,0.01,62,,9,0.19,51,1.06,198,4.13,23,0.48,6,0.13,10,0.21,53,1.1,5,0.1,53,1.1,22,0.46,-,-,2,0.22,-,-,-,-,6,0.67,-,-
Tokushima,-,-,6,,5,0.22,20,0.87,82,3.57,15,0.65,15,0.65,4,0.17,24,1.04,1,0.04,32,1.39,5,0.22,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,-,-,11,,3,0.1,8,0.27,111,3.7,13,0.43,6,0.2,2,0.07,16,0.53,-,-,33,1.1,1,0.03,-,-,1,0.33,2,0.4,-,-,1,0.2,-,-
Ehime,-,-,23,,10,0.27,44,1.19,164,4.43,23,0.62,9,0.24,10,0.27,42,1.14,1,0.03,30,0.81,12,0.32,-,-,12,1.5,-,-,-,-,5,0.83,-,-
Kochi,1,0.02,9,,5,0.17,12,0.4,69,2.3,24,0.8,5,0.17,10,0.33,18,0.6,8,0.27,33,1.1,11,0.37,-,-,1,0.33,-,-,2,0.25,2,0.25,-,-
Fukuoka,8,0.04,433,,87,0.73,77,0.64,519,4.33,69,0.58,9,0.08,-,-,129,1.08,4,0.03,53,0.44,85,0.71,1,0.04,9,0.35,1,0.07,1,0.07,3,0.2,-,-
Saga,1,0.03,18,,4,0.17,23,1,24,1.04,12,0.52,6,0.26,1,0.04,19,0.83,-,-,18,0.78,16,0.7,-,-,1,0.25,-,-,-,-,4,0.67,-,-
Nagasaki,15,0.21,28,,7,0.16,39,0.89,106,2.41,22,0.5,5,0.11,-,-,30,0.68,-,-,27,0.61,26,0.59,-,-,2,0.25,1,0.08,2,0.17,1,0.08,-,-
Kumamoto,-,-,41,,26,0.54,24,0.5,203,4.23,17,0.35,20,0.42,2,0.04,33,0.69,-,-,50,1.04,23,0.48,2,0.22,29,3.22,1,0.07,2,0.13,7,0.47,1,0.07
Oita,-,-,28,,7,0.19,21,0.58,269,7.47,19,0.53,12,0.33,3,0.08,39,1.08,3,0.08,63,1.75,62,1.72,-,-,1,0.2,-,-,-,-,8,0.73,-,-
Miyazaki,1,0.02,177,,21,0.58,46,1.28,159,4.42,28,0.78,93,2.58,1,0.03,57,1.58,-,-,65,1.81,32,0.89,-,-,16,2.67,-,-,-,-,3,0.5,-,-
Kagoshima,100,1.08,114,,68,1.24,33,0.6,228,4.15,19,0.35,15,0.27,2,0.04,40,0.73,-,-,44,0.8,27,0.49,-,-,10,1.43,-,-,-,-,4,0.33,-,-
Okinawa,1001,17.26,45,,7,0.21,13,0.38,59,1.74,22,0.65,26,0.76,-,-,20,0.59,-,-,13,0.38,10,0.29,1,0.1,45,4.5,-,-,2,0.29,10,1.43,1,0.14
