"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10th week, 2013",,,,,,"Data collected as of March 13, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,51190,10.37,1081,,1000,0.32,7453,2.37,32737,10.39,3864,1.23,629,0.2,169,0.05,1514,0.48,35,0.01,73,0.02,779,0.25,20,0.03,326,0.48,15,0.03,6,0.01,231,0.5,18,0.04
Hokkaido,1214,5.35,48,,59,0.41,561,3.92,507,3.55,127,0.89,3,0.02,2,0.01,54,0.38,-,-,1,0.01,11,0.08,-,-,4,0.14,-,-,-,-,6,0.26,-,-
Aomori,453,7.08,7,,4,0.1,69,1.68,243,5.93,17,0.41,3,0.07,3,0.07,13,0.32,-,-,-,-,11,0.27,-,-,1,0.09,-,-,-,-,7,1.17,-,-
Iwate,605,9.45,3,,4,0.1,82,2.05,313,7.83,23,0.58,1,0.03,7,0.18,8,0.2,-,-,-,-,26,0.65,-,-,5,0.38,1,0.05,-,-,21,1.11,-,-
Miyagi,561,6.03,13,,24,0.41,175,3.02,551,9.5,81,1.4,9,0.16,6,0.1,26,0.45,-,-,2,0.03,27,0.47,-,-,1,0.08,-,-,-,-,19,1.58,1,0.08
Akita,581,10.56,6,,9,0.26,58,1.66,194,5.54,16,0.46,-,-,-,-,11,0.31,1,0.03,-,-,32,0.91,-,-,1,0.14,-,-,-,-,4,0.5,-,-
Yamagata,326,6.79,5,,29,0.97,170,5.67,316,10.53,36,1.2,2,0.07,1,0.03,20,0.67,-,-,-,-,42,1.4,-,-,2,0.25,-,-,1,0.1,2,0.2,-,-
Fukushima,485,6.38,22,,4,0.09,140,3.11,352,7.82,36,0.8,7,0.16,1,0.02,21,0.47,1,0.02,-,-,17,0.38,1,0.08,2,0.17,-,-,-,-,5,0.71,1,0.14
Ibaraki,646,5.38,14,,24,0.32,147,1.96,709,9.45,43,0.57,16,0.21,3,0.04,21,0.28,-,-,1,0.01,10,0.13,1,0.06,18,1.06,-,-,-,-,4,0.31,-,-
