"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2018",,,,,,"Data collected as of October 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Gifu,25781,299.78,1202,23.12,700,13.46,2186,42.04,7640,146.92,300,5.77,464,8.92,80,1.54,617,11.87,1063,20.44,247,4.75,3,0.27,150,13.64,1,0.2,10,2,47,9.4,-,-,95,19
Shizuoka,50351,364.86,2584,29.03,1316,14.79,5893,66.21,16512,185.53,701,7.88,1437,16.15,615,6.91,1343,15.09,4362,49.01,1008,11.33,10,0.48,646,30.76,6,0.67,32,3.56,44,4.89,4,0.44,17,1.89
Aichi,80023,410.37,4658,25.59,1870,10.27,12468,68.51,31160,171.21,2038,11.2,2441,13.41,500,2.75,2630,14.45,5350,29.4,845,4.64,8,0.23,957,27.34,10,0.67,30,2,162,10.8,2,0.13,147,9.8
Mie,26938,379.41,2120,48.18,896,20.36,3729,84.75,9364,212.82,450,10.23,657,14.93,96,2.18,916,20.82,2062,46.86,202,4.59,5,0.42,57,4.75,12,1.33,19,2.11,60,6.67,2,0.22,15,1.67
Shiga,17575,337.98,526,16.97,389,12.55,1514,48.84,5350,172.58,457,14.74,1128,36.39,70,2.26,435,14.03,1058,34.13,293,9.45,1,0.13,147,18.38,6,0.86,14,2,12,1.71,-,-,11,1.57
Kyoto,39785,318.28,1658,21.82,834,10.97,4449,58.54,14419,189.72,677,8.91,1792,23.58,139,1.83,1028,13.53,1426,18.76,240,3.16,3,0.18,296,17.41,7,1,2,0.29,35,5,-,-,52,7.43
Osaka,89130,293.19,9078,45.85,3803,19.21,16810,84.9,43216,218.26,2920,14.75,3914,19.77,915,4.62,3840,19.39,5023,25.37,1106,5.59,32,0.63,1047,20.53,17,1,23,1.35,121,7.12,2,0.12,184,10.82
Hyogo,65178,329.18,3971,31.02,2146,16.77,7059,55.15,30327,236.93,1793,14.01,2599,20.3,230,1.8,2016,15.75,2695,21.05,569,4.45,31,0.91,937,27.56,30,2.31,27,2.08,73,5.62,2,0.15,110,8.46
Nara,15714,291,1436,42.24,536,15.76,2386,70.18,6852,201.53,360,10.59,866,25.47,238,7,611,17.97,915,26.91,99,2.91,1,0.1,292,29.2,12,2,10,1.67,47,7.83,-,-,56,9.33
Wakayama,14560,303.33,1126,37.53,430,14.33,1138,37.93,3817,127.23,321,10.7,399,13.3,100,3.33,529,17.63,712,23.73,130,4.33,56,18.67,40,13.33,4,0.36,9,0.82,59,5.36,6,0.55,50,4.55
