"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7th week, 2013",,,,,,"Data collected as of February 20, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,80636,16.31,1160,,782,0.25,5268,1.67,22963,7.29,3264,1.04,540,0.17,158,0.05,1300,0.41,32,0.01,48,0.02,671,0.21,11,0.02,268,0.39,3,0.01,7,0.01,224,0.48,9,0.02
Hokkaido,3310,14.58,37,,39,0.27,442,3.09,260,1.82,119,0.83,3,0.02,2,0.01,43,0.3,-,-,-,-,8,0.06,-,-,8,0.28,-,-,-,-,10,0.43,-,-
Aomori,952,14.88,7,,7,0.17,56,1.37,187,4.56,24,0.59,1,0.02,-,-,13,0.32,-,-,-,-,6,0.15,-,-,3,0.27,-,-,-,-,7,1.17,-,-
Iwate,1295,20.23,7,,4,0.1,54,1.35,233,5.83,25,0.63,2,0.05,8,0.2,11,0.28,-,-,-,-,20,0.5,-,-,1,0.07,-,-,-,-,11,0.58,-,-
Miyagi,1146,12.32,15,,14,0.24,92,1.59,339,5.84,80,1.38,8,0.14,11,0.19,24,0.41,-,-,-,-,20,0.34,-,-,-,-,-,-,-,-,25,2.08,1,0.08
Akita,1277,23.22,6,,12,0.34,40,1.14,205,5.86,25,0.71,2,0.06,3,0.09,10,0.29,2,0.06,-,-,32,0.91,-,-,-,-,-,-,-,-,3,0.38,-,-
Yamagata,624,13,-,,13,0.43,105,3.5,200,6.67,34,1.13,1,0.03,-,-,16,0.53,-,-,-,-,20,0.67,-,-,4,0.5,-,-,-,-,3,0.3,-,-
Fukushima,1078,14.18,32,,6,0.13,96,2.13,284,6.31,48,1.07,3,0.07,2,0.04,18,0.4,-,-,-,-,17,0.38,-,-,7,0.58,-,-,-,-,6,0.86,-,-
Ibaraki,1424,11.87,9,,13,0.17,81,1.08,573,7.64,43,0.57,24,0.32,2,0.03,23,0.31,-,-,-,-,6,0.08,-,-,10,0.59,-,-,1,0.08,4,0.31,-,-
Tochigi,679,9.05,6,,7,0.15,48,1.02,256,5.45,25,0.53,8,0.17,-,-,15,0.32,-,-,1,0.02,5,0.11,-,-,7,0.58,-,-,-,-,9,1.29,3,0.43
Gunma,823,8.4,2,,12,0.2,54,0.9,460,7.67,47,0.78,21,0.35,5,0.08,27,0.45,-,-,-,-,17,0.28,-,-,17,1.21,-,-,-,-,8,1,-,-
Saitama,2735,11.12,33,,29,0.18,311,1.98,1281,8.16,170,1.08,15,0.1,4,0.03,73,0.46,-,-,1,0.01,31,0.2,2,0.05,8,0.19,1,0.11,-,-,15,1.67,-,-
