"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2012",,,,,,"Data collected as of December 5, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1521,0.31,3712,,1150,0.37,5542,1.76,56677,18,5448,1.73,1319,0.42,143,0.05,1715,0.54,60,0.02,175,0.06,1184,0.38,5,0.01,424,0.62,7,0.01,17,0.04,562,1.2,17,0.04
Hokkaido,34,0.15,343,,113,0.79,439,3.07,1255,8.78,251,1.76,54,0.38,2,0.01,57,0.4,6,0.04,10,0.07,26,0.18,-,-,12,0.41,-,-,-,-,26,1.13,1,0.04
Aomori,-,-,78,,8,0.2,46,1.12,335,8.17,75,1.83,12,0.29,-,-,16,0.39,1,0.02,2,0.05,18,0.44,-,-,7,0.64,-,-,-,-,29,4.83,1,0.17
Iwate,20,0.31,27,,3,0.08,51,1.28,539,13.48,70,1.75,36,0.9,11,0.28,16,0.4,1,0.03,3,0.08,60,1.5,-,-,6,0.43,-,-,-,-,78,4.11,-,-
Miyagi,30,0.32,36,,12,0.21,93,1.6,1116,19.24,207,3.57,38,0.66,6,0.1,32,0.55,-,-,1,0.02,74,1.28,-,-,2,0.17,-,-,1,0.08,47,3.92,-,-
Akita,13,0.24,43,,17,0.49,44,1.26,314,8.97,57,1.63,56,1.6,-,-,23,0.66,1,0.03,2,0.06,42,1.2,-,-,4,0.57,-,-,-,-,13,1.63,-,-
Yamagata,2,0.04,44,,22,0.73,85,2.83,471,15.7,114,3.8,42,1.4,-,-,14,0.47,-,-,2,0.07,40,1.33,-,-,7,0.88,-,-,2,0.2,20,2,-,-
Fukushima,31,0.39,107,,7,0.15,84,1.75,497,10.35,57,1.19,65,1.35,2,0.04,17,0.35,1,0.02,-,-,13,0.27,-,-,9,0.75,-,-,1,0.14,17,2.43,1,0.14
Ibaraki,3,0.03,50,,22,0.29,109,1.45,1096,14.61,77,1.03,129,1.72,-,-,17,0.23,-,-,2,0.03,13,0.17,-,-,19,1.12,-,-,-,-,9,0.69,-,-
