"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2013",,,,,,"Data collected as of December 4, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,13,0.18,116,,29,0.64,48,1.07,367,8.16,106,2.36,33,0.73,2,0.04,30,0.67,1,0.02,4,0.09,3,0.07,-,-,2,0.17,-,-,-,-,4,0.44,-,-,-,-
Shiga,8,0.15,64,,5,0.16,26,0.81,195,6.09,48,1.5,19,0.59,-,-,12,0.38,-,-,4,0.13,3,0.09,-,-,1,0.13,-,-,-,-,1,0.14,-,-,1,0.14
Kyoto,21,0.17,64,,40,0.54,134,1.81,451,6.09,114,1.54,36,0.49,2,0.03,24,0.32,-,-,2,0.03,9,0.12,-,-,15,0.83,-,-,-,-,1,0.14,-,-,2,0.29
Osaka,96,0.31,352,,102,0.51,407,2.04,1821,9.11,300,1.5,50,0.25,5,0.03,106,0.53,1,0.01,8,0.04,15,0.08,-,-,12,0.23,2,0.12,1,0.06,1,0.06,1,0.06,1,0.06
Hyogo,44,0.22,200,,58,0.45,101,0.78,1432,11.1,194,1.5,62,0.48,3,0.02,69,0.53,2,0.02,3,0.02,17,0.13,1,0.03,15,0.43,-,-,-,-,3,0.27,-,-,-,-
Nara,9,0.17,32,,20,0.59,34,1,159,4.68,23,0.68,8,0.24,1,0.03,6,0.18,-,-,1,0.03,6,0.18,1,0.11,1,0.11,-,-,-,-,-,-,-,-,2,0.33
Wakayama,26,0.52,74,,13,0.42,25,0.81,123,3.97,24,0.77,26,0.84,-,-,17,0.55,-,-,1,0.03,4,0.13,-,-,-,-,-,-,-,-,1,0.09,1,0.09,-,-
Tottori,2,0.07,46,,18,0.95,51,2.68,141,7.42,29,1.53,21,1.11,-,-,8,0.42,-,-,-,-,-,-,-,-,3,1,-,-,1,0.2,-,-,-,-,-,-
Shimane,5,0.13,21,,22,0.96,17,0.74,272,11.83,41,1.78,22,0.96,-,-,18,0.78,-,-,1,0.04,-,-,-,-,2,0.67,-,-,-,-,3,0.38,-,-,-,-
Okayama,41,0.49,64,,10,0.19,71,1.31,647,11.98,54,1,7,0.13,2,0.04,30,0.56,-,-,2,0.04,3,0.06,-,-,5,0.42,-,-,-,-,-,-,-,-,-,-
Hiroshima,29,0.25,88,,94,1.32,100,1.41,722,10.17,147,2.07,10,0.14,1,0.01,35,0.49,-,-,6,0.08,20,0.28,-,-,11,0.58,1,0.05,-,-,1,0.05,-,-,-,-
Yamaguchi,61,0.9,66,,21,0.45,153,3.26,524,11.15,76,1.62,38,0.81,-,-,51,1.09,-,-,8,0.17,8,0.17,-,-,1,0.11,-,-,-,-,-,-,-,-,-,-
Tokushima,8,0.21,124,,2,0.09,12,0.52,207,9,31,1.35,17,0.74,-,-,18,0.78,-,-,-,-,4,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,4,0.08,93,,25,0.83,24,0.8,236,7.87,41,1.37,5,0.17,1,0.03,19,0.63,-,-,5,0.17,2,0.07,-,-,-,-,-,-,-,-,1,0.2,-,-,2,0.4
Ehime,27,0.44,53,,39,1.05,62,1.68,498,13.46,52,1.41,10,0.27,3,0.08,23,0.62,-,-,4,0.11,5,0.14,-,-,21,2.63,-,-,-,-,2,0.33,-,-,-,-
Kochi,38,0.79,48,,11,0.37,7,0.23,113,3.77,27,0.9,15,0.5,-,-,15,0.5,-,-,1,0.03,48,1.6,-,-,-,-,1,0.13,-,-,4,0.5,-,-,1,0.13
Fukuoka,57,0.29,105,,86,0.72,365,3.04,1595,13.29,308,2.57,182,1.52,4,0.03,110,0.92,-,-,6,0.05,134,1.12,1,0.04,19,0.73,-,-,1,0.08,-,-,-,-,-,-
Saga,81,2.08,34,,34,1.48,47,2.04,294,12.78,77,3.35,68,2.96,1,0.04,13,0.57,-,-,1,0.04,11,0.48,-,-,1,0.25,-,-,-,-,2,0.33,-,-,-,-
Nagasaki,8,0.11,45,,24,0.55,52,1.18,354,8.05,67,1.52,63,1.43,-,-,21,0.48,-,-,-,-,39,0.89,-,-,4,0.5,-,-,-,-,-,-,-,-,-,-
Kumamoto,38,0.48,38,,68,1.36,119,2.38,705,14.1,118,2.36,59,1.18,1,0.02,44,0.88,-,-,4,0.08,-,-,-,-,9,1,-,-,1,0.07,-,-,-,-,-,-
Oita,53,0.91,43,,34,0.94,104,2.89,491,13.64,91,2.53,17,0.47,1,0.03,41,1.14,-,-,5,0.14,11,0.31,-,-,-,-,-,-,2,0.18,8,0.73,-,-,1,0.09
Miyazaki,2,0.03,19,,59,1.64,54,1.5,791,21.97,109,3.03,142,3.94,2,0.06,28,0.78,-,-,3,0.08,6,0.17,-,-,23,3.83,1,0.14,1,0.14,-,-,-,-,-,-
Kagoshima,132,1.42,33,,79,1.44,105,1.91,509,9.25,108,1.96,249,4.53,2,0.04,26,0.47,-,-,7,0.13,17,0.31,-,-,5,0.71,-,-,-,-,-,-,-,-,1,0.08
Okinawa,64,1.12,3,,14,0.42,41,1.24,75,2.27,34,1.03,16,0.48,1,0.03,11,0.33,3,0.09,1,0.03,9,0.27,-,-,19,1.9,3,0.43,1,0.14,2,0.29,-,-,-,-
