"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28th week, 2018",,,,,,"Data collected as of July 18, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,355,0.07,2194,0.7,2121,0.68,6971,2.22,14782,4.71,846,0.27,6551,2.09,1057,0.34,1722,0.55,7600,2.42,615,0.2,14,0.02,640,0.92,13,0.03,23,0.05,78,0.16,1,0,7,0.01
Hokkaido,4,0.02,77,0.55,139,0.99,537,3.84,403,2.88,39,0.28,266,1.9,3,0.02,45,0.32,32,0.23,14,0.1,2,0.07,27,0.96,-,-,-,-,8,0.35,-,-,1,0.04
Aomori,1,0.02,22,0.52,13,0.31,47,1.12,203,4.83,6,0.14,61,1.45,1,0.02,24,0.57,15,0.36,25,0.6,-,-,2,0.18,-,-,-,-,5,0.83,-,-,-,-
Iwate,-,-,37,0.9,25,0.61,115,2.8,167,4.07,5,0.12,55,1.34,30,0.73,34,0.83,10,0.24,5,0.12,-,-,10,0.71,-,-,-,-,3,0.16,-,-,1,0.05
Miyagi,3,0.03,70,1.19,35,0.59,151,2.56,343,5.81,29,0.49,98,1.66,29,0.49,46,0.78,124,2.1,11,0.19,-,-,1,0.08,-,-,-,-,6,0.5,-,-,1,0.08
Akita,-,-,23,0.68,23,0.68,21,0.62,72,2.12,5,0.15,3,0.09,-,-,15,0.44,20,0.59,6,0.18,-,-,2,0.29,-,-,-,-,4,0.5,-,-,-,-
Yamagata,-,-,-,-,37,1.23,64,2.13,158,5.27,15,0.5,116,3.87,13,0.43,20,0.67,172,5.73,3,0.1,-,-,4,0.5,1,0.1,-,-,1,0.1,-,-,-,-
Fukushima,34,0.41,84,1.68,50,1,85,1.7,157,3.14,20,0.4,24,0.48,1,0.02,38,0.76,97,1.94,12,0.24,-,-,16,1.23,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,21,0.18,12,0.16,75,1,178,2.37,307,4.09,17,0.23,27,0.36,6,0.08,29,0.39,187,2.49,10,0.13,-,-,19,1.12,-,-,-,-,4,0.31,-,-,-,-
