"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28th week, 2018",,,,,,"Data collected as of July 18, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,50200,363.77,635,7.13,774,8.7,4671,52.48,12229,137.4,489,5.49,605,6.8,343,3.85,868,9.75,1417,15.92,677,7.61,7,0.32,321,14.59,5,0.56,18,2,27,3,4,0.44,17,1.89
Aichi,79547,407.93,1134,6.23,1362,7.48,9595,52.72,23923,131.45,1473,8.09,877,4.82,248,1.36,1799,9.88,1191,6.54,632,3.47,3,0.09,484,13.83,6,0.4,9,0.6,68,4.53,1,0.07,142,9.47
Mie,26669,375.62,557,12.66,691,15.7,3015,68.52,7015,159.43,298,6.77,246,5.59,37,0.84,576,13.09,545,12.39,149,3.39,3,0.25,35,2.92,5,0.56,11,1.22,23,2.56,2,0.22,15,1.67
Shiga,17544,337.38,154,4.97,298,9.61,1191,38.42,3841,123.9,328,10.58,496,16,43,1.39,303,9.77,267,8.61,215,6.94,1,0.13,91,11.38,3,0.43,6,0.86,5,0.71,-,-,11,1.57
Kyoto,39699,317.59,361,4.75,611,8.04,3293,43.33,10866,142.97,429,5.64,685,9.01,89,1.17,681,8.96,498,6.55,157,2.07,3,0.18,170,10,4,0.57,1,0.14,26,3.71,-,-,52,7.43
Osaka,88605,291.46,2677,13.52,2603,13.15,12298,62.11,32928,166.3,2064,10.42,1174,5.93,486,2.45,2529,12.77,951,4.8,746,3.77,28,0.54,591,11.37,11,0.65,13,0.76,52,3.06,2,0.12,178,10.47
Hyogo,65054,328.56,1229,9.6,1688,13.19,5399,42.18,22452,175.41,1213,9.48,633,4.95,107,0.84,1336,10.44,510,3.98,388,3.03,30,0.88,579,17.03,20,1.54,18,1.38,48,3.69,2,0.15,107,8.23
Nara,15651,289.83,274,8.06,390,11.47,1870,55,5459,160.56,287,8.44,247,7.26,156,4.59,395,11.62,297,8.74,57,1.68,1,0.1,94,9.4,10,1.67,5,0.83,20,3.33,-,-,54,9
Wakayama,14524,302.58,214,7.13,335,11.17,924,30.8,2897,96.57,237,7.9,74,2.47,55,1.83,339,11.3,292,9.73,109,3.63,56,14,23,5.75,4,0.36,6,0.55,27,2.45,4,0.36,50,4.55
Tottori,10880,375.17,135,7.11,298,15.68,2865,150.79,4274,224.95,110,5.79,67,3.53,18,0.95,245,12.89,81,4.26,34,1.79,3,0.6,24,4.8,4,0.8,8,1.6,10,2,1,0.2,52,10.4
Shimane,9990,262.89,208,9.04,183,7.96,1579,68.65,4093,177.96,110,4.78,261,11.35,10,0.43,355,15.43,141,6.13,112,4.87,-,-,6,2,5,0.63,18,2.25,7,0.88,-,-,46,5.75
Okayama,28338,337.36,178,3.3,398,7.37,2741,50.76,10728,198.67,434,8.04,299,5.54,128,2.37,586,10.85,266,4.93,146,2.7,15,1.25,200,16.67,3,0.6,1,0.2,8,1.6,-,-,28,5.6
Hiroshima,34107,299.18,670,9.44,1069,15.06,4232,59.61,14598,205.61,493,6.94,1184,16.68,34,0.48,678,9.55,876,12.34,213,3,18,0.95,484,25.47,5,0.25,3,0.15,29,1.45,2,0.1,372,18.6
Yamaguchi,26768,399.52,1093,23.26,571,12.15,4115,87.55,7053,150.06,327,6.96,1655,35.21,22,0.47,680,14.47,637,13.55,200,4.26,-,-,126,14,5,0.56,4,0.44,29,3.22,-,-,103,11.44
Tokushima,11992,324.11,457,19.87,335,14.57,1231,53.52,3529,153.43,138,6,553,24.04,87,3.78,432,18.78,137,5.96,86,3.74,-,-,21,5.25,4,0.57,1,0.14,12,1.71,-,-,2,0.29
Kagawa,15191,323.21,197,7.04,332,11.86,1531,54.68,5586,199.5,196,7,180,6.43,17,0.61,429,15.32,435,15.54,126,4.5,4,0.8,85,17,3,0.6,1,0.2,22,4.4,1,0.2,40,8
Ehime,23261,381.33,474,12.81,330,8.92,3324,89.84,8827,238.57,254,6.86,392,10.59,35,0.95,666,18,380,10.27,203,5.49,1,0.13,371,46.38,-,-,-,-,58,9.67,-,-,45,7.5
Kochi,20862,434.63,196,6.53,217,7.23,1228,40.93,3301,110.03,151,5.03,440,14.67,54,1.8,296,9.87,33,1.1,40,1.33,-,-,24,8,3,0.38,1,0.13,47,5.88,12,1.5,29,3.63
Fukuoka,90290,458.32,2375,19.96,2134,17.93,11229,94.36,25116,211.06,1567,13.17,7489,62.93,130,1.09,2233,18.76,880,7.39,973,8.18,4,0.15,995,38.27,21,1.4,18,1.2,90,6,-,-,79,5.27
Saga,15606,410.68,233,10.59,582,26.45,1021,46.41,2800,127.27,222,10.09,958,43.55,18,0.82,425,19.32,781,35.5,48,2.18,2,0.5,70,17.5,2,0.33,8,1.33,23,3.83,-,-,56,9.33
Nagasaki,26943,384.9,465,10.57,397,9.02,3237,73.57,6057,137.66,320,7.27,1980,45,27,0.61,521,11.84,460,10.45,76,1.73,6,0.75,130,16.25,10,0.83,12,1,62,5.17,-,-,98,8.17
Kumamoto,29832,372.9,423,8.46,582,11.64,2030,40.6,10467,209.34,322,6.44,3029,60.58,35,0.7,999,19.98,389,7.78,134,2.68,1,0.11,370,41.11,8,0.53,12,0.8,20,1.33,-,-,41,2.73
Oita,27037,466.16,329,9.14,259,7.19,1794,49.83,12090,335.83,531,14.75,3895,108.19,21,0.58,632,17.56,240,6.67,355,9.86,1,0.2,138,27.6,1,0.09,1,0.09,29,2.64,-,-,25,2.27
Miyazaki,27745,478.36,696,19.89,833,23.8,2129,60.83,10199,291.4,381,10.89,4336,123.89,32,0.91,847,24.2,218,6.23,843,24.09,-,-,382,63.67,1,0.14,-,-,4,0.57,-,-,153,21.86
Kagoshima,40784,443.3,941,17.43,1762,32.63,4535,83.98,12104,224.15,551,10.2,4167,77.17,65,1.2,668,12.37,132,2.44,984,18.22,1,0.14,198,28.29,2,0.17,3,0.25,7,0.58,-,-,14,1.17
Okinawa,29014,518.11,1938,58.73,461,13.97,1632,49.45,3430,103.94,524,15.88,852,25.82,46,1.39,432,13.09,61,1.85,114,3.45,6,0.67,436,48.44,19,2.71,39,5.57,25,3.57,3,0.43,24,3.43
