"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36th week, 2012",,,,,,"Data collected as of September 12, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,979,0.2,2785,,1063,0.34,2545,0.81,9900,3.15,1555,0.5,2784,0.89,209,0.07,2202,0.7,135,0.04,3146,1,1069,0.34,9,0.01,410,0.6,18,0.04,17,0.04,501,1.08,14,0.03
Hokkaido,1,0,36,,29,0.2,195,1.36,205,1.43,62,0.43,307,2.15,4,0.03,89,0.62,8,0.06,289,2.02,25,0.17,1,0.03,3,0.1,-,-,-,-,12,0.52,-,-
Aomori,-,-,34,,-,-,14,0.34,35,0.85,7,0.17,176,4.29,5,0.12,26,0.63,-,-,126,3.07,13,0.32,1,0.09,3,0.27,-,-,-,-,19,3.17,-,-
Iwate,-,-,16,,9,0.23,17,0.43,90,2.25,14,0.35,186,4.65,10,0.25,16,0.4,4,0.1,86,2.15,43,1.08,-,-,5,0.36,-,-,-,-,33,1.74,-,-
Miyagi,-,-,36,,8,0.14,57,0.98,218,3.76,11,0.19,252,4.34,7,0.12,42,0.72,1,0.02,127,2.19,40,0.69,-,-,3,0.25,-,-,-,-,17,1.42,1,0.08
Akita,6,0.11,32,,11,0.31,28,0.8,115,3.29,7,0.2,104,2.97,2,0.06,14,0.4,-,-,84,2.4,6,0.17,-,-,3,0.43,-,-,-,-,2,0.25,-,-
Yamagata,-,-,36,,31,1.03,33,1.1,91,3.03,21,0.7,128,4.27,-,-,27,0.9,-,-,112,3.73,19,0.63,-,-,1,0.13,-,-,-,-,8,0.8,-,-
Fukushima,13,0.16,81,,6,0.13,35,0.73,101,2.1,27,0.56,110,2.29,2,0.04,27,0.56,4,0.08,20,0.42,9,0.19,-,-,5,0.42,-,-,-,-,23,3.29,1,0.14
Ibaraki,1,0.01,32,,22,0.29,47,0.63,157,2.09,25,0.33,46,0.61,-,-,26,0.35,4,0.05,17,0.23,10,0.13,-,-,22,1.29,4,0.31,-,-,6,0.46,-,-
Tochigi,-,-,28,,8,0.17,22,0.46,49,1.02,26,0.54,32,0.67,3,0.06,35,0.73,3,0.06,12,0.25,13,0.27,1,0.08,11,0.92,-,-,-,-,46,6.57,3,0.43
Gunma,4,0.04,17,,24,0.4,46,0.77,203,3.38,29,0.48,34,0.57,3,0.05,36,0.6,6,0.1,49,0.82,26,0.43,-,-,14,1,-,-,-,-,29,3.63,-,-
Saitama,5,0.02,100,,59,0.38,143,0.92,549,3.54,55,0.35,96,0.62,9,0.06,124,0.8,3,0.02,130,0.84,49,0.32,-,-,18,0.43,-,-,1,0.11,26,2.89,1,0.11
Chiba,5,0.02,81,,25,0.19,124,0.95,384,2.93,45,0.34,50,0.38,10,0.08,78,0.6,12,0.09,76,0.58,44,0.34,-,-,17,0.52,-,-,2,0.22,16,1.78,2,0.22
Tokyo,43,0.1,317,,115,0.44,242,0.93,935,3.6,114,0.44,154,0.59,20,0.08,233,0.9,9,0.03,262,1.01,56,0.22,1,0.03,31,0.82,2,0.08,3,0.12,21,0.84,-,-
Kanagawa,15,0.05,51,,68,0.34,127,0.64,546,2.76,104,0.53,176,0.89,15,0.08,134,0.68,10,0.05,188,0.95,53,0.27,1,0.02,30,0.68,-,-,-,-,2,0.25,-,-
Niigata,1,0.01,15,,39,0.65,47,0.78,81,1.35,43,0.72,206,3.43,4,0.07,38,0.63,3,0.05,210,3.5,18,0.3,-,-,1,0.1,-,-,-,-,13,1,4,0.31
Toyama,1,0.02,18,,11,0.38,47,1.62,108,3.72,17,0.59,18,0.62,1,0.03,18,0.62,1,0.03,33,1.14,6,0.21,-,-,2,0.29,-,-,-,-,5,1,-,-
Ishikawa,3,0.06,16,,5,0.17,25,0.86,90,3.1,23,0.79,46,1.59,-,-,17,0.59,-,-,24,0.83,8,0.28,-,-,-,-,-,-,-,-,5,1,-,-
Fukui,-,-,17,,11,0.5,27,1.23,83,3.77,19,0.86,32,1.45,1,0.05,9,0.41,-,-,24,1.09,8,0.36,-,-,-,-,1,0.17,-,-,2,0.33,-,-
Yamanashi,-,-,-,,1,0.04,24,1,53,2.21,6,0.25,15,0.63,-,-,11,0.46,1,0.04,14,0.58,4,0.17,-,-,2,0.22,1,0.1,-,-,10,1,1,0.1
Nagano,9,0.1,-,,8,0.15,71,1.29,187,3.4,30,0.55,55,1,2,0.04,25,0.45,5,0.09,125,2.27,4,0.07,-,-,1,0.09,1,0.09,-,-,17,1.55,-,-
Gifu,6,0.07,10,,31,0.58,21,0.4,146,2.75,24,0.45,9,0.17,11,0.21,31,0.58,4,0.08,15,0.28,44,0.83,-,-,1,0.09,-,-,-,-,9,1.8,-,-
Shizuoka,7,0.05,47,,32,0.36,64,0.72,356,4,38,0.43,40,0.45,3,0.03,67,0.75,3,0.03,56,0.63,22,0.25,-,-,19,0.86,1,0.11,-,-,12,1.33,-,-
Aichi,3,0.02,40,,71,0.39,113,0.63,553,3.07,77,0.43,60,0.33,12,0.07,132,0.73,5,0.03,85,0.47,74,0.41,-,-,29,0.85,1,0.07,-,-,45,3.21,-,-
