"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51st week, 2015",,,,,,"Data collected as of December 24, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,74,0.38,412,,81,0.45,606,3.35,1909,10.55,115,0.64,32,0.18,120,0.66,47,0.26,-,-,4,0.02,87,0.48,-,-,11,0.32,-,-,3,0.21,15,1.07,-,-,-,-
Mie,37,0.51,146,,18,0.4,73,1.62,639,14.2,32,0.71,6,0.13,45,1,25,0.56,-,-,1,0.02,6,0.13,-,-,4,0.33,-,-,-,-,5,0.56,-,-,-,-
Shiga,14,0.26,72,,13,0.41,49,1.53,338,10.56,60,1.88,3,0.09,6,0.19,10,0.31,-,-,7,0.22,13,0.41,-,-,3,0.38,1,0.14,-,-,6,0.86,-,-,-,-
Kyoto,33,0.27,102,,32,0.44,134,1.84,571,7.82,34,0.47,3,0.04,24,0.33,25,0.34,-,-,2,0.03,68,0.93,-,-,6,0.33,-,-,-,-,4,0.57,-,-,-,-
Osaka,123,0.4,786,,150,0.75,649,3.25,1904,9.52,174,0.87,13,0.07,112,0.56,79,0.4,5,0.03,6,0.03,147,0.74,2,0.04,30,0.58,-,-,2,0.12,28,1.65,-,-,6,0.35
Hyogo,95,0.48,461,,54,0.42,321,2.49,1766,13.69,91,0.71,6,0.05,68,0.53,43,0.33,-,-,1,0.01,104,0.81,-,-,24,0.69,-,-,2,0.18,5,0.45,-,-,1,0.09
Nara,15,0.28,170,,25,0.74,72,2.12,277,8.15,9,0.26,2,0.06,23,0.68,13,0.38,-,-,1,0.03,31,0.91,-,-,2,0.22,-,-,-,-,12,2,-,-,6,1
Wakayama,22,0.44,83,,22,0.71,56,1.81,203,6.55,16,0.52,-,-,47,1.52,9,0.29,-,-,-,-,5,0.16,-,-,1,0.25,-,-,-,-,3,0.27,-,-,-,-
Tottori,10,0.34,82,,54,2.84,124,6.53,158,8.32,11,0.58,-,-,28,1.47,10,0.53,1,0.05,-,-,1,0.05,-,-,2,0.67,2,0.4,1,0.2,6,1.2,-,-,-,-
Shimane,6,0.16,73,,25,1.09,89,3.87,160,6.96,10,0.43,2,0.09,4,0.17,10,0.43,-,-,4,0.17,17,0.74,-,-,2,0.67,-,-,1,0.13,6,0.75,-,-,-,-
Okayama,44,0.52,103,,8,0.15,101,1.87,692,12.81,35,0.65,3,0.06,28,0.52,20,0.37,1,0.02,1,0.02,70,1.3,-,-,1,0.08,-,-,1,0.2,7,1.4,-,-,7,1.4
Hiroshima,36,0.31,127,,40,0.56,231,3.21,729,10.13,42,0.58,13,0.18,65,0.9,30,0.42,3,0.04,-,-,67,0.93,1,0.05,19,1,1,0.05,-,-,14,0.67,-,-,2,0.1
Yamaguchi,12,0.17,169,,23,0.48,190,3.96,447,9.31,19,0.4,4,0.08,45,0.94,25,0.52,-,-,6,0.13,24,0.5,-,-,15,1.67,-,-,-,-,3,0.33,-,-,-,-
Tokushima,9,0.24,123,,28,1.22,33,1.43,169,7.35,27,1.17,-,-,11,0.48,14,0.61,-,-,1,0.04,16,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,2,0.04,166,,10,0.36,37,1.32,223,7.96,5,0.18,-,-,10,0.36,8,0.29,1,0.04,-,-,11,0.39,-,-,-,-,-,-,-,-,5,1,-,-,1,0.2
Ehime,9,0.15,228,,22,0.59,149,4.03,642,17.35,20,0.54,5,0.14,29,0.78,18,0.49,-,-,-,-,18,0.49,-,-,12,1.5,-,-,-,-,1,0.17,-,-,-,-
Kochi,4,0.08,21,,10,0.33,73,2.43,246,8.2,6,0.2,-,-,11,0.37,7,0.23,1,0.03,-,-,11,0.37,-,-,1,0.33,-,-,-,-,8,1,4,0.5,1,0.13
Fukuoka,63,0.32,206,,132,1.1,559,4.66,1225,10.21,144,1.2,15,0.13,75,0.63,98,0.82,3,0.03,4,0.03,214,1.78,-,-,48,1.85,-,-,3,0.21,12,0.86,-,-,-,-
Saga,4,0.1,25,,12,0.52,68,2.96,143,6.22,20,0.87,2,0.09,32,1.39,13,0.57,-,-,-,-,88,3.83,-,-,-,-,1,0.17,-,-,4,0.67,-,-,3,0.5
Nagasaki,12,0.17,43,,18,0.41,121,2.75,307,6.98,21,0.48,-,-,34,0.77,14,0.32,-,-,2,0.05,99,2.25,-,-,30,3.75,-,-,-,-,10,0.83,-,-,-,-
Kumamoto,7,0.09,120,,37,0.74,109,2.18,572,11.44,32,0.64,8,0.16,74,1.48,23,0.46,-,-,7,0.14,55,1.1,-,-,25,2.78,-,-,2,0.13,6,0.4,-,-,1,0.07
Oita,33,0.57,17,,22,0.61,185,5.14,888,24.67,40,1.11,1,0.03,70,1.94,27,0.75,-,-,1,0.03,12,0.33,-,-,5,1,-,-,-,-,5,0.45,-,-,-,-
Miyazaki,2,0.03,72,,39,1.08,137,3.81,398,11.06,40,1.11,6,0.17,35,0.97,20,0.56,-,-,-,-,80,2.22,-,-,21,3.5,-,-,-,-,-,-,-,-,-,-
Kagoshima,13,0.14,28,,62,1.13,233,4.24,517,9.4,46,0.84,6,0.11,28,0.51,29,0.53,2,0.04,2,0.04,52,0.95,-,-,12,1.71,-,-,-,-,3,0.25,-,-,-,-
Okinawa,58,1,4,,14,0.41,47,1.38,145,4.26,13,0.38,2,0.06,7,0.21,14,0.41,4,0.12,2,0.06,79,2.32,-,-,4,0.4,-,-,-,-,5,0.71,-,-,-,-
