"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2017",,,,,,"Data collected as of November 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,3,0.04,77,,16,0.36,79,1.76,140,3.11,13,0.29,39,0.87,-,-,24,0.53,2,0.04,3,0.07,13,0.29,-,-,1,0.08,-,-,-,-,2,0.22,-,-,-,-
Shiga,2,0.04,24,,4,0.13,31,0.97,145,4.53,4,0.13,30,0.94,2,0.06,9,0.28,-,-,17,0.53,17,0.53,-,-,1,0.13,-,-,1,0.14,-,-,-,-,-,-
Kyoto,34,0.27,63,,18,0.23,100,1.3,280,3.64,17,0.22,120,1.56,1,0.01,36,0.47,-,-,68,0.88,13,0.17,-,-,4,0.22,-,-,-,-,1,0.14,-,-,1,0.14
Osaka,62,0.2,306,,70,0.35,321,1.61,695,3.48,78,0.39,146,0.73,18,0.09,85,0.43,2,0.01,80,0.4,37,0.19,1,0.02,18,0.35,-,-,1,0.06,6,0.35,-,-,-,-
Hyogo,39,0.2,289,,44,0.34,147,1.15,494,3.86,33,0.26,125,0.98,2,0.02,55,0.43,3,0.02,52,0.41,19,0.15,-,-,10,0.29,-,-,1,0.07,2,0.14,1,0.07,-,-
Nara,3,0.06,47,,15,0.44,66,1.94,91,2.68,12,0.35,93,2.74,2,0.06,17,0.5,-,-,16,0.47,8,0.24,-,-,8,0.8,-,-,1,0.17,-,-,-,-,-,-
Wakayama,1,0.02,57,,17,0.57,33,1.1,59,1.97,3,0.1,15,0.5,4,0.13,14,0.47,-,-,15,0.5,6,0.2,-,-,1,0.25,-,-,-,-,2,0.18,-,-,-,-
Tottori,-,-,35,,12,0.63,95,5,81,4.26,-,-,30,1.58,-,-,13,0.68,1,0.05,7,0.37,4,0.21,-,-,5,1,-,-,-,-,1,0.2,-,-,-,-
Shimane,-,-,78,,4,0.17,42,1.83,111,4.83,1,0.04,39,1.7,1,0.04,9,0.39,-,-,7,0.3,12,0.52,-,-,-,-,-,-,2,0.25,1,0.13,-,-,-,-
Okayama,5,0.06,94,,4,0.07,59,1.09,320,5.93,14,0.26,70,1.3,-,-,18,0.33,-,-,2,0.04,9,0.17,-,-,10,0.83,-,-,-,-,-,-,-,-,-,-
Hiroshima,15,0.13,171,,24,0.33,171,2.38,297,4.13,12,0.17,111,1.54,1,0.01,23,0.32,-,-,19,0.26,16,0.22,-,-,9,0.47,-,-,-,-,2,0.1,1,0.05,-,-
