"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2017",,,,,,"Data collected as of November 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,27834,323.65,1092,20.6,390,7.36,4849,91.49,13075,246.7,727,13.72,6580,124.15,154,2.91,744,14.04,28,0.53,1184,22.34,3944,74.42,12,1.2,154,15.4,3,0.27,2,0.18,174,15.82,-,-,142,12.91
Gifu,22603,262.83,1466,28.19,792,15.23,2108,40.54,7078,136.12,442,8.5,4225,81.25,69,1.33,623,11.98,18,0.35,618,11.88,1427,27.44,-,-,207,18.82,1,0.2,12,2.4,158,31.6,-,-,90,18
Shizuoka,38965,280.32,2947,33.11,1710,19.21,9253,103.97,19801,222.48,888,9.98,8935,100.39,275,3.09,1332,14.97,21,0.24,1192,13.39,1507,16.93,10,0.48,594,28.29,10,1,35,3.5,172,17.2,46,4.6,75,7.5
Aichi,66217,339.57,5058,27.79,2916,16.02,12176,66.9,31594,173.59,2226,12.23,17590,96.65,352,1.93,2679,14.72,42,0.23,2502,13.75,2182,11.99,6,0.17,713,20.37,12,0.8,27,1.8,292,19.47,7,0.47,198,13.2
Mie,19328,268.44,2055,45.67,1369,30.42,2760,61.33,9371,208.24,550,12.22,5248,116.62,106,2.36,952,21.16,22,0.49,1268,28.18,655,14.56,8,0.67,54,4.5,20,2.22,27,3,102,11.33,12,1.33,19,2.11
Shiga,12111,232.9,599,19.32,514,16.58,1466,47.29,6686,215.68,586,18.9,3654,117.87,24,0.77,528,17.03,6,0.19,925,29.84,717,23.13,1,0.13,65,8.13,5,0.71,17,2.43,42,6,1,0.14,16,2.29
Kyoto,27999,225.8,1659,21.83,1453,19.12,4666,61.39,15191,199.88,641,8.43,5750,75.66,74,0.97,1109,14.59,23,0.3,1270,16.71,1121,14.75,6,0.35,273,16.06,3,0.43,5,0.71,59,8.43,-,-,68,9.71
Osaka,67777,220.77,9221,46.34,4431,22.27,17423,87.55,43206,217.12,3038,15.27,21361,107.34,351,1.76,3944,19.82,91,0.46,4593,23.08,4552,22.87,36,0.69,899,17.29,14,0.88,39,2.44,261,16.31,3,0.19,232,14.5
Hyogo,45294,228.76,4602,35.95,3227,25.21,7600,59.38,33760,263.75,1718,13.42,14652,114.47,524,4.09,2151,16.8,43,0.34,3224,25.19,3132,24.47,15,0.43,692,19.77,25,1.92,42,3.23,154,11.85,11,0.85,162,12.46
Nara,10298,190.7,1484,43.65,1014,29.82,2875,84.56,6074,178.65,513,15.09,2973,87.44,93,2.74,709,20.85,9,0.26,617,18.15,790,23.24,2,0.2,246,24.6,17,2.83,27,4.5,111,18.5,1,0.17,52,8.67
Wakayama,8438,172.2,1024,34.13,490,16.33,933,31.1,4964,165.47,376,12.53,2352,78.4,35,1.17,541,18.03,10,0.33,575,19.17,1792,59.73,13,3.25,105,26.25,4,0.4,19,1.9,90,9,6,0.6,70,7
Tottori,6032,208,784,41.26,528,27.79,4389,231,3970,208.95,365,19.21,1915,100.79,31,1.63,325,17.11,24,1.26,592,31.16,834,43.89,2,0.4,208,41.6,9,1.8,25,5,61,12.2,-,-,74,14.8
Shimane,7451,201.38,1021,46.41,345,15.68,2423,110.14,4964,225.64,224,10.18,1729,78.59,218,9.91,591,26.86,13,0.59,433,19.68,1232,56,-,-,7,2.33,2,0.25,19,2.38,62,7.75,-,-,47,5.88
Okayama,22122,263.36,1302,24.11,865,16.02,2395,44.35,13463,249.31,575,10.65,4928,91.26,100,1.85,922,17.07,19,0.35,1063,19.69,746,13.81,10,0.83,375,31.25,2,0.4,4,0.8,50,10,1,0.2,36,7.2
Hiroshima,27312,239.58,2845,40.07,1688,23.77,6723,94.69,14750,207.75,908,12.79,7231,101.85,224,3.15,1162,16.37,46,0.65,1058,14.9,989,13.93,9,0.47,654,34.42,7,0.35,8,0.4,140,7,2,0.1,109,5.45
Yamaguchi,19772,290.76,2351,48.98,967,20.15,4281,89.19,8419,175.4,563,11.73,4607,95.98,138,2.88,1073,22.35,33,0.69,2142,44.63,2704,56.33,-,-,414,46,5,0.56,4,0.44,125,13.89,1,0.11,90,10
Tokushima,8516,230.16,1731,75.26,563,24.48,1779,77.35,5199,226.04,237,10.3,1768,76.87,88,3.83,692,30.09,11,0.48,674,29.3,690,30,1,0.25,37,9.25,-,-,2,0.33,12,2,-,-,12,2
Kagawa,9087,193.34,1097,39.18,578,20.64,2450,87.5,8274,295.5,254,9.07,3066,109.5,66,2.36,587,20.96,17,0.61,748,26.71,1022,36.5,3,0.6,167,33.4,3,0.6,6,1.2,95,19,-,-,154,30.8
Ehime,16567,271.59,2125,57.43,623,16.84,4151,112.19,11741,317.32,452,12.22,4819,130.24,272,7.35,1038,28.05,10,0.27,649,17.54,2443,66.03,1,0.13,735,91.88,4,0.67,1,0.17,74,12.33,-,-,33,5.5
Kochi,14652,305.25,1561,52.03,363,12.1,2166,72.2,4830,161,496,16.53,3180,106,109,3.63,460,15.33,24,0.8,546,18.2,185,6.17,-,-,14,4.67,3,0.38,7,0.88,79,9.88,11,1.38,87,10.88
Fukuoka,72581,366.57,7459,62.16,2725,22.71,17405,145.04,37745,314.54,2515,20.96,12582,104.85,322,2.68,3326,27.72,108,0.9,6771,56.43,3018,25.15,1,0.04,810,31.15,58,3.87,34,2.27,382,25.47,-,-,52,3.47
Saga,12776,336.21,866,39.36,639,29.05,1695,77.05,4191,190.5,404,18.36,3087,140.32,42,1.91,687,31.23,8,0.36,1121,50.95,195,8.86,-,-,101,33.67,6,1,15,2.5,37,6.17,1,0.17,124,20.67
Nagasaki,22733,324.76,2245,51.02,458,10.41,4998,113.59,7304,166,449,10.2,3267,74.25,30,0.68,815,18.52,17,0.39,1143,25.98,862,19.59,10,1.25,92,11.5,2,0.17,38,3.17,109,9.08,-,-,127,10.58
Kumamoto,24268,303.35,3001,60.02,1236,24.72,3990,79.8,15345,306.9,811,16.22,5850,117,99,1.98,1412,28.24,10,0.2,2966,59.32,1148,22.96,5,0.56,564,62.67,16,1.07,37,2.47,99,6.6,-,-,124,8.27
Oita,20243,349.02,1109,30.81,615,17.08,4685,130.14,17084,474.56,650,18.06,4790,133.06,38,1.06,1069,29.69,24,0.67,1848,51.33,1111,30.86,-,-,133,26.6,1,0.09,2,0.18,107,9.73,1,0.09,44,4
Miyazaki,23146,399.07,2115,60.43,1320,37.71,3231,92.31,13377,382.2,807,23.06,5421,154.89,314,8.97,1305,37.29,14,0.4,2189,62.54,449,12.83,5,1,557,111.4,-,-,2,0.29,25,3.57,1,0.14,115,16.43
Kagoshima,27808,302.26,3069,56.83,3102,57.44,4078,75.52,17834,330.26,848,15.7,5320,98.52,93,1.72,950,17.59,17,0.31,2237,41.43,3980,73.7,2,0.29,384,54.86,8,0.67,11,0.92,29,2.42,-,-,109,9.08
Okinawa,28848,506.11,2235,65.74,1189,34.97,1421,41.79,6075,178.68,679,19.97,1741,51.21,54,1.59,468,13.76,109,3.21,373,10.97,196,5.76,10,1.11,873,97,20,2.86,72,10.29,155,22.14,2,0.29,86,12.29
