"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1st week, 2015",,,,,,"Data collected as of January 8, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,2334,44.04,35,,2,0.06,16,0.5,96,3,25,0.78,5,0.16,-,-,7,0.22,-,-,-,-,14,0.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyoto,3205,26.93,23,,9,0.13,19,0.27,120,1.71,16,0.23,6,0.09,2,0.03,7,0.1,-,-,1,0.01,1,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Osaka,5715,18.62,211,,17,0.09,101,0.51,448,2.24,98,0.49,13,0.07,8,0.04,30,0.15,-,-,1,0.01,17,0.09,-,-,5,0.1,-,-,-,-,-,-,-,-,2,0.12
Hyogo,2635,13.38,115,,25,0.2,39,0.31,313,2.46,45,0.35,5,0.04,7,0.06,4,0.03,-,-,1,0.01,8,0.06,-,-,3,0.09,-,-,-,-,1,0.08,-,-,1,0.08
Nara,386,7.15,23,,2,0.06,7,0.21,42,1.24,1,0.03,2,0.06,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0.33
Wakayama,584,11.68,33,,7,0.23,10,0.32,43,1.39,16,0.52,4,0.13,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.09,-,-,-,-
Tottori,838,28.9,17,,7,0.37,30,1.58,51,2.68,6,0.32,-,-,-,-,3,0.16,-,-,1,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shimane,559,14.71,23,,11,0.48,57,2.48,157,6.83,8,0.35,3,0.13,1,0.04,6,0.26,-,-,-,-,3,0.13,-,-,-,-,-,-,-,-,-,-,-,-,1,0.13
Okayama,1727,20.56,16,,7,0.13,28,0.52,445,8.24,23,0.43,12,0.22,1,0.02,12,0.22,-,-,-,-,1,0.02,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Hiroshima,1754,15.25,42,,12,0.17,60,0.83,376,5.22,40,0.56,21,0.29,-,-,11,0.15,-,-,1,0.01,13,0.18,-,-,3,0.16,-,-,2,0.1,-,-,-,-,-,-
Yamaguchi,825,11.96,68,,7,0.15,40,0.83,338,7.04,64,1.33,8,0.17,-,-,13,0.27,-,-,2,0.04,3,0.06,-,-,-,-,-,-,-,-,1,0.11,-,-,-,-
Tokushima,906,23.84,94,,9,0.39,16,0.7,254,11.04,18,0.78,1,0.04,-,-,15,0.65,-,-,-,-,1,0.04,-,-,-,-,-,-,-,-,1,0.14,-,-,1,0.14
Kagawa,1862,38.79,57,,8,0.28,45,1.55,105,3.62,15,0.52,8,0.28,1,0.03,5,0.17,-,-,1,0.03,2,0.07,-,-,-,-,-,-,-,-,5,1,-,-,1,0.2
Ehime,1373,22.51,43,,6,0.16,36,0.97,231,6.24,31,0.84,20,0.54,2,0.05,10,0.27,1,0.03,1,0.03,4,0.11,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-
Kochi,1026,21.38,29,,1,0.03,17,0.57,107,3.57,12,0.4,19,0.63,1,0.03,3,0.1,-,-,-,-,8,0.27,-,-,-,-,-,-,-,-,1,0.13,1,0.13,-,-
Fukuoka,8759,44.24,63,,23,0.19,166,1.38,470,3.92,58,0.48,32,0.27,20,0.17,32,0.27,-,-,1,0.01,33,0.28,-,-,9,0.35,1,0.08,-,-,-,-,-,-,-,-
Saga,654,16.77,13,,7,0.3,11,0.48,42,1.83,13,0.57,11,0.48,1,0.04,3,0.13,-,-,2,0.09,1,0.04,-,-,1,0.25,-,-,-,-,2,0.33,-,-,1,0.17
Nagasaki,2237,31.96,27,,10,0.23,32,0.73,196,4.45,38,0.86,5,0.11,-,-,4,0.09,-,-,-,-,4,0.09,-,-,10,1.25,-,-,-,-,-,-,-,-,11,0.92
Kumamoto,1971,24.64,49,,11,0.22,55,1.1,414,8.28,34,0.68,22,0.44,-,-,17,0.34,-,-,4,0.08,9,0.18,-,-,-,-,-,-,1,0.07,2,0.13,-,-,-,-
Oita,1822,31.41,33,,7,0.19,92,2.56,307,8.53,40,1.11,9,0.25,8,0.22,13,0.36,1,0.03,1,0.03,9,0.25,-,-,9,1.8,-,-,-,-,1,0.09,-,-,-,-
Miyazaki,1504,25.49,17,,13,0.36,23,0.64,256,7.11,28,0.78,2,0.06,-,-,18,0.5,-,-,1,0.03,1,0.03,-,-,6,1,-,-,-,-,-,-,-,-,-,-
Kagoshima,1006,10.82,25,,25,0.45,61,1.11,480,8.73,77,1.4,25,0.45,4,0.07,11,0.2,2,0.04,-,-,7,0.13,-,-,-,-,-,-,-,-,-,-,-,-,2,0.17
Okinawa,2827,48.74,3,,9,0.26,34,1,83,2.44,75,2.21,29,0.85,5,0.15,8,0.24,1,0.03,1,0.03,59,1.74,-,-,4,0.4,3,0.43,-,-,2,0.29,-,-,-,-
