"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27th week, 2018",,,,,,"Data collected as of July 11, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,428,0.09,1467,0.46,2037,0.64,7300,2.31,15824,5,1221,0.39,5336,1.69,1028,0.33,1724,0.55,4653,1.47,642,0.2,14,0.02,646,0.93,5,0.01,10,0.02,104,0.22,5,0.01,8,0.02
Hokkaido,4,0.02,73,0.52,120,0.85,468,3.32,455,3.23,49,0.35,156,1.11,8,0.06,49,0.35,17,0.12,12,0.09,2,0.07,23,0.82,-,-,-,-,12,0.52,-,-,2,0.09
Aomori,1,0.02,26,0.62,17,0.4,51,1.21,191,4.55,10,0.24,30,0.71,1,0.02,12,0.29,13,0.31,26,0.62,-,-,6,0.55,-,-,-,-,9,1.5,-,-,-,-
Iwate,-,-,13,0.33,23,0.58,111,2.78,172,4.3,8,0.2,22,0.55,32,0.8,22,0.55,2,0.05,8,0.2,-,-,13,0.93,-,-,-,-,4,0.21,-,-,1,0.05
Miyagi,7,0.07,42,0.71,45,0.76,144,2.44,359,6.08,24,0.41,82,1.39,33,0.56,37,0.63,53,0.9,11,0.19,-,-,4,0.33,-,-,-,-,1,0.08,-,-,-,-
Akita,-,-,2,0.06,20,0.57,30,0.86,95,2.71,7,0.2,3,0.09,2,0.06,8,0.23,16,0.46,2,0.06,1,0.14,2,0.29,-,-,-,-,15,1.88,-,-,2,0.25
Yamagata,-,-,2,0.07,16,0.53,62,2.07,123,4.1,9,0.3,84,2.8,16,0.53,23,0.77,82,2.73,3,0.1,-,-,-,-,-,-,-,-,2,0.2,-,-,-,-
Fukushima,49,0.59,68,1.36,43,0.86,95,1.9,200,4,24,0.48,11,0.22,4,0.08,39,0.78,51,1.02,7,0.14,-,-,22,1.69,-,-,-,-,-,-,-,-,-,-
Ibaraki,22,0.18,8,0.11,57,0.76,144,1.92,381,5.08,23,0.31,38,0.51,16,0.21,26,0.35,92,1.23,6,0.08,-,-,26,1.53,-,-,-,-,-,-,-,-,-,-
Tochigi,6,0.08,14,0.29,12,0.25,81,1.69,90,1.88,23,0.48,10,0.21,21,0.44,27,0.56,59,1.23,9,0.19,-,-,3,0.25,-,-,1,0.14,1,0.14,-,-,-,-
Gunma,-,-,8,0.15,28,0.52,131,2.43,285,5.28,13,0.24,176,3.26,5,0.09,30,0.56,64,1.19,13,0.24,-,-,14,0.93,-,-,-,-,-,-,-,-,1,0.11
Saitama,3,0.01,62,0.38,187,1.15,587,3.62,1090,6.73,118,0.73,184,1.14,61,0.38,118,0.73,287,1.77,29,0.18,4,0.1,56,1.37,-,-,1,0.09,-,-,-,-,-,-
Chiba,24,0.11,41,0.31,136,1.01,410,3.06,587,4.38,84,0.63,135,1.01,51,0.38,72,0.54,273,2.04,28,0.21,1,0.03,28,0.8,-,-,1,0.11,-,-,-,-,-,-
Tokyo,28,0.07,90,0.34,170,0.65,688,2.62,1467,5.58,98,0.37,240,0.91,289,1.1,180,0.68,500,1.9,33,0.13,-,-,28,0.74,-,-,-,-,8,0.32,1,0.04,1,0.04
Kanagawa,6,0.02,90,0.42,152,0.7,475,2.2,994,4.6,135,0.63,146,0.68,266,1.23,134,0.62,223,1.03,39,0.18,1,0.02,107,2.14,-,-,1,0.09,3,0.27,-,-,-,-
Niigata,-,-,58,1.02,117,2.05,146,2.56,239,4.19,19,0.33,55,0.96,22,0.39,26,0.46,438,7.68,12,0.21,1,0.1,14,1.4,-,-,-,-,3,0.23,-,-,-,-
Toyama,2,0.04,11,0.38,16,0.55,35,1.21,126,4.34,7,0.24,1,0.03,4,0.14,10,0.34,7,0.24,2,0.07,-,-,1,0.14,-,-,-,-,1,0.2,1,0.2,-,-
Ishikawa,2,0.04,19,0.66,18,0.62,103,3.55,149,5.14,8,0.28,8,0.28,6,0.21,18,0.62,11,0.38,2,0.07,-,-,-,-,-,-,-,-,2,0.4,-,-,-,-
Fukui,-,-,7,0.32,16,0.73,61,2.77,132,6,12,0.55,15,0.68,1,0.05,18,0.82,14,0.64,13,0.59,-,-,-,-,1,0.17,-,-,2,0.33,1,0.17,-,-
Yamanashi,-,-,1,0.04,16,0.67,31,1.29,94,3.92,3,0.13,27,1.13,5,0.21,10,0.42,20,0.83,2,0.08,2,0.22,16,1.78,-,-,-,-,1,0.1,2,0.2,-,-
Nagano,3,0.03,5,0.09,26,0.48,157,2.91,286,5.3,8,0.15,20,0.37,10,0.19,21,0.39,57,1.06,19,0.35,-,-,11,1,-,-,-,-,1,0.09,-,-,-,-
Gifu,2,0.02,7,0.13,16,0.3,62,1.17,179,3.38,10,0.19,10,0.19,2,0.04,18,0.34,24,0.45,6,0.11,-,-,1,0.09,-,-,-,-,-,-,-,-,-,-
Shizuoka,1,0.01,31,0.35,43,0.48,157,1.76,395,4.44,25,0.28,112,1.26,36,0.4,43,0.48,352,3.96,30,0.34,-,-,5,0.23,-,-,1,0.1,2,0.2,-,-,-,-
Aichi,5,0.03,39,0.21,69,0.38,372,2.04,757,4.16,83,0.46,137,0.75,15,0.08,85,0.47,223,1.23,29,0.16,-,-,32,0.91,-,-,-,-,4,0.27,-,-,-,-
Mie,8,0.11,27,0.6,27,0.6,82,1.82,219,4.87,9,0.2,31,0.69,3,0.07,20,0.44,124,2.76,4,0.09,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Shiga,2,0.04,1,0.03,17,0.53,37,1.16,172,5.38,9,0.28,70,2.19,6,0.19,12,0.38,48,1.5,12,0.38,-,-,4,0.5,-,-,-,-,-,-,-,-,-,-
Kyoto,-,-,9,0.12,26,0.34,161,2.09,372,4.83,23,0.3,124,1.61,6,0.08,37,0.48,98,1.27,4,0.05,-,-,4,0.22,-,-,-,-,2,0.29,-,-,-,-
Osaka,5,0.02,122,0.61,108,0.54,502,2.52,984,4.94,73,0.37,201,1.01,36,0.18,110,0.55,189,0.95,27,0.14,2,0.04,38,0.73,-,-,-,-,5,0.29,-,-,-,-
Hyogo,-,-,36,0.28,70,0.54,187,1.45,747,5.79,65,0.5,107,0.83,10,0.08,49,0.38,113,0.88,15,0.12,-,-,24,0.71,-,-,2,0.14,1,0.07,-,-,-,-
Nara,-,-,5,0.15,14,0.41,69,2.03,147,4.32,14,0.41,28,0.82,9,0.26,18,0.53,59,1.74,3,0.09,-,-,4,0.4,-,-,1,0.17,1,0.17,-,-,-,-
Wakayama,-,-,9,0.3,19,0.63,26,0.87,77,2.57,10,0.33,11,0.37,10,0.33,14,0.47,41,1.37,3,0.1,-,-,-,-,-,-,1,0.09,6,0.55,-,-,-,-
Tottori,1,0.03,7,0.37,13,0.68,91,4.79,191,10.05,2,0.11,5,0.26,1,0.05,8,0.42,15,0.79,3,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shimane,-,-,5,0.22,5,0.22,40,1.74,101,4.39,2,0.09,16,0.7,-,-,19,0.83,32,1.39,2,0.09,-,-,-,-,-,-,1,0.13,-,-,-,-,-,-
Okayama,-,-,2,0.04,16,0.3,68,1.26,350,6.48,9,0.17,17,0.31,10,0.19,30,0.56,33,0.61,12,0.22,-,-,6,0.5,-,-,-,-,-,-,-,-,-,-
Hiroshima,-,-,30,0.42,51,0.72,135,1.9,278,3.92,18,0.25,176,2.48,2,0.03,21,0.3,151,2.13,17,0.24,-,-,21,1.11,-,-,-,-,2,0.1,-,-,-,-
Yamaguchi,43,0.64,76,1.62,11,0.23,134,2.85,177,3.77,16,0.34,261,5.55,1,0.02,21,0.45,139,2.96,1,0.02,-,-,2,0.22,-,-,-,-,-,-,-,-,-,-
Tokushima,-,-,23,1,12,0.52,45,1.96,146,6.35,8,0.35,87,3.78,4,0.17,11,0.48,23,1,-,-,-,-,1,0.25,-,-,-,-,1,0.14,-,-,-,-
Kagawa,-,-,7,0.25,15,0.54,59,2.11,232,8.29,4,0.14,18,0.64,1,0.04,13,0.46,97,3.46,15,0.54,-,-,1,0.2,-,-,-,-,-,-,-,-,-,-
