"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2018",,,,,,"Data collected as of August 22, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,50226,363.96,1043,11.72,989,11.11,5099,57.29,13712,154.07,563,6.33,1057,11.88,420,4.72,1026,11.53,3780,42.47,817,9.18,7,0.32,390,17.73,5,0.56,24,2.67,33,3.67,4,0.44,17,1.89
Aichi,79608,408.25,2021,11.1,1598,8.78,10541,57.92,26313,144.58,1670,9.18,1647,9.05,334,1.84,2083,11.45,3813,20.95,720,3.96,4,0.11,607,17.34,8,0.53,13,0.87,97,6.47,2,0.13,143,9.53
Mie,26708,376.17,978,22.23,804,18.27,3289,74.75,7786,176.95,359,8.16,441,10.02,49,1.11,705,16.02,1380,31.36,170,3.86,5,0.42,41,3.42,6,0.67,13,1.44,30,3.33,2,0.22,15,1.67
Shiga,17544,337.38,194,6.26,364,11.74,1281,41.32,4449,143.52,374,12.06,796,25.68,52,1.68,351,11.32,827,26.68,259,8.35,1,0.13,116,14.5,3,0.43,9,1.29,10,1.43,-,-,11,1.57
Kyoto,39711,317.69,603,7.93,727,9.57,3663,48.2,12122,159.5,507,6.67,1254,16.5,97,1.28,810,10.66,1037,13.64,185,2.43,3,0.18,198,11.65,4,0.57,2,0.29,29,4.14,-,-,52,7.43
Osaka,88642,291.59,4410,22.27,3043,15.37,13751,69.45,36618,184.94,2347,11.85,2281,11.52,609,3.08,2983,15.07,3007,15.19,856,4.32,28,0.55,679,13.31,14,0.82,15,0.88,77,4.53,2,0.12,178,10.47
Hyogo,65055,328.56,1780,13.91,1878,14.67,5930,46.33,25314,197.77,1358,10.61,1392,10.88,141,1.1,1579,12.34,1756,13.72,447,3.49,30,0.88,637,18.74,21,1.62,23,1.77,52,4,2,0.15,107,8.23
Nara,15652,289.85,385,11.32,417,12.26,2080,61.18,5920,174.12,314,9.24,473,13.91,190,5.59,453,13.32,687,20.21,77,2.26,1,0.1,144,14.4,11,1.83,6,1,26,4.33,-,-,54,9
Wakayama,14524,302.58,481,16.03,377,12.57,999,33.3,3259,108.63,266,8.87,159,5.3,69,2.3,405,13.5,531,17.7,114,3.8,56,18.67,28,9.33,4,0.36,7,0.64,37,3.36,4,0.36,50,4.55
Tottori,10891,375.55,203,10.68,328,17.26,3159,166.26,4781,251.63,113,5.95,105,5.53,19,1,288,15.16,256,13.47,42,2.21,3,0.6,29,5.8,6,1.2,13,2.6,12,2.4,1,0.2,52,10.4
Shimane,10024,263.79,346,15.04,211,9.17,1724,74.96,4657,202.48,121,5.26,388,16.87,13,0.57,426,18.52,302,13.13,146,6.35,-,-,7,2.33,10,1.25,46,5.75,11,1.38,-,-,78,9.75
