"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2015",,,,,,"Data collected as of September 16, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,32,0.16,38,,41,0.23,226,1.25,451,2.49,40,0.22,756,4.18,101,0.56,76,0.42,3,0.02,117,0.65,62,0.34,-,-,18,0.53,-,-,-,-,8,0.57,-,-,1,0.07
Mie,-,-,39,,11,0.24,25,0.56,122,2.71,11,0.24,155,3.44,13,0.29,28,0.62,2,0.04,45,1,2,0.04,-,-,1,0.08,1,0.11,3,0.33,4,0.44,-,-,-,-
Shiga,-,-,13,,15,0.47,25,0.78,133,4.16,13,0.41,105,3.28,24,0.75,11,0.34,-,-,32,1,11,0.34,-,-,5,0.63,-,-,-,-,1,0.14,-,-,-,-
Kyoto,4,0.03,28,,12,0.16,77,1.04,231,3.12,14,0.19,77,1.04,24,0.32,20,0.27,-,-,33,0.45,48,0.65,-,-,8,0.5,-,-,1,0.14,2,0.29,-,-,-,-
Osaka,6,0.02,162,,99,0.5,266,1.33,750,3.75,66,0.33,624,3.12,87,0.44,112,0.56,5,0.03,150,0.75,66,0.33,-,-,35,0.67,-,-,4,0.24,20,1.18,-,-,-,-
Hyogo,-,-,48,,56,0.43,187,1.45,563,4.36,31,0.24,615,4.77,49,0.38,60,0.47,7,0.05,127,0.98,41,0.32,-,-,56,1.6,-,-,-,-,3,0.27,-,-,-,-
Nara,2,0.04,22,,22,0.65,31,0.91,59,1.74,8,0.24,32,0.94,16,0.47,14,0.41,1,0.03,12,0.35,8,0.24,-,-,1,0.11,-,-,-,-,3,0.5,-,-,-,-
Wakayama,-,-,10,,24,0.77,9,0.29,41,1.32,6,0.19,129,4.16,26,0.84,19,0.61,-,-,34,1.1,1,0.03,-,-,4,1,-,-,-,-,2,0.18,-,-,-,-
Tottori,-,-,18,,11,0.58,71,3.74,107,5.63,3,0.16,17,0.89,1,0.05,11,0.58,-,-,16,0.84,5,0.26,-,-,20,6.67,-,-,1,0.2,2,0.4,-,-,-,-
Shimane,1,0.03,74,,10,0.43,54,2.35,124,5.39,1,0.04,42,1.83,5,0.22,21,0.91,-,-,12,0.52,3,0.13,-,-,-,-,-,-,1,0.13,1,0.13,-,-,-,-
Okayama,-,-,39,,13,0.24,24,0.44,228,4.22,22,0.41,177,3.28,25,0.46,22,0.41,-,-,38,0.7,22,0.41,-,-,10,0.83,-,-,-,-,-,-,-,-,-,-
Hiroshima,10,0.09,123,,18,0.25,109,1.51,279,3.88,14,0.19,371,5.15,17,0.24,35,0.49,4,0.06,75,1.04,92,1.28,-,-,33,1.74,-,-,1,0.05,5,0.24,-,-,-,-
Yamaguchi,-,-,81,,15,0.32,129,2.74,152,3.23,10,0.21,224,4.77,18,0.38,29,0.62,1,0.02,61,1.3,10,0.21,-,-,8,0.89,-,-,-,-,2,0.22,-,-,-,-
Tokushima,2,0.05,52,,6,0.26,16,0.7,104,4.52,5,0.22,140,6.09,3,0.13,15,0.65,-,-,31,1.35,8,0.35,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Kagawa,-,-,5,,13,0.46,24,0.86,72,2.57,3,0.11,196,7,17,0.61,22,0.79,-,-,27,0.96,10,0.36,-,-,3,0.6,-,-,-,-,7,1.4,-,-,-,-
Ehime,14,0.23,41,,2,0.05,79,2.14,147,3.97,9,0.24,157,4.24,9,0.24,38,1.03,1,0.03,30,0.81,10,0.27,-,-,18,2.25,-,-,-,-,-,-,-,-,-,-
Kochi,-,-,45,,2,0.07,39,1.3,50,1.67,10,0.33,147,4.9,6,0.2,13,0.43,1,0.03,49,1.63,6,0.2,-,-,-,-,-,-,-,-,13,1.63,1,0.13,-,-
Fukuoka,27,0.14,304,,88,0.73,299,2.49,482,4.02,27,0.23,562,4.68,96,0.8,103,0.86,1,0.01,90,0.75,140,1.17,1,0.04,74,2.85,-,-,1,0.07,9,0.6,-,-,-,-
Saga,-,-,28,,8,0.35,9,0.39,39,1.7,9,0.39,127,5.52,16,0.7,12,0.52,-,-,31,1.35,63,2.74,-,-,5,1.25,-,-,3,0.5,7,1.17,-,-,-,-
Nagasaki,16,0.23,59,,8,0.18,74,1.68,53,1.2,11,0.25,103,2.34,47,1.07,20,0.45,-,-,31,0.7,59,1.34,-,-,28,3.5,-,-,2,0.17,3,0.25,-,-,-,-
Kumamoto,-,-,50,,7,0.14,57,1.14,333,6.66,3,0.06,187,3.74,39,0.78,47,0.94,2,0.04,70,1.4,37,0.74,-,-,67,7.44,-,-,3,0.2,5,0.33,-,-,-,-
Oita,2,0.03,109,,13,0.36,67,1.86,285,7.92,14,0.39,321,8.92,98,2.72,38,1.06,1,0.03,67,1.86,26,0.72,-,-,3,0.6,-,-,-,-,5,0.45,-,-,-,-
Miyazaki,1,0.02,125,,16,0.44,58,1.61,246,6.83,15,0.42,173,4.81,22,0.61,51,1.42,-,-,31,0.86,18,0.5,-,-,17,2.83,-,-,-,-,2,0.29,-,-,-,-
Kagoshima,3,0.03,79,,50,0.91,99,1.8,316,5.75,13,0.24,128,2.33,89,1.62,27,0.49,4,0.07,10,0.18,18,0.33,-,-,20,2.86,-,-,-,-,4,0.33,-,-,-,-
Okinawa,137,2.36,19,,35,1.03,26,0.76,110,3.24,9,0.26,22,0.65,11,0.32,14,0.41,2,0.06,13,0.38,87,2.56,-,-,12,1.2,1,0.14,1,0.14,4,0.57,-,-,-,-
