"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7th week, 2016",,,,,,"Data collected as of February 24, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,184176,37.16,1171,,1145,0.36,10343,3.27,21043,6.66,1251,0.4,76,0.02,1387,0.44,1172,0.37,36,0.01,24,0.01,2681,0.85,4,0.01,415,0.6,11,0.02,10,0.02,248,0.52,6,0.01,205,0.43
Hokkaido,7981,35.31,46,,46,0.32,862,6.07,387,2.73,47,0.33,9,0.06,97,0.68,42,0.3,2,0.01,1,0.01,231,1.63,-,-,9,0.32,-,-,-,-,5,0.22,-,-,10,0.43
Aomori,1220,18.77,1,,16,0.38,67,1.6,142,3.38,5,0.12,2,0.05,7,0.17,11,0.26,-,-,-,-,35,0.83,-,-,9,0.82,1,0.17,1,0.17,6,1,-,-,8,1.33
Iwate,1905,29.31,13,,5,0.13,210,5.25,282,7.05,3,0.08,-,-,14,0.35,12,0.3,-,-,-,-,7,0.18,1,0.07,3,0.21,-,-,1,0.05,8,0.42,-,-,2,0.11
Miyagi,2536,26.69,5,,16,0.27,442,7.49,418,7.08,24,0.41,-,-,5,0.08,33,0.56,-,-,-,-,20,0.34,-,-,-,-,-,-,-,-,5,0.42,-,-,2,0.17
Akita,796,14.74,3,,8,0.23,56,1.6,167,4.77,12,0.34,2,0.06,75,2.14,6,0.17,-,-,1,0.03,8,0.23,-,-,1,0.14,-,-,-,-,8,1,-,-,10,1.25
Yamagata,1233,25.69,-,,20,0.67,237,7.9,260,8.67,10,0.33,-,-,65,2.17,20,0.67,1,0.03,-,-,46,1.53,-,-,-,-,-,-,-,-,5,0.5,-,-,-,-
Fukushima,2457,31.91,11,,13,0.28,117,2.54,196,4.26,25,0.54,2,0.04,25,0.54,26,0.57,1,0.02,-,-,5,0.11,-,-,11,0.92,-,-,-,-,1,0.14,-,-,2,0.29
Ibaraki,3698,30.82,14,,20,0.27,143,1.91,611,8.15,21,0.28,3,0.04,15,0.2,15,0.2,-,-,1,0.01,72,0.96,-,-,19,1.12,-,-,-,-,8,0.62,-,-,-,-
Tochigi,2453,32.28,6,,1,0.02,83,1.73,182,3.79,10,0.21,-,-,23,0.48,16,0.33,1,0.02,-,-,41,0.85,-,-,7,0.58,-,-,1,0.14,4,0.57,-,-,-,-
Gunma,3697,38.92,8,,18,0.31,233,4.02,304,5.24,20,0.34,1,0.02,17,0.29,17,0.29,-,-,2,0.03,17,0.29,-,-,9,0.64,-,-,-,-,8,1,-,-,2,0.25
