"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42th week, 2014",,,,,,"Data collected as of October 22, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,213,0.04,2590,,791,0.25,3736,1.19,9362,2.98,1991,0.63,1843,0.59,454,0.14,1676,0.53,34,0.01,713,0.23,882,0.28,6,0.01,354,0.52,12,0.03,8,0.02,138,0.29,5,0.01,6,0.01
Hokkaido,3,0.01,62,,97,0.68,334,2.34,218,1.52,146,1.02,95,0.66,21,0.15,51,0.36,1,0.01,66,0.46,19,0.13,-,-,11,0.39,-,-,-,-,10,0.43,-,-,-,-
Aomori,-,-,22,,17,0.4,20,0.48,63,1.5,36,0.86,9,0.21,8,0.19,17,0.4,-,-,5,0.12,1,0.02,-,-,3,0.27,-,-,-,-,9,1.5,-,-,-,-
Iwate,-,-,26,,3,0.08,69,1.73,88,2.2,31,0.78,25,0.63,9,0.23,21,0.53,-,-,-,-,4,0.1,-,-,4,0.29,-,-,-,-,9,0.47,-,-,-,-
Miyagi,4,0.04,13,,7,0.12,77,1.33,122,2.1,52,0.9,16,0.28,41,0.71,33,0.57,-,-,25,0.43,14,0.24,-,-,4,0.33,-,-,-,-,11,0.92,-,-,-,-
Akita,-,-,16,,3,0.09,18,0.51,63,1.8,22,0.63,1,0.03,-,-,6,0.17,-,-,8,0.23,13,0.37,-,-,-,-,-,-,-,-,2,0.25,-,-,-,-
Yamagata,-,-,72,,13,0.43,30,1,117,3.9,32,1.07,79,2.63,2,0.07,17,0.57,-,-,5,0.17,23,0.77,-,-,4,0.5,-,-,-,-,-,-,-,-,-,-
Fukushima,-,-,28,,17,0.38,49,1.09,81,1.8,46,1.02,33,0.73,10,0.22,25,0.56,3,0.07,28,0.62,55,1.22,-,-,7,0.58,-,-,-,-,6,0.86,-,-,1,0.14
Ibaraki,-,-,19,,6,0.08,65,0.87,256,3.41,21,0.28,54,0.72,9,0.12,29,0.39,-,-,8,0.11,10,0.13,-,-,15,0.88,-,-,-,-,1,0.08,-,-,-,-
Tochigi,1,0.01,13,,4,0.08,21,0.44,50,1.04,14,0.29,17,0.35,6,0.13,18,0.38,-,-,3,0.06,6,0.13,-,-,5,0.42,-,-,-,-,3,0.43,-,-,1,0.14
Gunma,2,0.02,15,,32,0.53,81,1.35,166,2.77,35,0.58,14,0.23,4,0.07,31,0.52,-,-,15,0.25,8,0.13,-,-,27,2.08,-,-,-,-,4,0.5,-,-,1,0.13
Saitama,4,0.02,93,,34,0.22,209,1.33,518,3.3,127,0.81,140,0.89,33,0.21,94,0.6,1,0.01,30,0.19,58,0.37,2,0.05,14,0.33,-,-,-,-,2,0.2,2,0.2,-,-
Chiba,15,0.07,83,,13,0.1,153,1.15,388,2.92,67,0.5,143,1.08,24,0.18,61,0.46,1,0.01,31,0.23,58,0.44,-,-,10,0.29,-,-,-,-,3,0.33,1,0.11,-,-
Tokyo,30,0.07,182,,72,0.28,369,1.43,842,3.26,119,0.46,152,0.59,66,0.26,159,0.62,-,-,60,0.23,41,0.16,-,-,21,0.54,2,0.08,2,0.08,11,0.44,-,-,-,-
