"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47th week, 2017",,,,,,"Data collected as of November 29, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,28124,327.02,1340,25.28,480,9.06,5373,101.38,13980,263.77,822,15.51,6962,131.36,159,3,799,15.08,29,0.55,1219,23,4095,77.26,13,1.3,161,16.1,3,0.27,2,0.18,195,17.73,-,-,144,13.09
Gifu,22757,264.62,1610,30.96,853,16.4,2307,44.37,7662,147.35,506,9.73,4439,85.37,71,1.37,693,13.33,18,0.35,663,12.75,1473,28.33,-,-,217,19.73,1,0.2,16,3.2,176,35.2,-,-,90,18
Shizuoka,39452,283.83,3199,35.94,1899,21.34,10057,113,21049,236.51,988,11.1,9208,103.46,290,3.26,1438,16.16,22,0.25,1212,13.62,1647,18.51,10,0.48,681,32.43,13,1.3,36,3.6,190,19,48,4.8,75,7.5
Aichi,66545,341.26,5700,31.32,3318,18.23,13345,73.32,34004,186.84,2447,13.45,18276,100.42,383,2.1,2894,15.9,49,0.27,2548,14,2336,12.84,6,0.17,779,22.26,12,0.8,27,1.8,333,22.2,7,0.47,200,13.33
Mie,19470,270.42,2303,51.18,1467,32.6,3121,69.36,10020,222.67,678,15.07,5379,119.53,106,2.36,1007,22.38,23,0.51,1270,28.22,704,15.64,8,0.67,60,5,22,2.44,28,3.11,110,12.22,12,1.33,19,2.11
Shiga,12173,234.1,688,22.19,531,17.13,1606,51.81,7461,240.68,654,21.1,3757,121.19,24,0.77,563,18.16,6,0.19,989,31.9,773,24.94,1,0.13,74,9.25,5,0.71,20,2.86,42,6,1,0.14,16,2.29
Kyoto,28180,227.26,1881,24.75,1513,19.91,5152,67.79,16397,215.75,774,10.18,6002,78.97,77,1.01,1203,15.83,24,0.32,1415,18.62,1185,15.59,7,0.41,288,16.94,3,0.43,6,0.86,60,8.57,-,-,69,9.86
Osaka,68344,222.62,10210,51.31,4755,23.89,19066,95.81,46539,233.86,3430,17.24,21857,109.83,421,2.12,4245,21.33,99,0.5,4812,24.18,4773,23.98,40,0.77,980,18.85,16,1,40,2.5,280,17.5,3,0.19,235,14.69
Hyogo,45840,231.52,5431,42.43,3380,26.41,8446,65.98,36269,283.35,1950,15.23,14948,116.78,536,4.19,2331,18.21,43,0.34,3290,25.7,3264,25.5,16,0.46,750,21.43,30,2.31,49,3.77,161,12.38,11,0.85,163,12.54
Nara,10433,193.2,1787,52.56,1069,31.44,3138,92.29,6476,190.47,644,18.94,3193,93.91,102,3,767,22.56,11,0.32,659,19.38,811,23.85,2,0.2,266,26.6,18,3,28,4.67,123,20.5,1,0.17,52,8.67
Wakayama,8577,175.04,1183,39.43,539,17.97,1095,36.5,5263,175.43,393,13.1,2400,80,38,1.27,581,19.37,11,0.37,623,20.77,1826,60.87,14,3.5,109,27.25,4,0.4,22,2.2,103,10.3,6,0.6,71,7.1
Tottori,6056,208.83,859,45.21,584,30.74,4753,250.16,4383,230.68,380,20,1992,104.84,31,1.63,363,19.11,27,1.42,606,31.89,858,45.16,2,0.4,244,48.8,10,2,27,5.4,66,13.2,-,-,74,14.8
Shimane,7473,201.97,1110,50.45,363,16.5,2588,117.64,5367,243.95,246,11.18,1829,83.14,221,10.05,634,28.82,13,0.59,444,20.18,1265,57.5,-,-,9,3,3,0.38,19,2.38,64,8,2,0.25,47,5.88
Okayama,22200,264.29,1542,28.56,908,16.81,2686,49.74,14751,273.17,629,11.65,5179,95.91,112,2.07,991,18.35,19,0.35,1082,20.04,770,14.26,10,0.83,404,33.67,2,0.4,4,0.8,61,12.2,1,0.2,36,7.2
Hiroshima,27691,242.9,3248,45.75,1788,25.18,7383,103.99,15991,225.23,1033,14.55,7554,106.39,230,3.24,1252,17.63,49,0.69,1108,15.61,1052,14.82,9,0.47,718,37.79,7,0.35,11,0.55,157,7.85,2,0.1,110,5.5
Yamaguchi,19835,291.69,2601,54.19,1008,21,4779,99.56,9147,190.56,620,12.92,4777,99.52,139,2.9,1166,24.29,33,0.69,2152,44.83,2767,57.65,-,-,467,51.89,6,0.67,4,0.44,134,14.89,1,0.11,90,10
