"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20th week, 2013",,,,,,"Data collected as of May 22, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,9221,1.87,358,,1561,0.49,7512,2.38,27285,8.65,4354,1.38,1568,0.5,257,0.08,2002,0.63,42,0.01,355,0.11,935,0.3,22,0.03,441,0.65,9,0.02,11,0.02,229,0.49,17,0.04
Hokkaido,440,1.94,42,,97,0.68,490,3.43,946,6.62,195,1.36,5,0.03,2,0.01,41,0.29,-,-,1,0.01,16,0.11,-,-,12,0.41,1,0.04,-,-,9,0.39,-,-
Aomori,230,3.59,1,,6,0.15,39,0.95,147,3.59,26,0.63,5,0.12,1,0.02,23,0.56,-,-,1,0.02,10,0.24,-,-,2,0.18,-,-,-,-,5,0.83,-,-
Iwate,109,1.7,-,,16,0.4,75,1.88,262,6.55,49,1.23,-,-,10,0.25,23,0.58,1,0.03,-,-,17,0.43,-,-,9,0.64,-,-,-,-,28,1.47,-,-
Miyagi,116,1.25,5,,21,0.36,148,2.55,693,11.95,104,1.79,9,0.16,15,0.26,34,0.59,1,0.02,3,0.05,23,0.4,5,0.42,4,0.33,-,-,-,-,19,1.58,-,-
Akita,100,1.82,5,,7,0.2,38,1.09,250,7.14,23,0.66,-,-,3,0.09,18,0.51,-,-,-,-,51,1.46,1,0.14,5,0.71,-,-,-,-,1,0.13,-,-
Yamagata,109,2.27,2,,18,0.6,108,3.6,438,14.6,50,1.67,8,0.27,1,0.03,21,0.7,-,-,1,0.03,23,0.77,-,-,-,-,-,-,-,-,4,0.4,-,-
Fukushima,169,2.22,21,,17,0.38,125,2.78,353,7.84,71,1.58,4,0.09,2,0.04,27,0.6,-,-,1,0.02,21,0.47,-,-,8,0.67,-,-,-,-,5,0.71,2,0.29
Ibaraki,24,0.2,5,,24,0.32,177,2.36,524,6.99,68,0.91,9,0.12,5,0.07,25,0.33,-,-,2,0.03,11,0.15,-,-,27,1.59,2,0.15,-,-,4,0.31,-,-
