"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2018",,,,,,"Data collected as of June 6, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,24,0.33,15,0.33,41,0.91,125,2.78,310,6.89,7,0.16,5,0.11,1,0.02,32,0.71,8,0.18,7,0.16,-,-,2,0.17,1,0.11,-,-,-,-,-,-,-,-
Shiga,6,0.11,1,0.03,17,0.53,64,2,193,6.03,16,0.5,29,0.91,-,-,13,0.41,2,0.06,6,0.19,-,-,3,0.38,2,0.29,-,-,-,-,-,-,-,-
Kyoto,7,0.06,18,0.24,49,0.64,145,1.91,599,7.88,1009,13.28,22,0.29,3,0.04,32,0.42,31,0.41,11,0.14,-,-,6,0.33,-,-,-,-,-,-,-,-,4,0.57
Osaka,11,0.04,37,0.19,214,1.09,647,3.28,1589,8.07,105,0.53,55,0.28,29,0.15,113,0.57,15,0.08,31,0.16,-,-,28,0.54,1,0.06,1,0.06,2,0.12,-,-,4,0.24
Hyogo,17,0.09,14,0.11,109,0.85,232,1.81,1098,8.58,33,0.26,27,0.21,2,0.02,66,0.52,8,0.06,14,0.11,2,0.06,35,1,2,0.14,-,-,2,0.14,-,-,2,0.14
Nara,-,-,1,0.03,26,0.76,85,2.5,326,9.59,10,0.29,7,0.21,9,0.26,12,0.35,17,0.5,1,0.03,-,-,5,0.5,-,-,-,-,-,-,-,-,1,0.17
Wakayama,1,0.02,4,0.13,25,0.83,64,2.13,123,4.1,8,0.27,-,-,2,0.07,14,0.47,16,0.53,3,0.1,3,0.75,-,-,-,-,-,-,-,-,-,-,2,0.18
Tottori,15,0.52,3,0.16,31,1.63,112,5.89,251,13.21,4,0.21,2,0.11,-,-,12,0.63,2,0.11,2,0.11,-,-,4,0.8,-,-,-,-,-,-,-,-,1,0.2
Shimane,31,0.82,8,0.35,7,0.3,41,1.78,150,6.52,7,0.3,16,0.7,-,-,23,1,8,0.35,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,4,0.5
Okayama,9,0.11,4,0.07,30,0.56,124,2.3,546,10.11,13,0.24,19,0.35,10,0.19,31,0.57,10,0.19,3,0.06,1,0.08,19,1.58,-,-,-,-,1,0.2,-,-,2,0.4
Hiroshima,21,0.18,15,0.21,61,0.85,180,2.5,500,6.94,22,0.31,75,1.04,3,0.04,22,0.31,45,0.63,7,0.1,-,-,23,1.21,-,-,-,-,1,0.05,-,-,2,0.1
Yamaguchi,1,0.01,24,0.51,22,0.47,181,3.85,326,6.94,14,0.3,100,2.13,-,-,34,0.72,36,0.77,4,0.09,-,-,4,0.44,-,-,-,-,3,0.33,-,-,-,-
Tokushima,14,0.38,4,0.17,27,1.17,55,2.39,219,9.52,4,0.17,25,1.09,10,0.43,15,0.65,6,0.26,3,0.13,-,-,-,-,-,-,-,-,-,-,-,-,1,0.14
Kagawa,1,0.02,4,0.14,13,0.46,70,2.5,324,11.57,5,0.18,15,0.54,-,-,21,0.75,16,0.57,9,0.32,-,-,3,0.6,-,-,-,-,-,-,1,0.2,1,0.2
