"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21th week, 2013",,,,,,"Data collected as of May 29, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,5981,1.21,429,,2015,0.64,7276,2.31,24042,7.63,4713,1.5,2003,0.64,301,0.1,2141,0.68,29,0.01,465,0.15,888,0.28,19,0.03,486,0.71,8,0.02,16,0.03,241,0.51,19,0.04
Hokkaido,448,1.97,36,,100,0.7,520,3.64,995,6.96,170,1.19,7,0.05,4,0.03,44,0.31,-,-,2,0.01,8,0.06,1,0.03,16,0.55,-,-,-,-,5,0.22,-,-
Aomori,172,2.69,14,,16,0.39,51,1.24,129,3.15,23,0.56,7,0.17,3,0.07,22,0.54,-,-,8,0.2,8,0.2,-,-,8,0.73,-,-,-,-,11,1.83,-,-
Iwate,73,1.14,-,,15,0.38,92,2.3,247,6.18,69,1.73,-,-,15,0.38,19,0.48,1,0.03,1,0.03,29,0.73,-,-,10,0.71,1,0.05,-,-,34,1.79,-,-
Miyagi,107,1.15,6,,21,0.36,123,2.12,580,10,124,2.14,11,0.19,17,0.29,60,1.03,-,-,19,0.33,25,0.43,-,-,9,0.75,-,-,-,-,10,0.83,-,-
Akita,36,0.65,6,,12,0.34,55,1.57,203,5.8,31,0.89,-,-,2,0.06,12,0.34,-,-,-,-,49,1.4,-,-,5,0.71,-,-,-,-,4,0.5,-,-
Yamagata,72,1.5,2,,15,0.5,106,3.53,437,14.57,27,0.9,8,0.27,2,0.07,30,1,-,-,3,0.1,16,0.53,-,-,1,0.13,-,-,2,0.2,5,0.5,-,-
Fukushima,110,1.45,14,,17,0.38,89,1.98,256,5.69,71,1.58,2,0.04,-,-,28,0.62,1,0.02,3,0.07,27,0.6,-,-,10,0.83,-,-,-,-,19,2.71,1,0.14
Ibaraki,24,0.2,3,,33,0.44,150,2,463,6.17,70,0.93,21,0.28,6,0.08,24,0.32,-,-,2,0.03,10,0.13,2,0.12,30,1.76,-,-,-,-,12,0.92,-,-
Tochigi,31,0.41,3,,8,0.17,99,2.06,223,4.65,66,1.38,27,0.56,-,-,38,0.79,-,-,8,0.17,9,0.19,-,-,7,0.58,-,-,-,-,1,0.14,6,0.86
Gunma,68,0.69,-,,18,0.3,106,1.77,439,7.32,57,0.95,8,0.13,-,-,19,0.32,-,-,2,0.03,24,0.4,-,-,20,1.43,-,-,1,0.13,5,0.63,-,-
Saitama,168,0.68,11,,128,0.81,527,3.34,1294,8.19,257,1.63,83,0.53,8,0.05,119,0.75,1,0.01,12,0.08,53,0.34,3,0.07,25,0.6,-,-,1,0.1,10,1,2,0.2
Chiba,166,0.81,7,,91,0.7,398,3.06,995,7.65,205,1.58,27,0.21,10,0.08,85,0.65,2,0.02,14,0.11,36,0.28,3,0.09,27,0.82,-,-,1,0.11,1,0.11,-,-
Tokyo,200,0.48,37,,203,0.78,767,2.94,1906,7.3,342,1.31,118,0.45,55,0.21,214,0.82,-,-,35,0.13,61,0.23,-,-,31,0.82,2,0.08,4,0.16,10,0.4,2,0.08
Kanagawa,192,0.59,8,,88,0.43,447,2.17,1393,6.76,267,1.3,78,0.38,31,0.15,154,0.75,1,0,32,0.16,54,0.26,-,-,54,1.26,-,-,-,-,2,0.22,-,-
Niigata,112,1.17,8,,47,0.77,254,4.16,814,13.34,124,2.03,49,0.8,32,0.52,48,0.79,1,0.02,1,0.02,4,0.07,-,-,11,1.1,-,-,-,-,4,0.31,5,0.38
Toyama,183,3.81,-,,24,0.83,119,4.1,268,9.24,45,1.55,41,1.41,37,1.28,17,0.59,-,-,6,0.21,2,0.07,-,-,2,0.33,-,-,-,-,2,0.4,-,-
Ishikawa,95,1.98,4,,25,0.86,110,3.79,175,6.03,62,2.14,9,0.31,-,-,14,0.48,-,-,3,0.1,6,0.21,-,-,4,0.57,-,-,-,-,6,1.2,-,-
Fukui,80,2.5,3,,13,0.59,108,4.91,191,8.68,21,0.95,8,0.36,-,-,10,0.45,2,0.09,2,0.09,16,0.73,-,-,1,0.33,-,-,-,-,-,-,-,-
Yamanashi,42,1.05,1,,7,0.29,78,3.25,155,6.46,38,1.58,16,0.67,1,0.04,7,0.29,1,0.04,1,0.04,3,0.13,-,-,2,0.22,-,-,-,-,-,-,-,-
Nagano,182,2.09,-,,3,0.06,201,3.72,625,11.57,85,1.57,5,0.09,1,0.02,31,0.57,-,-,1,0.02,3,0.06,-,-,7,0.64,-,-,-,-,6,0.55,-,-
Gifu,159,1.83,1,,42,0.79,39,0.74,273,5.15,80,1.51,12,0.23,2,0.04,19,0.36,-,-,6,0.11,18,0.34,-,-,8,0.73,-,-,-,-,6,1.2,-,-
Shizuoka,143,1.03,24,,67,0.75,152,1.71,673,7.56,103,1.16,40,0.45,7,0.08,55,0.62,1,0.01,11,0.12,17,0.19,-,-,9,0.41,-,-,-,-,5,0.5,1,0.1
Aichi,149,0.76,28,,90,0.5,258,1.43,1361,7.52,218,1.2,39,0.22,10,0.06,127,0.7,3,0.02,7,0.04,61,0.34,-,-,11,0.32,-,-,-,-,12,0.92,-,-
Mie,81,1.13,5,,40,0.89,46,1.02,361,8.02,44,0.98,66,1.47,5,0.11,37,0.82,-,-,9,0.2,7,0.16,-,-,5,0.42,1,0.11,1,0.11,1,0.11,1,0.11
Shiga,26,0.49,1,,15,0.47,33,1.03,208,6.5,54,1.69,17,0.53,1,0.03,8,0.25,-,-,5,0.16,6,0.19,-,-,6,0.75,-,-,-,-,3,0.43,-,-
Kyoto,165,1.35,9,,17,0.23,127,1.72,596,8.05,77,1.04,25,0.34,4,0.05,35,0.47,-,-,11,0.15,12,0.16,-,-,7,0.39,-,-,-,-,1,0.14,-,-
Osaka,403,1.31,26,,108,0.54,583,2.93,1645,8.27,295,1.48,129,0.65,13,0.07,150,0.75,3,0.02,53,0.27,40,0.2,2,0.04,16,0.31,-,-,-,-,3,0.18,1,0.06
Hyogo,216,1.08,9,,77,0.6,155,1.2,1159,8.98,218,1.69,32,0.25,11,0.09,79,0.61,3,0.02,6,0.05,20,0.16,1,0.03,14,0.4,2,0.18,-,-,8,0.73,-,-
Nara,66,1.2,3,,14,0.4,46,1.31,215,6.14,46,1.31,23,0.66,1,0.03,16,0.46,-,-,2,0.06,4,0.11,-,-,6,0.67,-,-,-,-,-,-,-,-
Wakayama,18,0.36,-,,9,0.29,26,0.84,166,5.35,45,1.45,1,0.03,-,-,17,0.55,-,-,2,0.06,1,0.03,-,-,2,0.5,-,-,-,-,6,0.55,-,-
Tottori,25,0.86,-,,6,0.32,85,4.47,127,6.68,28,1.47,31,1.63,-,-,10,0.53,-,-,7,0.37,-,-,-,-,-,-,-,-,-,-,1,0.2,-,-
