"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2012",,,,,,"Data collected as of November 14, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,535,0.11,3511,,858,0.27,5226,1.66,27565,8.75,3448,1.09,1857,0.59,154,0.05,1905,0.6,70,0.02,266,0.08,1254,0.4,5,0.01,390,0.57,15,0.03,14,0.03,589,1.26,17,0.04
Hokkaido,5,0.02,207,,50,0.35,368,2.57,455,3.18,189,1.32,142,0.99,7,0.05,50,0.35,3,0.02,12,0.08,25,0.17,-,-,11,0.38,-,-,-,-,42,1.83,-,-
Aomori,-,-,64,,4,0.1,53,1.29,110,2.68,37,0.9,24,0.59,-,-,18,0.44,-,-,4,0.1,18,0.44,-,-,6,0.55,-,-,-,-,11,1.83,-,-
Iwate,-,-,81,,10,0.25,63,1.58,246,6.15,68,1.7,91,2.28,9,0.23,26,0.65,-,-,4,0.1,75,1.88,-,-,5,0.36,-,-,1,0.05,43,2.26,-,-
Miyagi,3,0.03,25,,5,0.09,87,1.5,576,9.93,110,1.9,60,1.03,3,0.05,30,0.52,-,-,7,0.12,49,0.84,-,-,4,0.33,1,0.08,-,-,32,2.67,1,0.08
Akita,4,0.07,26,,8,0.23,16,0.46,156,4.46,35,1,104,2.97,-,-,11,0.31,-,-,4,0.11,16,0.46,-,-,2,0.29,-,-,-,-,20,2.5,-,-
Yamagata,-,-,64,,27,0.9,126,4.2,90,3,86,2.87,76,2.53,2,0.07,19,0.63,-,-,8,0.27,64,2.13,-,-,1,0.13,-,-,2,0.2,10,1,-,-
Fukushima,39,0.49,89,,6,0.13,59,1.23,202,4.21,61,1.27,83,1.73,1,0.02,25,0.52,-,-,4,0.08,10,0.21,-,-,8,0.67,-,-,-,-,16,2.29,-,-
Ibaraki,6,0.05,36,,8,0.11,113,1.51,288,3.84,69,0.92,118,1.57,1,0.01,25,0.33,3,0.04,2,0.03,9,0.12,-,-,18,1.06,-,-,-,-,17,1.31,-,-
Tochigi,10,0.13,48,,4,0.08,45,0.94,126,2.63,30,0.63,77,1.6,1,0.02,29,0.6,2,0.04,2,0.04,12,0.25,-,-,5,0.42,-,-,-,-,22,3.14,3,0.43
Gunma,5,0.05,99,,7,0.12,36,0.6,275,4.58,59,0.98,22,0.37,5,0.08,27,0.45,3,0.05,4,0.07,19,0.32,-,-,13,0.93,1,0.13,-,-,33,4.13,-,-
Saitama,52,0.21,133,,23,0.15,340,2.15,1198,7.58,162,1.03,131,0.83,9,0.06,115,0.73,-,-,7,0.04,58,0.37,1,0.02,24,0.57,-,-,-,-,27,3,-,-
Chiba,23,0.11,83,,19,0.15,285,2.18,904,6.9,135,1.03,75,0.57,9,0.07,95,0.73,4,0.03,11,0.08,74,0.56,-,-,19,0.58,-,-,-,-,20,2.22,2,0.22
Tokyo,38,0.09,172,,115,0.44,544,2.1,2459,9.49,241,0.93,125,0.48,19,0.07,193,0.75,10,0.04,26,0.1,70,0.27,-,-,16,0.41,3,0.13,2,0.08,43,1.79,-,-
Kanagawa,19,0.06,76,,53,0.26,272,1.33,1402,6.84,152,0.74,146,0.71,16,0.08,152,0.74,5,0.02,13,0.06,78,0.38,1,0.02,47,1.04,-,-,-,-,11,1.22,-,-
Niigata,8,0.08,296,,20,0.33,151,2.52,237,3.95,107,1.78,22,0.37,1,0.02,38,0.63,7,0.12,9,0.15,20,0.33,-,-,2,0.2,-,-,-,-,6,0.5,7,0.58
Toyama,-,-,35,,9,0.31,76,2.62,235,8.1,32,1.1,14,0.48,-,-,8,0.28,-,-,2,0.07,3,0.1,-,-,-,-,-,-,-,-,4,0.8,-,-
Ishikawa,-,-,57,,6,0.21,71,2.45,534,18.41,20,0.69,26,0.9,1,0.03,11,0.38,-,-,1,0.03,9,0.31,-,-,-,-,-,-,-,-,5,1,-,-
Fukui,5,0.16,70,,4,0.18,49,2.23,266,12.09,25,1.14,16,0.73,2,0.09,9,0.41,-,-,-,-,17,0.77,-,-,2,0.67,-,-,-,-,2,0.33,-,-
Yamanashi,-,-,5,,5,0.21,40,1.67,66,2.75,20,0.83,17,0.71,-,-,12,0.5,-,-,2,0.08,-,-,-,-,2,0.22,-,-,-,-,-,-,-,-
Nagano,2,0.02,51,,4,0.07,125,2.27,423,7.69,87,1.58,9,0.16,3,0.05,29,0.53,-,-,2,0.04,4,0.07,-,-,6,0.55,1,0.09,-,-,21,1.91,-,-
Gifu,24,0.28,62,,11,0.21,70,1.32,300,5.66,32,0.6,2,0.04,5,0.09,26,0.49,-,-,3,0.06,62,1.17,-,-,2,0.18,-,-,-,-,13,2.6,-,-
Shizuoka,15,0.11,115,,25,0.28,131,1.47,649,7.29,85,0.96,8,0.09,1,0.01,52,0.58,-,-,2,0.02,17,0.19,1,0.05,11,0.5,1,0.1,-,-,8,0.8,2,0.2
Aichi,10,0.05,140,,25,0.14,255,1.41,1172,6.48,109,0.6,4,0.02,4,0.02,104,0.57,4,0.02,1,0.01,72,0.4,-,-,11,0.32,-,-,-,-,24,1.71,-,-
Mie,4,0.06,46,,29,0.64,34,0.76,283,6.29,52,1.16,8,0.18,4,0.09,29,0.64,3,0.07,-,-,33,0.73,-,-,2,0.17,-,-,1,0.11,5,0.56,-,-
Shiga,3,0.06,54,,9,0.28,42,1.31,226,7.06,31,0.97,3,0.09,1,0.03,12,0.38,-,-,1,0.03,4,0.13,-,-,1,0.13,-,-,-,-,4,0.57,-,-
Kyoto,3,0.02,77,,6,0.08,99,1.34,565,7.64,85,1.15,6,0.08,5,0.07,35,0.47,1,0.01,5,0.07,7,0.09,-,-,6,0.33,-,-,-,-,-,-,-,-
Osaka,18,0.06,242,,38,0.19,406,2.04,3085,15.5,175,0.88,24,0.12,9,0.05,103,0.52,1,0.01,7,0.04,42,0.21,1,0.02,9,0.17,-,-,-,-,25,1.47,1,0.06
Hyogo,2,0.01,117,,17,0.13,122,0.95,2568,19.91,131,1.02,10,0.08,3,0.02,79,0.61,-,-,3,0.02,24,0.19,1,0.03,15,0.43,1,0.09,-,-,12,1.09,1,0.09
Nara,1,0.02,30,,6,0.17,19,0.54,291,8.31,28,0.8,8,0.23,1,0.03,7,0.2,-,-,-,-,3,0.09,-,-,2,0.22,-,-,-,-,3,0.5,-,-
Wakayama,2,0.04,14,,4,0.13,23,0.74,291,9.39,23,0.74,4,0.13,-,-,19,0.61,-,-,-,-,2,0.06,-,-,-,-,1,0.09,-,-,12,1.09,-,-
Tottori,-,-,40,,2,0.11,34,1.79,102,5.37,16,0.84,1,0.05,1,0.05,4,0.21,-,-,1,0.05,-,-,-,-,2,0.67,-,-,1,0.2,7,1.4,-,-
