"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2015",,,,,,"Data collected as of April 15, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,7715,1.57,681,,850,0.27,6944,2.2,18354,5.82,1440,0.46,1704,0.54,1411,0.45,1717,0.54,46,0.01,178,0.06,1097,0.35,12,0.02,327,0.48,8,0.02,18,0.04,95,0.2,2,0,225,0.47
Hokkaido,427,1.88,40,,71,0.5,383,2.68,481,3.36,97,0.68,23,0.16,81,0.57,31,0.22,-,-,1,0.01,53,0.37,-,-,10,0.36,-,-,1,0.04,1,0.04,-,-,19,0.83
Aomori,63,0.97,10,,10,0.24,63,1.5,127,3.02,21,0.5,8,0.19,23,0.55,21,0.5,-,-,-,-,1,0.02,-,-,4,0.36,-,-,-,-,4,0.67,-,-,5,0.83
Iwate,92,1.42,9,,7,0.18,85,2.13,153,3.83,16,0.4,3,0.08,13,0.33,16,0.4,2,0.05,1,0.03,3,0.08,-,-,4,0.29,-,-,2,0.11,4,0.21,-,-,1,0.05
Miyagi,141,1.48,4,,11,0.19,108,1.83,313,5.31,28,0.47,15,0.25,31,0.53,38,0.64,-,-,1,0.02,10,0.17,-,-,4,0.33,-,-,-,-,4,0.33,-,-,5,0.42
Akita,107,1.98,3,,8,0.23,41,1.17,69,1.97,7,0.2,1,0.03,2,0.06,11,0.31,-,-,2,0.06,21,0.6,-,-,5,0.71,-,-,-,-,3,0.38,-,-,1,0.13
Yamagata,178,3.71,2,,16,0.53,125,4.17,267,8.9,23,0.77,22,0.73,10,0.33,22,0.73,-,-,2,0.07,24,0.8,-,-,-,-,1,0.1,1,0.1,1,0.1,-,-,6,0.6
Fukushima,241,3.13,9,,14,0.3,119,2.59,256,5.57,29,0.63,18,0.39,27,0.59,28,0.61,-,-,2,0.04,29,0.63,-,-,8,0.67,-,-,1,0.14,5,0.71,-,-,11,1.57
Ibaraki,81,0.68,3,,21,0.28,161,2.15,347,4.63,28,0.37,10,0.13,24,0.32,23,0.31,-,-,3,0.04,28,0.37,-,-,18,1.06,-,-,-,-,-,-,-,-,3,0.23
