"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25th week, 2013",,,,,,"Data collected as of June 26, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,857,0.17,361,,2244,0.71,5765,1.83,14731,4.68,3675,1.17,6589,2.09,259,0.08,2094,0.66,23,0.01,1975,0.63,1044,0.33,11,0.02,410,0.6,7,0.01,12,0.03,254,0.54,8,0.02
Hokkaido,16,0.07,68,,153,1.08,401,2.82,607,4.27,216,1.52,5,0.04,4,0.03,41,0.29,-,-,8,0.06,17,0.12,-,-,14,0.48,-,-,-,-,5,0.22,-,-
Aomori,39,0.61,7,,5,0.12,40,0.98,79,1.93,32,0.78,30,0.73,-,-,21,0.51,-,-,10,0.24,12,0.29,-,-,7,0.64,-,-,-,-,14,2.33,-,-
Iwate,7,0.11,1,,40,1,72,1.8,139,3.48,51,1.28,3,0.08,3,0.08,16,0.4,-,-,15,0.38,20,0.5,-,-,7,0.5,1,0.05,-,-,29,1.53,-,-
Miyagi,7,0.08,6,,27,0.47,110,1.9,259,4.47,105,1.81,39,0.67,15,0.26,32,0.55,-,-,33,0.57,23,0.4,-,-,2,0.17,-,-,1,0.08,21,1.75,-,-
Akita,-,-,4,,20,0.57,30,0.86,101,2.89,23,0.66,2,0.06,1,0.03,17,0.49,-,-,-,-,22,0.63,-,-,1,0.14,-,-,-,-,3,0.38,-,-
Yamagata,3,0.06,4,,16,0.53,80,2.67,185,6.17,30,1,16,0.53,3,0.1,23,0.77,-,-,14,0.47,27,0.9,-,-,1,0.13,-,-,-,-,6,0.6,-,-
Fukushima,15,0.2,15,,17,0.38,81,1.8,121,2.69,74,1.64,18,0.4,1,0.02,20,0.44,-,-,4,0.09,41,0.91,-,-,10,0.83,-,-,-,-,14,2,1,0.14
Ibaraki,19,0.16,5,,32,0.43,161,2.15,469,6.25,65,0.87,81,1.08,5,0.07,37,0.49,1,0.01,26,0.35,11,0.15,-,-,26,1.53,1,0.08,-,-,4,0.31,-,-
Tochigi,5,0.07,3,,13,0.27,66,1.38,105,2.19,48,1,74,1.54,1,0.02,23,0.48,1,0.02,9,0.19,18,0.38,-,-,3,0.25,-,-,-,-,2,0.29,2,0.29
Gunma,9,0.09,-,,28,0.47,99,1.65,287,4.78,32,0.53,27,0.45,-,-,41,0.68,1,0.02,31,0.52,18,0.3,-,-,9,0.64,-,-,-,-,6,0.75,-,-
Saitama,15,0.06,13,,144,0.91,400,2.53,921,5.83,177,1.12,413,2.61,19,0.12,129,0.82,-,-,53,0.34,54,0.34,1,0.02,29,0.69,-,-,-,-,10,1,1,0.1
Chiba,34,0.16,8,,99,0.74,345,2.57,636,4.75,193,1.44,241,1.8,11,0.08,83,0.62,-,-,59,0.44,47,0.35,-,-,22,0.67,2,0.22,-,-,3,0.33,-,-
Tokyo,28,0.07,24,,258,0.99,607,2.33,1240,4.75,297,1.14,536,2.05,39,0.15,206,0.79,2,0.01,183,0.7,76,0.29,-,-,31,0.82,-,-,1,0.04,13,0.54,2,0.08
Kanagawa,13,0.04,7,,112,0.55,348,1.71,910,4.46,219,1.07,361,1.77,32,0.16,159,0.78,3,0.01,104,0.51,89,0.44,1,0.02,44,1.02,-,-,-,-,-,-,-,-
Niigata,10,0.1,6,,45,0.74,196,3.21,283,4.64,107,1.75,113,1.85,21,0.34,46,0.75,2,0.03,13,0.21,6,0.1,1,0.1,7,0.7,-,-,-,-,5,0.38,1,0.08
Toyama,10,0.21,2,,26,0.9,70,2.41,161,5.55,53,1.83,78,2.69,38,1.31,14,0.48,-,-,26,0.9,3,0.1,-,-,-,-,-,-,-,-,5,1,-,-
